direction_id,pair,anchor_id,source,target,source_refs,target_refs,best_current_model,direct_use_burden,shared_tradition_burden,independent_convergence_burden,specific_features,best_pair,required_explanation_if_direction,contrary_evidence,plausible_response_model
john_used_luke,John↔Luke,prophet_no_honor,Luke,John,Luke 4:24,John 4:44,shared_anchor_tradition,7.577,1.0,6.173,A prophet lacks honor in his own homeland/country,"{""john_ref"": ""John 4:44"", ""synoptic_ref"": ""Luke 4:24"", ""score"": 0.0705, ""max_exact_run"": """"}",John abstracts a Nazareth rejection saying into a transitional travel comment.,Shared anchor tradition is lower burden; lexical/order signal is weak or local rather than continuous.,Johannine theological transformation of selected Synoptic/Synoptic-like anchor material.
luke_used_john,John↔Luke,prophet_no_honor,John,Luke,John 4:44,Luke 4:24,shared_anchor_tradition,8.177,1.0,6.173,A prophet lacks honor in his own homeland/country,"{""john_ref"": ""John 4:44"", ""synoptic_ref"": ""Luke 4:24"", ""score"": 0.0705, ""max_exact_run"": """"}",Synoptics localize a general proverb into the Nazareth rejection scene.,Shared anchor tradition is lower burden; Synoptic target would have to omit or de-Johannize major Johannine theology/discourses.,Synoptic condensation/narrativization of Johannine-like anchor traditions; currently high-burden and included for completeness.
john_used_mark,John↔Mark,feeding_5000,Mark,John,Mark 6:30-44,John 6:1-15,shared_anchor_tradition,5.723,2.525,11.027,five thousand; loaves; distribution; leftover baskets; wilderness/sea setting,"{""john_ref"": ""John 6:11"", ""synoptic_ref"": ""Mark 6:44"", ""score"": 0.1629, ""max_exact_run"": ""τουσ αρτουσ""}",John develops discourse theology from the sign and adds/foregrounds Philip/Andrew and Passover.,Shared anchor tradition is lower burden; lexical/order signal is weak or local rather than continuous.,Johannine theological transformation of selected Synoptic/Synoptic-like anchor material.
mark_used_john,John↔Mark,feeding_5000,John,Mark,John 6:1-15,Mark 6:30-44,shared_anchor_tradition,6.923,2.525,11.027,five thousand; loaves; distribution; leftover baskets; wilderness/sea setting,"{""john_ref"": ""John 6:11"", ""synoptic_ref"": ""Mark 6:44"", ""score"": 0.1629, ""max_exact_run"": ""τουσ αρτουσ""}",Synoptics simplify Johannine sign theology into miracle narration.,Shared anchor tradition is lower burden; Synoptic target would have to omit or de-Johannize major Johannine theology/discourses.,Synoptic condensation/narrativization of Johannine-like anchor traditions; currently high-burden and included for completeness.
john_used_matthew,John↔Matt,feeding_5000,Matthew,John,Matt 14:13-21,John 6:1-15,shared_anchor_tradition,5.388,2.525,11.362,five thousand; loaves; distribution; leftover baskets; wilderness/sea setting,"{""john_ref"": ""John 6:9"", ""synoptic_ref"": ""Matt 14:17"", ""score"": 0.2187, ""max_exact_run"": ""πεντε αρτουσ""}",John develops discourse theology from the sign and adds/foregrounds Philip/Andrew and Passover.,Shared anchor tradition is lower burden; lexical/order signal is weak or local rather than continuous.,Johannine theological transformation of selected Synoptic/Synoptic-like anchor material.
matthew_used_john,John↔Matt,feeding_5000,John,Matthew,John 6:1-15,Matt 14:13-21,shared_anchor_tradition,6.588,2.525,11.362,five thousand; loaves; distribution; leftover baskets; wilderness/sea setting,"{""john_ref"": ""John 6:9"", ""synoptic_ref"": ""Matt 14:17"", ""score"": 0.2187, ""max_exact_run"": ""πεντε αρτουσ""}",Synoptics simplify Johannine sign theology into miracle narration.,Shared anchor tradition is lower burden; Synoptic target would have to omit or de-Johannize major Johannine theology/discourses.,Synoptic condensation/narrativization of Johannine-like anchor traditions; currently high-burden and included for completeness.
john_used_luke,John↔Luke,feeding_5000,Luke,John,Luke 9:10-17,John 6:1-15,shared_anchor_tradition,5.912,2.525,10.838,five thousand; loaves; distribution; leftover baskets; wilderness/sea setting,"{""john_ref"": ""John 6:9"", ""synoptic_ref"": ""Luke 9:16"", ""score"": 0.1314, ""max_exact_run"": ""πεντε αρτουσ""}",John develops discourse theology from the sign and adds/foregrounds Philip/Andrew and Passover.,Shared anchor tradition is lower burden; lexical/order signal is weak or local rather than continuous.,Johannine theological transformation of selected Synoptic/Synoptic-like anchor material.
luke_used_john,John↔Luke,feeding_5000,John,Luke,John 6:1-15,Luke 9:10-17,shared_anchor_tradition,7.112,2.525,10.838,five thousand; loaves; distribution; leftover baskets; wilderness/sea setting,"{""john_ref"": ""John 6:9"", ""synoptic_ref"": ""Luke 9:16"", ""score"": 0.1314, ""max_exact_run"": ""πεντε αρτουσ""}",Synoptics simplify Johannine sign theology into miracle narration.,Shared anchor tradition is lower burden; Synoptic target would have to omit or de-Johannize major Johannine theology/discourses.,Synoptic condensation/narrativization of Johannine-like anchor traditions; currently high-burden and included for completeness.
john_used_mark,John↔Mark,walking_on_water,Mark,John,Mark 6:45-52,John 6:16-21,shared_anchor_tradition,4.7,2.05,13.115,disciples at sea; Jesus walks on sea; fear; arrival/boat motif,"{""john_ref"": ""John 6:20"", ""synoptic_ref"": ""Mark 6:50"", ""score"": 0.3858, ""max_exact_run"": ""ειμι φοβεισθε""}",John drastically compresses the scene and drops Peter/Matthean expansion.,Shared anchor tradition is lower burden; lexical/order signal is weak or local rather than continuous.,Johannine theological transformation of selected Synoptic/Synoptic-like anchor material.
mark_used_john,John↔Mark,walking_on_water,John,Mark,John 6:16-21,Mark 6:45-52,shared_anchor_tradition,5.9,2.05,13.115,disciples at sea; Jesus walks on sea; fear; arrival/boat motif,"{""john_ref"": ""John 6:20"", ""synoptic_ref"": ""Mark 6:50"", ""score"": 0.3858, ""max_exact_run"": ""ειμι φοβεισθε""}",Synoptics expand compressed Johannine episode into a theophany/narrative scene.,Shared anchor tradition is lower burden; Synoptic target would have to omit or de-Johannize major Johannine theology/discourses.,Synoptic condensation/narrativization of Johannine-like anchor traditions; currently high-burden and included for completeness.
john_used_matthew,John↔Matt,walking_on_water,Matthew,John,Matt 14:22-33,John 6:16-21,shared_anchor_tradition,4.7,2.05,13.547,disciples at sea; Jesus walks on sea; fear; arrival/boat motif,"{""john_ref"": ""John 6:20"", ""synoptic_ref"": ""Matt 14:27"", ""score"": 0.4579, ""max_exact_run"": ""ειμι φοβεισθε""}",John drastically compresses the scene and drops Peter/Matthean expansion.,Shared anchor tradition is lower burden; lexical/order signal is weak or local rather than continuous.,Johannine theological transformation of selected Synoptic/Synoptic-like anchor material.
matthew_used_john,John↔Matt,walking_on_water,John,Matthew,John 6:16-21,Matt 14:22-33,shared_anchor_tradition,5.9,2.05,13.547,disciples at sea; Jesus walks on sea; fear; arrival/boat motif,"{""john_ref"": ""John 6:20"", ""synoptic_ref"": ""Matt 14:27"", ""score"": 0.4579, ""max_exact_run"": ""ειμι φοβεισθε""}",Synoptics expand compressed Johannine episode into a theophany/narrative scene.,Shared anchor tradition is lower burden; Synoptic target would have to omit or de-Johannize major Johannine theology/discourses.,Synoptic condensation/narrativization of Johannine-like anchor traditions; currently high-burden and included for completeness.
john_used_mark,John↔Mark,anointing_bethany,Mark,John,Mark 14:3-9,John 12:1-8,shared_anchor_tradition,4.5,3.05,14.567,woman/anointing; costly ointment; objection over value; Jesus interprets action,"{""john_ref"": ""John 12:8"", ""synoptic_ref"": ""Mark 14:7"", ""score"": 0.5195, ""max_exact_run"": ""εχετε μεθ εαυτων""}",John names Mary/Judas and integrates Lazarus context; chronologically near passion.,Shared anchor tradition is lower burden; lexical/order signal is weak or local rather than continuous.,Johannine theological transformation of selected Synoptic/Synoptic-like anchor material.
mark_used_john,John↔Mark,anointing_bethany,John,Mark,John 12:1-8,Mark 14:3-9,shared_anchor_tradition,5.1,3.05,14.567,woman/anointing; costly ointment; objection over value; Jesus interprets action,"{""john_ref"": ""John 12:8"", ""synoptic_ref"": ""Mark 14:7"", ""score"": 0.5195, ""max_exact_run"": ""εχετε μεθ εαυτων""}",Mark/Matthew anonymize named characters and strip Lazarus setting.,Shared anchor tradition is lower burden; Synoptic target would have to omit or de-Johannize major Johannine theology/discourses.,Synoptic condensation/narrativization of Johannine-like anchor traditions; currently high-burden and included for completeness.
john_used_matthew,John↔Matt,anointing_bethany,Matthew,John,Matt 26:6-13,John 12:1-8,shared_anchor_tradition,4.5,4.35,17.9,woman/anointing; costly ointment; objection over value; Jesus interprets action,"{""john_ref"": ""John 12:8"", ""synoptic_ref"": ""Matt 26:11"", ""score"": 0.8571, ""max_exact_run"": ""εχετε μεθ εαυτων εμε παντοτε εχετε""}",John names Mary/Judas and integrates Lazarus context; chronologically near passion.,Shared anchor tradition is lower burden; lexical/order signal is weak or local rather than continuous.,Johannine theological transformation of selected Synoptic/Synoptic-like anchor material.
matthew_used_john,John↔Matt,anointing_bethany,John,Matthew,John 12:1-8,Matt 26:6-13,shared_anchor_tradition,5.1,4.35,17.9,woman/anointing; costly ointment; objection over value; Jesus interprets action,"{""john_ref"": ""John 12:8"", ""synoptic_ref"": ""Matt 26:11"", ""score"": 0.8571, ""max_exact_run"": ""εχετε μεθ εαυτων εμε παντοτε εχετε""}",Mark/Matthew anonymize named characters and strip Lazarus setting.,Shared anchor tradition is lower burden; Synoptic target would have to omit or de-Johannize major Johannine theology/discourses.,Synoptic condensation/narrativization of Johannine-like anchor traditions; currently high-burden and included for completeness.
john_used_luke,John↔Luke,anointing_bethany,Luke,John,Luke 7:36-50,John 12:1-8,shared_anchor_tradition,5.286,3.05,12.664,woman/anointing; costly ointment; objection over value; Jesus interprets action,"{""john_ref"": ""John 12:3"", ""synoptic_ref"": ""Luke 7:46"", ""score"": 0.2024, ""max_exact_run"": ""ηλειψεν τουσ ποδασ""}",John names Mary/Judas and integrates Lazarus context; chronologically near passion.,Shared anchor tradition is lower burden; lexical/order signal is weak or local rather than continuous.,Johannine theological transformation of selected Synoptic/Synoptic-like anchor material.
luke_used_john,John↔Luke,anointing_bethany,John,Luke,John 12:1-8,Luke 7:36-50,shared_anchor_tradition,5.886,3.05,12.664,woman/anointing; costly ointment; objection over value; Jesus interprets action,"{""john_ref"": ""John 12:3"", ""synoptic_ref"": ""Luke 7:46"", ""score"": 0.2024, ""max_exact_run"": ""ηλειψεν τουσ ποδασ""}",Mark/Matthew anonymize named characters and strip Lazarus setting.,Shared anchor tradition is lower burden; Synoptic target would have to omit or de-Johannize major Johannine theology/discourses.,Synoptic condensation/narrativization of Johannine-like anchor traditions; currently high-burden and included for completeness.
john_used_mark,John↔Mark,triumphal_entry,Mark,John,Mark 11:1-10,John 12:12-19,shared_anchor_tradition,4.5,3.7,14.612,entry to Jerusalem; branches/garments; Hosanna/blessed coming one; king motif,"{""john_ref"": ""John 12:13"", ""synoptic_ref"": ""Mark 11:9"", ""score"": 0.3353, ""max_exact_run"": ""ωσαννα ευλογημενοσ ερχομενοσ ονοματι""}",John compresses preparation and explicitly adds interpretive memory after glorification.,Shared anchor tradition is lower burden; lexical/order signal is weak or local rather than continuous.,Johannine theological transformation of selected Synoptic/Synoptic-like anchor material.
mark_used_john,John↔Mark,triumphal_entry,John,Mark,John 12:12-19,Mark 11:1-10,shared_anchor_tradition,5.1,3.7,14.612,entry to Jerusalem; branches/garments; Hosanna/blessed coming one; king motif,"{""john_ref"": ""John 12:13"", ""synoptic_ref"": ""Mark 11:9"", ""score"": 0.3353, ""max_exact_run"": ""ωσαννα ευλογημενοσ ερχομενοσ ονοματι""}",Synoptics expand logistics of colt acquisition and public acclamation.,Shared anchor tradition is lower burden; Synoptic target would have to omit or de-Johannize major Johannine theology/discourses.,Synoptic condensation/narrativization of Johannine-like anchor traditions; currently high-burden and included for completeness.
john_used_matthew,John↔Matt,triumphal_entry,Matthew,John,Matt 21:1-11,John 12:12-19,shared_anchor_tradition,4.5,3.7,14.716,entry to Jerusalem; branches/garments; Hosanna/blessed coming one; king motif,"{""john_ref"": ""John 12:15"", ""synoptic_ref"": ""Matt 21:5"", ""score"": 0.3527, ""max_exact_run"": ""σιων ιδου βασιλευσ ερχεται""}",John compresses preparation and explicitly adds interpretive memory after glorification.,Shared anchor tradition is lower burden; lexical/order signal is weak or local rather than continuous.,Johannine theological transformation of selected Synoptic/Synoptic-like anchor material.
matthew_used_john,John↔Matt,triumphal_entry,John,Matthew,John 12:12-19,Matt 21:1-11,shared_anchor_tradition,5.1,3.7,14.716,entry to Jerusalem; branches/garments; Hosanna/blessed coming one; king motif,"{""john_ref"": ""John 12:15"", ""synoptic_ref"": ""Matt 21:5"", ""score"": 0.3527, ""max_exact_run"": ""σιων ιδου βασιλευσ ερχεται""}",Synoptics expand logistics of colt acquisition and public acclamation.,Shared anchor tradition is lower burden; Synoptic target would have to omit or de-Johannize major Johannine theology/discourses.,Synoptic condensation/narrativization of Johannine-like anchor traditions; currently high-burden and included for completeness.
john_used_luke,John↔Luke,triumphal_entry,Luke,John,Luke 19:28-40,John 12:12-19,shared_anchor_tradition,5.587,3.05,11.913,entry to Jerusalem; branches/garments; Hosanna/blessed coming one; king motif,"{""john_ref"": ""John 12:13"", ""synoptic_ref"": ""Luke 19:38"", ""score"": 0.1855, ""max_exact_run"": ""ευλογημενοσ ερχομενοσ""}",John compresses preparation and explicitly adds interpretive memory after glorification.,Shared anchor tradition is lower burden; lexical/order signal is weak or local rather than continuous.,Johannine theological transformation of selected Synoptic/Synoptic-like anchor material.
luke_used_john,John↔Luke,triumphal_entry,John,Luke,John 12:12-19,Luke 19:28-40,shared_anchor_tradition,6.187,3.05,11.913,entry to Jerusalem; branches/garments; Hosanna/blessed coming one; king motif,"{""john_ref"": ""John 12:13"", ""synoptic_ref"": ""Luke 19:38"", ""score"": 0.1855, ""max_exact_run"": ""ευλογημενοσ ερχομενοσ""}",Synoptics expand logistics of colt acquisition and public acclamation.,Shared anchor tradition is lower burden; Synoptic target would have to omit or de-Johannize major Johannine theology/discourses.,Synoptic condensation/narrativization of Johannine-like anchor traditions; currently high-burden and included for completeness.
john_used_mark,John↔Mark,peter_denial,Mark,John,Mark 14:66-72,John 18:15-27,shared_anchor_tradition,5.129,2.0,10.121,Peter denies three times; courtyard/fire setting; cock crow motif,"{""john_ref"": ""John 18:27"", ""synoptic_ref"": ""Mark 14:68"", ""score"": 0.2619, ""max_exact_run"": ""αλεκτωρ εφωνησεν""}",John interweaves denial with trial scenes and adds beloved-disciple access.,Shared anchor tradition is lower burden; lexical/order signal is weak or local rather than continuous.,Johannine theological transformation of selected Synoptic/Synoptic-like anchor material.
mark_used_john,John↔Mark,peter_denial,John,Mark,John 18:15-27,Mark 14:66-72,shared_anchor_tradition,5.729,2.0,10.121,Peter denies three times; courtyard/fire setting; cock crow motif,"{""john_ref"": ""John 18:27"", ""synoptic_ref"": ""Mark 14:68"", ""score"": 0.2619, ""max_exact_run"": ""αλεκτωρ εφωνησεν""}",Synoptics make a compact escalating denial narrative.,Shared anchor tradition is lower burden; Synoptic target would have to omit or de-Johannize major Johannine theology/discourses.,Synoptic condensation/narrativization of Johannine-like anchor traditions; currently high-burden and included for completeness.
john_used_matthew,John↔Matt,peter_denial,Matthew,John,Matt 26:69-75,John 18:15-27,shared_anchor_tradition,4.5,2.0,11.48,Peter denies three times; courtyard/fire setting; cock crow motif,"{""john_ref"": ""John 18:27"", ""synoptic_ref"": ""Matt 26:74"", ""score"": 0.38, ""max_exact_run"": ""ευθεωσ αλεκτωρ εφωνησεν""}",John interweaves denial with trial scenes and adds beloved-disciple access.,Shared anchor tradition is lower burden; lexical/order signal is weak or local rather than continuous.,Johannine theological transformation of selected Synoptic/Synoptic-like anchor material.
matthew_used_john,John↔Matt,peter_denial,John,Matthew,John 18:15-27,Matt 26:69-75,shared_anchor_tradition,5.1,2.0,11.48,Peter denies three times; courtyard/fire setting; cock crow motif,"{""john_ref"": ""John 18:27"", ""synoptic_ref"": ""Matt 26:74"", ""score"": 0.38, ""max_exact_run"": ""ευθεωσ αλεκτωρ εφωνησεν""}",Synoptics make a compact escalating denial narrative.,Shared anchor tradition is lower burden; Synoptic target would have to omit or de-Johannize major Johannine theology/discourses.,Synoptic condensation/narrativization of Johannine-like anchor traditions; currently high-burden and included for completeness.
john_used_luke,John↔Luke,peter_denial,Luke,John,Luke 22:54-62,John 18:15-27,shared_anchor_tradition,6.135,2.0,9.115,Peter denies three times; courtyard/fire setting; cock crow motif,"{""john_ref"": ""John 18:27"", ""synoptic_ref"": ""Luke 22:60"", ""score"": 0.2025, ""max_exact_run"": ""πετροσ""}",John interweaves denial with trial scenes and adds beloved-disciple access.,Shared anchor tradition is lower burden; lexical/order signal is weak or local rather than continuous.,Johannine theological transformation of selected Synoptic/Synoptic-like anchor material.
luke_used_john,John↔Luke,peter_denial,John,Luke,John 18:15-27,Luke 22:54-62,shared_anchor_tradition,6.735,2.0,9.115,Peter denies three times; courtyard/fire setting; cock crow motif,"{""john_ref"": ""John 18:27"", ""synoptic_ref"": ""Luke 22:60"", ""score"": 0.2025, ""max_exact_run"": ""πετροσ""}",Synoptics make a compact escalating denial narrative.,Shared anchor tradition is lower burden; Synoptic target would have to omit or de-Johannize major Johannine theology/discourses.,Synoptic condensation/narrativization of Johannine-like anchor traditions; currently high-burden and included for completeness.
john_used_mark,John↔Mark,sword_ear_arrest,Mark,John,Mark 14:47,John 18:10-11,shared_anchor_tradition,6.238,2.525,10.512,sword blow; servant of high priest; ear cut off,"{""john_ref"": ""John 18:10"", ""synoptic_ref"": ""Mark 14:47"", ""score"": 0.1854, ""max_exact_run"": ""μαχαιραν""}",John names Peter and Malchus and adds cup theology.,Shared anchor tradition is lower burden; lexical/order signal is weak or local rather than continuous.,Johannine theological transformation of selected Synoptic/Synoptic-like anchor material.
mark_used_john,John↔Mark,sword_ear_arrest,John,Mark,John 18:10-11,Mark 14:47,shared_anchor_tradition,7.438,2.525,10.512,sword blow; servant of high priest; ear cut off,"{""john_ref"": ""John 18:10"", ""synoptic_ref"": ""Mark 14:47"", ""score"": 0.1854, ""max_exact_run"": ""μαχαιραν""}",Synoptics anonymize names and modify theological response; Luke adds healing.,Shared anchor tradition is lower burden; Synoptic target would have to omit or de-Johannize major Johannine theology/discourses.,Synoptic condensation/narrativization of Johannine-like anchor traditions; currently high-burden and included for completeness.
john_used_matthew,John↔Matt,sword_ear_arrest,Matthew,John,Matt 26:51-52,John 18:10-11,shared_anchor_tradition,5.68,2.525,11.07,sword blow; servant of high priest; ear cut off,"{""john_ref"": ""John 18:11"", ""synoptic_ref"": ""Matt 26:52"", ""score"": 0.17, ""max_exact_run"": ""μαχαιραν εισ""}",John names Peter and Malchus and adds cup theology.,Shared anchor tradition is lower burden; lexical/order signal is weak or local rather than continuous.,Johannine theological transformation of selected Synoptic/Synoptic-like anchor material.
