thomas_logion,word_count,lemma_count,registered_parallel_count,motifs,matthew_refs,mark_refs,luke_refs,john_refs,relation_type,matrix_strength,direct_dependence_burden_labels,best_first_model,coptic_greek_caveat
102,38,38,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.
103,49,49,1,thief known beforehand,Matt 24:43,,Luke 12:39,,overlapping_jesus_tradition_uncertain_direction,medium,low-to-moderate,apocalyptic watchfulness saying,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.
104,57,57,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.
105,22,22,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.
106,30,30,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.
107,60,60,1,lost sheep,Matt 18:12-14,,Luke 15:3-7,,shared_sayings_or_parable_tradition,medium,moderate,parable tradition with divergent theological placement,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.
108,34,34,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.
109,93,93,1,treasure hidden in field,Matt 13:44,,,,possible_synoptic_influence_or_harmonization,medium,moderate-to-high,parable tradition; possible Matthean relation but direct evidence limited in Coptic-only layer,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.
110,20,20,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.
111,52,52,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.
112,23,23,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.
113,61,61,1,kingdom not observable / spread on earth,,,Luke 17:20-21,,overlapping_jesus_tradition_uncertain_direction,medium,moderate,kingdom-saying tradition; Thomas develops realized/interiorized idiom,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.
114,79,79,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.
subtitle,5,5,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.
