pair,interval_id,direction_id,source,target,source_gap_range,target_gap_range,source_gap_count,target_gap_count,dominant_material_issue,directional_implication,plausible_response,contrary_evidence_value,interpretation
Mark↔Matthew,mm_gap_007,mark_used_matthew,Matthew,Mark,Matt 12:16–Matt 12:22,Mark 3:8–Mark 3:20,7,13,target_addition,Mark adds material here beyond Matthew.,Markan expansion/vividization or de-grouping.,6,Mark has 6 more gap verses than Matthew at this boundary.
Mark↔Matthew,mm_gap_008,matthew_used_mark,Mark,Matthew,Mark 3:30–Mark 3:30,Matt 12:33–Matt 12:45,1,13,target_addition,Matthew must add/insert/reposition extra material here.,Matthean added source/tradition/discourse/fulfillment material or relocation.,12,Matthew has 12 more gap verses than Mark at this boundary.
Mark↔Matthew,mm_gap_008,mark_used_matthew,Matthew,Mark,Matt 12:33–Matt 12:45,Mark 3:30–Mark 3:30,13,1,target_omission_of_source,Mark must omit/non-use Matthean material here.,Markan epitome/abbreviation and action-narrative selectivity.,12,Matthew has 12 more gap verses than Mark at this boundary.
Mark↔Matthew,mm_gap_009,matthew_used_mark,Mark,Matthew,Mark 4:12–Mark 4:13,Matt 13:12–Matt 13:17,2,6,target_addition,Matthew must add/insert/reposition extra material here.,Matthean added source/tradition/discourse/fulfillment material or relocation.,4,Matthew has 4 more gap verses than Mark at this boundary.
Mark↔Matthew,mm_gap_009,mark_used_matthew,Matthew,Mark,Matt 13:12–Matt 13:17,Mark 4:12–Mark 4:13,6,2,target_omission_of_source,Mark must omit/non-use Matthean material here.,Markan epitome/abbreviation and action-narrative selectivity.,4,Matthew has 4 more gap verses than Mark at this boundary.
Mark↔Matthew,mm_gap_010,matthew_used_mark,Mark,Matthew,Mark 4:21–Mark 4:30,Matt 13:24–Matt 13:30,10,7,target_omission_of_source,Matthew must omit/compress Markan material here.,Matthean abbreviation or relocation.,3,Mark has 3 more gap verses than Matthew at this boundary.
Mark↔Matthew,mm_gap_010,mark_used_matthew,Matthew,Mark,Matt 13:24–Matt 13:30,Mark 4:21–Mark 4:30,7,10,target_addition,Mark adds material here beyond Matthew.,Markan expansion/vividization or de-grouping.,3,Mark has 3 more gap verses than Matthew at this boundary.
Mark↔Matthew,mm_gap_011,matthew_used_mark,Mark,Matthew,Mark 4:35–Mark 6:1,Matt 13:35–Matt 13:53,51,19,target_omission_of_source,Matthew must omit/compress Markan material here.,Matthean abbreviation or relocation.,32,Mark has 32 more gap verses than Matthew at this boundary.
Mark↔Matthew,mm_gap_011,mark_used_matthew,Matthew,Mark,Matt 13:35–Matt 13:53,Mark 4:35–Mark 6:1,19,51,target_addition,Mark adds material here beyond Matthew.,Markan expansion/vividization or de-grouping.,32,Mark has 32 more gap verses than Matthew at this boundary.
Mark↔Matthew,mm_gap_012,matthew_used_mark,Mark,Matthew,Mark 6:6–Mark 6:13,Matt 14:1–Matt 14:1,8,1,target_omission_of_source,Matthew must omit/compress Markan material here.,Matthean abbreviation or relocation.,7,Mark has 7 more gap verses than Matthew at this boundary.
Mark↔Matthew,mm_gap_012,mark_used_matthew,Matthew,Mark,Matt 14:1–Matt 14:1,Mark 6:6–Mark 6:13,1,8,target_addition,Mark adds material here beyond Matthew.,Markan expansion/vividization or de-grouping.,7,Mark has 7 more gap verses than Matthew at this boundary.
Mark↔Matthew,mm_gap_013,matthew_used_mark,Mark,Matthew,Mark 7:4–Mark 7:8,,5,0,target_omission_of_source,Matthew must omit/compress Markan material here.,Matthean abbreviation or relocation.,5,Mark has 5 more gap verses than Matthew at this boundary.
Mark↔Matthew,mm_gap_013,mark_used_matthew,Matthew,Mark,,Mark 7:4–Mark 7:8,0,5,target_addition,Mark adds material here beyond Matthew.,Markan expansion/vividization or de-grouping.,5,Mark has 5 more gap verses than Matthew at this boundary.
Mark↔Matthew,mm_gap_014,matthew_used_mark,Mark,Matthew,Mark 7:30–Mark 8:1,Matt 15:29–Matt 15:31,9,3,target_omission_of_source,Matthew must omit/compress Markan material here.,Matthean abbreviation or relocation.,6,Mark has 6 more gap verses than Matthew at this boundary.
Mark↔Matthew,mm_gap_014,mark_used_matthew,Matthew,Mark,Matt 15:29–Matt 15:31,Mark 7:30–Mark 8:1,3,9,target_addition,Mark adds material here beyond Matthew.,Markan expansion/vividization or de-grouping.,6,Mark has 6 more gap verses than Matthew at this boundary.
Mark↔Matthew,mm_gap_015,matthew_used_mark,Mark,Matthew,Mark 8:21–Mark 8:26,Matt 16:11–Matt 16:12,6,2,target_omission_of_source,Matthew must omit/compress Markan material here.,Matthean abbreviation or relocation.,4,Mark has 4 more gap verses than Matthew at this boundary.
Mark↔Matthew,mm_gap_015,mark_used_matthew,Matthew,Mark,Matt 16:11–Matt 16:12,Mark 8:21–Mark 8:26,2,6,target_addition,Mark adds material here beyond Matthew.,Markan expansion/vividization or de-grouping.,4,Mark has 4 more gap verses than Matthew at this boundary.
Mark↔Matthew,mm_gap_016,matthew_used_mark,Mark,Matthew,Mark 9:20–Mark 9:41,Matt 17:18–Matt 18:5,22,14,target_omission_of_source,Matthew must omit/compress Markan material here.,Matthean abbreviation or relocation.,8,Mark has 8 more gap verses than Matthew at this boundary.
Mark↔Matthew,mm_gap_016,mark_used_matthew,Matthew,Mark,Matt 17:18–Matt 18:5,Mark 9:20–Mark 9:41,14,22,target_addition,Mark adds material here beyond Matthew.,Markan expansion/vividization or de-grouping.,8,Mark has 8 more gap verses than Matthew at this boundary.
Mark↔Matthew,mm_gap_017,matthew_used_mark,Mark,Matthew,Mark 9:48–Mark 10:5,Matt 18:10–Matt 19:3,8,28,target_addition,Matthew must add/insert/reposition extra material here.,Matthean added source/tradition/discourse/fulfillment material or relocation.,20,Matthew has 20 more gap verses than Mark at this boundary.
Mark↔Matthew,mm_gap_017,mark_used_matthew,Matthew,Mark,Matt 18:10–Matt 19:3,Mark 9:48–Mark 10:5,28,8,target_omission_of_source,Mark must omit/non-use Matthean material here.,Markan epitome/abbreviation and action-narrative selectivity.,20,Matthew has 20 more gap verses than Mark at this boundary.
Mark↔Matthew,mm_gap_018,matthew_used_mark,Mark,Matthew,,Matt 20:1–Matt 20:16,0,16,target_addition,Matthew must add/insert/reposition extra material here.,Matthean added source/tradition/discourse/fulfillment material or relocation.,16,Matthew has 16 more gap verses than Mark at this boundary.
Mark↔Matthew,mm_gap_018,mark_used_matthew,Matthew,Mark,Matt 20:1–Matt 20:16,,16,0,target_omission_of_source,Mark must omit/non-use Matthean material here.,Markan epitome/abbreviation and action-narrative selectivity.,16,Matthew has 16 more gap verses than Mark at this boundary.
Mark↔Matthew,mm_gap_019,matthew_used_mark,Mark,Matthew,Mark 11:18–Mark 11:20,Matt 21:14–Matt 21:19,3,6,target_addition,Matthew must add/insert/reposition extra material here.,Matthean added source/tradition/discourse/fulfillment material or relocation.,3,Matthew has 3 more gap verses than Mark at this boundary.
Mark↔Matthew,mm_gap_019,mark_used_matthew,Matthew,Mark,Matt 21:14–Matt 21:19,Mark 11:18–Mark 11:20,6,3,target_omission_of_source,Mark must omit/non-use Matthean material here.,Markan epitome/abbreviation and action-narrative selectivity.,3,Matthew has 3 more gap verses than Mark at this boundary.
Mark↔Matthew,mm_gap_020,matthew_used_mark,Mark,Matthew,Mark 12:11–Mark 12:12,Matt 21:43–Matt 22:14,2,18,target_addition,Matthew must add/insert/reposition extra material here.,Matthean added source/tradition/discourse/fulfillment material or relocation.,16,Matthew has 16 more gap verses than Mark at this boundary.
Mark↔Matthew,mm_gap_020,mark_used_matthew,Matthew,Mark,Matt 21:43–Matt 22:14,Mark 12:11–Mark 12:12,18,2,target_omission_of_source,Mark must omit/non-use Matthean material here.,Markan epitome/abbreviation and action-narrative selectivity.,16,Matthew has 16 more gap verses than Mark at this boundary.
Mark↔Matthew,mm_gap_021,matthew_used_mark,Mark,Matthew,Mark 12:38–Mark 12:44,Matt 22:46–Matt 23:39,7,39,target_addition,Matthew must add/insert/reposition extra material here.,Matthean added source/tradition/discourse/fulfillment material or relocation.,32,Matthew has 32 more gap verses than Mark at this boundary.
Mark↔Matthew,mm_gap_021,mark_used_matthew,Matthew,Mark,Matt 22:46–Matt 23:39,Mark 12:38–Mark 12:44,39,7,target_omission_of_source,Mark must omit/non-use Matthean material here.,Markan epitome/abbreviation and action-narrative selectivity.,32,Matthew has 32 more gap verses than Mark at this boundary.
Mark↔Matthew,mm_gap_022,matthew_used_mark,Mark,Matthew,Mark 13:33–Mark 13:37,Matt 24:37–Matt 26:3,5,64,target_addition,Matthew must add/insert/reposition extra material here.,Matthean added source/tradition/discourse/fulfillment material or relocation.,59,Matthew has 59 more gap verses than Mark at this boundary.
Mark↔Matthew,mm_gap_022,mark_used_matthew,Matthew,Mark,Matt 24:37–Matt 26:3,Mark 13:33–Mark 13:37,64,5,target_omission_of_source,Mark must omit/non-use Matthean material here.,Markan epitome/abbreviation and action-narrative selectivity.,59,Matthew has 59 more gap verses than Mark at this boundary.
Mark↔Matthew,mm_gap_023,matthew_used_mark,Mark,Matthew,,Matt 27:2–Matt 27:10,0,9,target_addition,Matthew must add/insert/reposition extra material here.,Matthean added source/tradition/discourse/fulfillment material or relocation.,9,Matthew has 9 more gap verses than Mark at this boundary.
Mark↔Matthew,mm_gap_023,mark_used_matthew,Matthew,Mark,Matt 27:2–Matt 27:10,,9,0,target_omission_of_source,Mark must omit/non-use Matthean material here.,Markan epitome/abbreviation and action-narrative selectivity.,9,Matthew has 9 more gap verses than Mark at this boundary.
Mark↔Matthew,mm_gap_024,matthew_used_mark,Mark,Matthew,Mark 16:1–Mark 16:5,Matt 27:62–Matt 28:5,5,10,target_addition,Matthew must add/insert/reposition extra material here.,Matthean added source/tradition/discourse/fulfillment material or relocation.,5,Matthew has 5 more gap verses than Mark at this boundary.
Mark↔Matthew,mm_gap_024,mark_used_matthew,Matthew,Mark,Matt 27:62–Matt 28:5,Mark 16:1–Mark 16:5,10,5,target_omission_of_source,Mark must omit/non-use Matthean material here.,Markan epitome/abbreviation and action-narrative selectivity.,5,Matthew has 5 more gap verses than Mark at this boundary.
Mark↔Matthew,mm_gap_025,matthew_used_mark,Mark,Matthew,Mark 16:8–Mark 16:20,Matt 28:8–Matt 28:20,13,13,balanced_gap,Similar gap size; local redaction only.,Matthean abbreviation or relocation.,0,Gap sizes are equal at this boundary.
Mark↔Matthew,mm_gap_025,mark_used_matthew,Matthew,Mark,Matt 28:8–Matt 28:20,Mark 16:8–Mark 16:20,13,13,balanced_gap,Similar gap size; local redaction only.,Markan expansion/vividization or de-grouping.,0,Gap sizes are equal at this boundary.
Mark↔Luke,gap_000,luke_used_mark,Mark,Luke,Mark 1:1; Mark 1:2,Luke 1:1; Luke 1:2; Luke 1:3; Luke 1:4; ...+37 more,2,135,target_addition,Luke must add/insert/reposition material here.,Lukan infancy/travel/teaching material or relocation from other sources.,133,Material present only/mostly in target in this interval is a target-addition burden under source-prior; material present only/mostly in source is an omission/addition burden under target-prior.
Mark↔Luke,gap_000,mark_used_luke,Luke,Mark,Luke 1:1; Luke 1:2; Luke 1:3; Luke 1:4; ...+37 more,Mark 1:1; Mark 1:2,135,2,target_omission_of_source,Mark must omit/non-use Lukan material here.,Markan radical epitome/abbreviation of Luke.,133,Material present only/mostly in target in this interval is a target-addition burden under source-prior; material present only/mostly in source is an omission/addition burden under target-prior.
Mark↔Luke,gap_001,luke_used_mark,Mark,Luke,Mark 1:4; Mark 1:5; Mark 1:6,Luke 3:5; Luke 3:6; Luke 3:7; Luke 3:8; ...+7 more,3,11,target_addition,Luke must add/insert/reposition material here.,Lukan infancy/travel/teaching material or relocation from other sources.,8,Material present only/mostly in target in this interval is a target-addition burden under source-prior; material present only/mostly in source is an omission/addition burden under target-prior.
Mark↔Luke,gap_001,mark_used_luke,Luke,Mark,Luke 3:5; Luke 3:6; Luke 3:7; Luke 3:8; ...+7 more,Mark 1:4; Mark 1:5; Mark 1:6,11,3,target_omission_of_source,Mark must omit/non-use Lukan material here.,Markan radical epitome/abbreviation of Luke.,8,Material present only/mostly in target in this interval is a target-addition burden under source-prior; material present only/mostly in source is an omission/addition burden under target-prior.
Mark↔Luke,gap_002,luke_used_mark,Mark,Luke,Mark 1:8; Mark 1:9; Mark 1:10,Luke 3:17; Luke 3:18; Luke 3:19; Luke 3:20; ...+1 more,3,5,target_addition,Luke must add/insert/reposition material here.,Lukan infancy/travel/teaching material or relocation from other sources.,2,Material present only/mostly in target in this interval is a target-addition burden under source-prior; material present only/mostly in source is an omission/addition burden under target-prior.
Mark↔Luke,gap_002,mark_used_luke,Luke,Mark,Luke 3:17; Luke 3:18; Luke 3:19; Luke 3:20; ...+1 more,Mark 1:8; Mark 1:9; Mark 1:10,5,3,target_omission_of_source,Mark must omit/non-use Lukan material here.,Markan radical epitome/abbreviation of Luke.,2,Material present only/mostly in target in this interval is a target-addition burden under source-prior; material present only/mostly in source is an omission/addition burden under target-prior.
Mark↔Luke,gap_003,luke_used_mark,Mark,Luke,Mark 1:12; Mark 1:13; Mark 1:14; Mark 1:15; ...+5 more,Luke 3:23; Luke 3:24; Luke 3:25; Luke 3:26; ...+37 more,9,46,target_addition,Luke must add/insert/reposition material here.,Lukan infancy/travel/teaching material or relocation from other sources.,37,Material present only/mostly in target in this interval is a target-addition burden under source-prior; material present only/mostly in source is an omission/addition burden under target-prior.
Mark↔Luke,gap_003,mark_used_luke,Luke,Mark,Luke 3:23; Luke 3:24; Luke 3:25; Luke 3:26; ...+37 more,Mark 1:12; Mark 1:13; Mark 1:14; Mark 1:15; ...+5 more,46,9,target_omission_of_source,Mark must omit/non-use Lukan material here.,Markan radical epitome/abbreviation of Luke.,37,Material present only/mostly in target in this interval is a target-addition burden under source-prior; material present only/mostly in source is an omission/addition burden under target-prior.
Mark↔Luke,gap_008,luke_used_mark,Mark,Luke,Mark 1:26; Mark 1:27; Mark 1:28,Luke 4:36; Luke 4:37,3,2,target_omission_of_source,Luke must omit/compress Markan material here.,Lukan abbreviation/omission/reordering of Markan sequence.,1,Material present only/mostly in target in this interval is a target-addition burden under source-prior; material present only/mostly in source is an omission/addition burden under target-prior.
Mark↔Luke,gap_008,mark_used_luke,Luke,Mark,Luke 4:36; Luke 4:37,Mark 1:26; Mark 1:27; Mark 1:28,2,3,target_addition,Mark adds material here beyond Luke.,Markan expansion or vividization.,1,Material present only/mostly in target in this interval is a target-addition burden under source-prior; material present only/mostly in source is an omission/addition burden under target-prior.
Mark↔Luke,gap_009,luke_used_mark,Mark,Luke,Mark 1:30,,1,0,target_omission_of_source,Luke must omit/compress Markan material here.,Lukan abbreviation/omission/reordering of Markan sequence.,1,Material present only/mostly in target in this interval is a target-addition burden under source-prior; material present only/mostly in source is an omission/addition burden under target-prior.
Mark↔Luke,gap_009,mark_used_luke,Luke,Mark,,Mark 1:30,0,1,target_addition,Mark adds material here beyond Luke.,Markan expansion or vividization.,1,Material present only/mostly in target in this interval is a target-addition burden under source-prior; material present only/mostly in source is an omission/addition burden under target-prior.
Mark↔Luke,gap_010,luke_used_mark,Mark,Luke,Mark 1:32; Mark 1:33; Mark 1:34; Mark 1:35; ...+3 more,Luke 4:40; Luke 4:41; Luke 4:42; Luke 4:43,7,4,target_omission_of_source,Luke must omit/compress Markan material here.,Lukan abbreviation/omission/reordering of Markan sequence.,3,Material present only/mostly in target in this interval is a target-addition burden under source-prior; material present only/mostly in source is an omission/addition burden under target-prior.
Mark↔Luke,gap_010,mark_used_luke,Luke,Mark,Luke 4:40; Luke 4:41; Luke 4:42; Luke 4:43,Mark 1:32; Mark 1:33; Mark 1:34; Mark 1:35; ...+3 more,4,7,target_addition,Mark adds material here beyond Luke.,Markan expansion or vividization.,3,Material present only/mostly in target in this interval is a target-addition burden under source-prior; material present only/mostly in source is an omission/addition burden under target-prior.
Mark↔Luke,gap_011,luke_used_mark,Mark,Luke,,Luke 5:1; Luke 5:2; Luke 5:3; Luke 5:4; ...+7 more,0,11,target_addition,Luke must add/insert/reposition material here.,Lukan infancy/travel/teaching material or relocation from other sources.,11,Material present only/mostly in target in this interval is a target-addition burden under source-prior; material present only/mostly in source is an omission/addition burden under target-prior.
Mark↔Luke,gap_011,mark_used_luke,Luke,Mark,Luke 5:1; Luke 5:2; Luke 5:3; Luke 5:4; ...+7 more,,11,0,target_omission_of_source,Mark must omit/non-use Lukan material here.,Markan radical epitome/abbreviation of Luke.,11,Material present only/mostly in target in this interval is a target-addition burden under source-prior; material present only/mostly in source is an omission/addition burden under target-prior.
Mark↔Luke,gap_013,luke_used_mark,Mark,Luke,Mark 1:42; Mark 1:43,,2,0,target_omission_of_source,Luke must omit/compress Markan material here.,Lukan abbreviation/omission/reordering of Markan sequence.,2,Material present only/mostly in target in this interval is a target-addition burden under source-prior; material present only/mostly in source is an omission/addition burden under target-prior.
Mark↔Luke,gap_013,mark_used_luke,Luke,Mark,,Mark 1:42; Mark 1:43,0,2,target_addition,Mark adds material here beyond Luke.,Markan expansion or vividization.,2,Material present only/mostly in target in this interval is a target-addition burden under source-prior; material present only/mostly in source is an omission/addition burden under target-prior.
Mark↔Luke,gap_014,luke_used_mark,Mark,Luke,Mark 1:45; Mark 2:1; Mark 2:2; Mark 2:3; ...+1 more,Luke 5:15; Luke 5:16; Luke 5:17; Luke 5:18; ...+1 more,5,5,balanced_gap,Similar gap size; local redaction only.,Lukan abbreviation/omission/reordering of Markan sequence.,0,Material present only/mostly in target in this interval is a target-addition burden under source-prior; material present only/mostly in source is an omission/addition burden under target-prior.
Mark↔Luke,gap_014,mark_used_luke,Luke,Mark,Luke 5:15; Luke 5:16; Luke 5:17; Luke 5:18; ...+1 more,Mark 1:45; Mark 2:1; Mark 2:2; Mark 2:3; ...+1 more,5,5,balanced_gap,Similar gap size; local redaction only.,Markan expansion or vividization.,0,Material present only/mostly in target in this interval is a target-addition burden under source-prior; material present only/mostly in source is an omission/addition burden under target-prior.
Mark↔Luke,gap_015,luke_used_mark,Mark,Luke,Mark 2:6,,1,0,target_omission_of_source,Luke must omit/compress Markan material here.,Lukan abbreviation/omission/reordering of Markan sequence.,1,Material present only/mostly in target in this interval is a target-addition burden under source-prior; material present only/mostly in source is an omission/addition burden under target-prior.
Mark↔Luke,gap_015,mark_used_luke,Luke,Mark,,Mark 2:6,0,1,target_addition,Mark adds material here beyond Luke.,Markan expansion or vividization.,1,Material present only/mostly in target in this interval is a target-addition burden under source-prior; material present only/mostly in source is an omission/addition burden under target-prior.
Mark↔Luke,gap_019,luke_used_mark,Mark,Luke,Mark 2:11; Mark 2:12; Mark 2:13,Luke 5:25; Luke 5:26,3,2,target_omission_of_source,Luke must omit/compress Markan material here.,Lukan abbreviation/omission/reordering of Markan sequence.,1,Material present only/mostly in target in this interval is a target-addition burden under source-prior; material present only/mostly in source is an omission/addition burden under target-prior.
Mark↔Luke,gap_019,mark_used_luke,Luke,Mark,Luke 5:25; Luke 5:26,Mark 2:11; Mark 2:12; Mark 2:13,2,3,target_addition,Mark adds material here beyond Luke.,Markan expansion or vividization.,1,Material present only/mostly in target in this interval is a target-addition burden under source-prior; material present only/mostly in source is an omission/addition burden under target-prior.
Mark↔Luke,gap_020,luke_used_mark,Mark,Luke,Mark 2:15; Mark 2:16,Luke 5:28; Luke 5:29; Luke 5:30; Luke 5:31,2,4,target_addition,Luke must add/insert/reposition material here.,Lukan infancy/travel/teaching material or relocation from other sources.,2,Material present only/mostly in target in this interval is a target-addition burden under source-prior; material present only/mostly in source is an omission/addition burden under target-prior.
Mark↔Luke,gap_020,mark_used_luke,Luke,Mark,Luke 5:28; Luke 5:29; Luke 5:30; Luke 5:31,Mark 2:15; Mark 2:16,4,2,target_omission_of_source,Mark must omit/non-use Lukan material here.,Markan radical epitome/abbreviation of Luke.,2,Material present only/mostly in target in this interval is a target-addition burden under source-prior; material present only/mostly in source is an omission/addition burden under target-prior.
Mark↔Luke,gap_021,luke_used_mark,Mark,Luke,Mark 2:18,Luke 5:33,1,1,balanced_gap,Similar gap size; local redaction only.,Lukan abbreviation/omission/reordering of Markan sequence.,0,Material present only/mostly in target in this interval is a target-addition burden under source-prior; material present only/mostly in source is an omission/addition burden under target-prior.
Mark↔Luke,gap_021,mark_used_luke,Luke,Mark,Luke 5:33,Mark 2:18,1,1,balanced_gap,Similar gap size; local redaction only.,Markan expansion or vividization.,0,Material present only/mostly in target in this interval is a target-addition burden under source-prior; material present only/mostly in source is an omission/addition burden under target-prior.
Mark↔Luke,gap_025,luke_used_mark,Mark,Luke,,Luke 5:38; Luke 5:39,0,2,target_addition,Luke must add/insert/reposition material here.,Lukan infancy/travel/teaching material or relocation from other sources.,2,Material present only/mostly in target in this interval is a target-addition burden under source-prior; material present only/mostly in source is an omission/addition burden under target-prior.
Mark↔Luke,gap_025,mark_used_luke,Luke,Mark,Luke 5:38; Luke 5:39,,2,0,target_omission_of_source,Mark must omit/non-use Lukan material here.,Markan radical epitome/abbreviation of Luke.,2,Material present only/mostly in target in this interval is a target-addition burden under source-prior; material present only/mostly in source is an omission/addition burden under target-prior.
Mark↔Luke,gap_029,luke_used_mark,Mark,Luke,Mark 2:27,,1,0,target_omission_of_source,Luke must omit/compress Markan material here.,Lukan abbreviation/omission/reordering of Markan sequence.,1,Material present only/mostly in target in this interval is a target-addition burden under source-prior; material present only/mostly in source is an omission/addition burden under target-prior.
Mark↔Luke,gap_029,mark_used_luke,Luke,Mark,,Mark 2:27,0,1,target_addition,Mark adds material here beyond Luke.,Markan expansion or vividization.,1,Material present only/mostly in target in this interval is a target-addition burden under source-prior; material present only/mostly in source is an omission/addition burden under target-prior.
Mark↔Luke,gap_031,luke_used_mark,Mark,Luke,Mark 3:2,Luke 6:7,1,1,balanced_gap,Similar gap size; local redaction only.,Lukan abbreviation/omission/reordering of Markan sequence.,0,Material present only/mostly in target in this interval is a target-addition burden under source-prior; material present only/mostly in source is an omission/addition burden under target-prior.
Mark↔Luke,gap_031,mark_used_luke,Luke,Mark,Luke 6:7,Mark 3:2,1,1,balanced_gap,Similar gap size; local redaction only.,Markan expansion or vividization.,0,Material present only/mostly in target in this interval is a target-addition burden under source-prior; material present only/mostly in source is an omission/addition burden under target-prior.
Mark↔Luke,gap_034,luke_used_mark,Mark,Luke,Mark 3:6; Mark 3:7; Mark 3:8; Mark 3:9; ...+8 more,Luke 6:11; Luke 6:12; Luke 6:13; Luke 6:14,12,4,target_omission_of_source,Luke must omit/compress Markan material here.,Lukan abbreviation/omission/reordering of Markan sequence.,8,Material present only/mostly in target in this interval is a target-addition burden under source-prior; material present only/mostly in source is an omission/addition burden under target-prior.
Mark↔Luke,gap_034,mark_used_luke,Luke,Mark,Luke 6:11; Luke 6:12; Luke 6:13; Luke 6:14,Mark 3:6; Mark 3:7; Mark 3:8; Mark 3:9; ...+8 more,4,12,target_addition,Mark adds material here beyond Luke.,Markan expansion or vividization.,8,Material present only/mostly in target in this interval is a target-addition burden under source-prior; material present only/mostly in source is an omission/addition burden under target-prior.
Mark↔Luke,gap_036,luke_used_mark,Mark,Luke,Mark 3:20; Mark 3:21; Mark 3:22; Mark 3:23; ...+15 more,Luke 6:17; Luke 6:18; Luke 6:19; Luke 6:20; ...+37 more,19,87,target_addition,Luke must add/insert/reposition material here.,Lukan infancy/travel/teaching material or relocation from other sources.,68,Material present only/mostly in target in this interval is a target-addition burden under source-prior; material present only/mostly in source is an omission/addition burden under target-prior.
