thomas_logion,word_count,lemma_count,registered_parallel_count,motifs,matthew_refs,mark_refs,luke_refs,john_refs,relation_type,matrix_strength,direct_dependence_burden_labels,best_first_model,coptic_greek_caveat,curation_status,automatic_coptic_greek_candidate_generation,automatic_coptic_greek_lexical_score_available,parallel_certainty,parallel_certainty_basis,analysis_ready_for_directional_claim
34,27,27,1,blind leading blind,Matt 15:14,,Luke 6:39,,shared_sayings_or_parable_tradition,medium,low,portable proverb,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.,curated_from_prior_registry,False,False,medium,curated motif/structure parallel,False
35,35,35,1,strong man house/plunder,Matt 12:29,Mark 3:27,Luke 11:21-22,,overlapping_jesus_tradition_uncertain_direction,high,moderate,shared controversy saying/tradition,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.,curated_from_prior_registry,False,False,high,strong curated motif/structure parallel,False
36,23,23,1,anxiety over clothing,Matt 6:25-34,,Luke 12:22-31,,overlapping_jesus_tradition_uncertain_direction,medium,moderate,shared sapiential saying cluster,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.,curated_from_prior_registry,False,False,medium,curated motif/structure parallel,False
37,84,84,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.,no_curated_canonical_parallel_in_prior_registry,False,False,not_assessed,no curated parallel,False
38,50,50,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.,no_curated_canonical_parallel_in_prior_registry,False,False,not_assessed,no curated parallel,False
39,57,57,1,keys/knowledge and exclusion,Matt 23:13,,Luke 11:52,,overlapping_jesus_tradition_uncertain_direction,medium,moderate,shared polemical saying; possible Luke/Thomas cluster,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.,curated_from_prior_registry,False,False,medium,curated motif/structure parallel,False
40,33,33,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.,no_curated_canonical_parallel_in_prior_registry,False,False,not_assessed,no curated parallel,False
41,33,33,1,whoever has will receive,Matt 13:12,Mark 4:25,Luke 19:26; Luke 8:18,,shared_sayings_or_parable_tradition,high,low,portable aphorism,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.,curated_from_prior_registry,False,False,high,strong curated motif/structure parallel,False
42,7,7,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.,no_curated_canonical_parallel_in_prior_registry,False,False,not_assessed,no curated parallel,False
43,65,65,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.,no_curated_canonical_parallel_in_prior_registry,False,False,not_assessed,no curated parallel,False
44,55,55,1,blasphemy against Spirit,Matt 12:31-32,Mark 3:28-29,Luke 12:10,,overlapping_jesus_tradition_uncertain_direction,high,moderate,shared controversy saying,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.,curated_from_prior_registry,False,False,high,strong curated motif/structure parallel,False
45,79,79,1,tree and fruit / good and evil treasury,Matt 7:16-20,,Luke 6:43-45,,overlapping_jesus_tradition_uncertain_direction,medium,low-to-moderate,shared sapiential cluster,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.,curated_from_prior_registry,False,False,medium,curated motif/structure parallel,False
46,60,60,1,John the Baptist and least/greatest,Matt 11:11,,Luke 7:28,,overlapping_jesus_tradition_uncertain_direction,medium,moderate,shared Baptist saying,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.,curated_from_prior_registry,False,False,medium,curated motif/structure parallel,False
47,109,109,1,new wine/old wineskins; two masters?,Matt 6:24; Matt 9:16-17,Mark 2:21-22,Luke 16:13; Luke 5:36-39,,overlapping_jesus_tradition_uncertain_direction,high,high for any single source,conflated saying cluster; network model better than tree model,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.,curated_from_prior_registry,False,False,high,strong curated motif/structure parallel,False
48,27,27,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.,no_curated_canonical_parallel_in_prior_registry,False,False,not_assessed,no curated parallel,False
49,31,31,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.,no_curated_canonical_parallel_in_prior_registry,False,False,not_assessed,no curated parallel,False
50,102,102,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.,no_curated_canonical_parallel_in_prior_registry,False,False,not_assessed,no curated parallel,False
51,53,53,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.,no_curated_canonical_parallel_in_prior_registry,False,False,not_assessed,no curated parallel,False
52,50,50,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.,no_curated_canonical_parallel_in_prior_registry,False,False,not_assessed,no curated parallel,False
53,46,46,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.,no_curated_canonical_parallel_in_prior_registry,False,False,not_assessed,no curated parallel,False
54,16,16,1,blessed poor / kingdom,Matt 5:3,,Luke 6:20,,overlapping_jesus_tradition_uncertain_direction,medium,moderate,beatitude tradition; Thomas closer to Luke’s simple poor form,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.,curated_from_prior_registry,False,False,medium,curated motif/structure parallel,False
55,50,50,1,hate family and carry cross,Matt 10:37-38,,Luke 14:26-27,,overlapping_jesus_tradition_uncertain_direction,medium,moderate,discipleship saying tradition,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.,curated_from_prior_registry,False,False,medium,curated motif/structure parallel,False
56,30,30,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.,no_curated_canonical_parallel_in_prior_registry,False,False,not_assessed,no curated parallel,False
57,97,97,1,weeds/tares,Matt 13:24-30,,,,overlapping_jesus_tradition_uncertain_direction,medium,moderate-to-high,possible Matthew-related tradition; Thomas shorter and less allegorized,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.,curated_from_prior_registry,False,False,medium,curated motif/structure parallel,False
58,18,18,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.,no_curated_canonical_parallel_in_prior_registry,False,False,not_assessed,no curated parallel,False
59,33,33,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.,no_curated_canonical_parallel_in_prior_registry,False,False,not_assessed,no curated parallel,False
60,111,111,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.,no_curated_canonical_parallel_in_prior_registry,False,False,not_assessed,no curated parallel,False
61,100,100,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.,no_curated_canonical_parallel_in_prior_registry,False,False,not_assessed,no curated parallel,False
62,33,33,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.,no_curated_canonical_parallel_in_prior_registry,False,False,not_assessed,no curated parallel,False
63,80,80,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.,no_curated_canonical_parallel_in_prior_registry,False,False,not_assessed,no curated parallel,False
64,269,269,1,banquet excuses,Matt 22:1-14,,Luke 14:16-24,,shared_sayings_or_parable_tradition,medium,moderate,parable tradition; Luke/Thomas closer in shape than Matthew,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.,curated_from_prior_registry,False,False,medium,curated motif/structure parallel,False
65,167,167,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.,no_curated_canonical_parallel_in_prior_registry,False,False,not_assessed,no curated parallel,False
66,26,26,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.,no_curated_canonical_parallel_in_prior_registry,False,False,not_assessed,no curated parallel,False
67,21,21,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.,no_curated_canonical_parallel_in_prior_registry,False,False,not_assessed,no curated parallel,False
68,34,34,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.,no_curated_canonical_parallel_in_prior_registry,False,False,not_assessed,no curated parallel,False
69,46,46,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.,no_curated_canonical_parallel_in_prior_registry,False,False,not_assessed,no curated parallel,False
70,34,34,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.,no_curated_canonical_parallel_in_prior_registry,False,False,not_assessed,no curated parallel,False
71,18,18,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.,no_curated_canonical_parallel_in_prior_registry,False,False,not_assessed,no curated parallel,False
72,59,59,1,inheritance divider,,,Luke 12:13-14,,overlapping_jesus_tradition_uncertain_direction,medium,moderate,shared Lukan/Thomas-like independent saying or Thomas knowing Luke; independence burden high,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.,curated_from_prior_registry,False,False,medium,curated motif/structure parallel,False
73,27,27,1,"harvest plentiful, laborers few",Matt 9:37-38,,Luke 10:2,,overlapping_jesus_tradition_uncertain_direction,medium,low-to-moderate,mission saying tradition,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.,curated_from_prior_registry,False,False,medium,curated motif/structure parallel,False
74,20,20,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.,no_curated_canonical_parallel_in_prior_registry,False,False,not_assessed,no curated parallel,False
75,23,23,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.,no_curated_canonical_parallel_in_prior_registry,False,False,not_assessed,no curated parallel,False
76,82,82,1,pearl of great value,Matt 13:45-46,,,,shared_sayings_or_parable_tradition,medium,moderate-to-high,parable tradition; possible Matthean relationship but not decided by Coptic layer alone,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.,curated_from_prior_registry,False,False,medium,curated motif/structure parallel,False
77,52,52,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.,no_curated_canonical_parallel_in_prior_registry,False,False,not_assessed,no curated parallel,False
78,63,63,1,reed/soft clothing in palaces,Matt 11:7-8,,Luke 7:24-25,,overlapping_jesus_tradition_uncertain_direction,medium,moderate,Baptist saying tradition,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.,curated_from_prior_registry,False,False,medium,curated motif/structure parallel,False
79,85,85,1,womb/breasts blessing reversed,,,Luke 11:27-28,,overlapping_jesus_tradition_uncertain_direction,medium,moderate,shared or Lukan-related saying; high-value because uncommon scene,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.,curated_from_prior_registry,False,False,medium,curated motif/structure parallel,False
80,31,31,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.,no_curated_canonical_parallel_in_prior_registry,False,False,not_assessed,no curated parallel,False
81,22,22,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.,no_curated_canonical_parallel_in_prior_registry,False,False,not_assessed,no curated parallel,False
82,25,25,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.,no_curated_canonical_parallel_in_prior_registry,False,False,not_assessed,no curated parallel,False
83,40,40,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.,no_curated_canonical_parallel_in_prior_registry,False,False,not_assessed,no curated parallel,False
84,42,42,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.,no_curated_canonical_parallel_in_prior_registry,False,False,not_assessed,no curated parallel,False
85,42,42,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.,no_curated_canonical_parallel_in_prior_registry,False,False,not_assessed,no curated parallel,False
86,41,41,1,foxes have holes,Matt 8:20,,Luke 9:58,,overlapping_jesus_tradition_uncertain_direction,medium,low-to-moderate,discipleship saying tradition,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.,curated_from_prior_registry,False,False,medium,curated motif/structure parallel,False
87,28,28,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.,no_curated_canonical_parallel_in_prior_registry,False,False,not_assessed,no curated parallel,False
88,54,54,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.,no_curated_canonical_parallel_in_prior_registry,False,False,not_assessed,no curated parallel,False
89,41,41,1,clean inside/outside cup,Matt 23:25-26,,Luke 11:39-41,,overlapping_jesus_tradition_uncertain_direction,medium,moderate,shared polemical saying; possible Luke/Thomas form relation,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.,curated_from_prior_registry,False,False,medium,curated motif/structure parallel,False
90,28,28,1,rest and easy yoke,Matt 11:28-30,,,,overlapping_jesus_tradition_uncertain_direction,medium,moderate-to-high,possible Matthean/Thomas relation or shared wisdom-Christology saying,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.,curated_from_prior_registry,False,False,medium,curated motif/structure parallel,False
91,56,56,1,interpreting weather/signs but not the time,Matt 16:2-3,,Luke 12:54-56,,overlapping_jesus_tradition_uncertain_direction,medium,moderate,shared signs-of-the-time saying,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.,curated_from_prior_registry,False,False,medium,curated motif/structure parallel,False
92,45,45,1,seek/find,Matt 7:7-8,,Luke 11:9-10,,shared_sayings_or_parable_tradition,medium,low-to-moderate,portable saying; Thomas redactional context matters more than surface wording,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.,curated_from_prior_registry,False,False,medium,curated motif/structure parallel,False
93,32,32,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.,no_curated_canonical_parallel_in_prior_registry,False,False,not_assessed,no curated parallel,False
94,17,17,1,seek/find/knock/open,Matt 7:7-8,,Luke 11:9-10,,shared_sayings_or_parable_tradition,medium,low-to-moderate,portable saying,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.,curated_from_prior_registry,False,False,medium,curated motif/structure parallel,False
95,26,26,1,lend without return/usury,,,Luke 6:34-35,,overlapping_jesus_tradition_uncertain_direction,medium,moderate,shared ethical saying; possible Lukan affinity,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.,curated_from_prior_registry,False,False,medium,curated motif/structure parallel,False
96,46,46,1,leaven,Matt 13:33,,Luke 13:20-21,,shared_sayings_or_parable_tradition,medium,moderate,parable tradition,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.,curated_from_prior_registry,False,False,medium,curated motif/structure parallel,False
97,88,88,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.,no_curated_canonical_parallel_in_prior_registry,False,False,not_assessed,no curated parallel,False
98,55,55,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.,no_curated_canonical_parallel_in_prior_registry,False,False,not_assessed,no curated parallel,False
99,58,58,1,true family does will of Father,Matt 12:46-50,Mark 3:31-35,Luke 8:19-21,,overlapping_jesus_tradition_uncertain_direction,high,moderate,shared biographical/saying tradition,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.,curated_from_prior_registry,False,False,high,strong curated motif/structure parallel,False
100,54,54,1,Caesar’s coin,Matt 22:15-22,Mark 12:13-17,Luke 20:20-26,,possible_synoptic_influence_or_harmonization,high,moderate,shared controversy tradition; direct relation possible only with closer wording analysis,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.,curated_from_prior_registry,False,False,medium_high,motif + structured canonical parallel; direction uncertain,True
