layer	pair_id	matt_ref	luke_ref	score	lcs	tags	matt_text	luke_text	lemma_diff	surface_diff	matt_only_lemmas	luke_only_lemmas	shared_lemmas
primary_chain	11	Matt 5:46	Luke 6:32	0.408055	0.375000	moderate_parallel	ἐὰν γὰρ ἀγαπήσητε τοὺς ἀγαπῶντας ὑμᾶς, τίνα μισθὸν ἔχετε; οὐχὶ καὶ οἱ τελῶναι ⸂τὸ αὐτὸ⸃ ποιοῦσιν;	Καὶ εἰ ἀγαπᾶτε τοὺς ἀγαπῶντας ὑμᾶς, ποία ὑμῖν χάρις ἐστίν; καὶ γὰρ οἱ ἁμαρτωλοὶ τοὺς ἀγαπῶντας αὐτοὺς ἀγαπῶσιν.	ἐάν γάρ → καί εἰ; τίς μισθός ἔχω οὐχί → ποῖος σύ χάρις εἰμί; +L[γάρ]; τελώνης → ἁμαρτωλός; +L[ἀγαπάω]; ποιέω → ἀγαπάω	ἐὰν γὰρ ἀγαπήσητε → Καὶ εἰ ἀγαπᾶτε; τίνα μισθὸν ἔχετε οὐχὶ → ποία ὑμῖν χάρις ἐστίν; +L[γὰρ]; τελῶναι τὸ αὐτὸ ποιοῦσιν → ἁμαρτωλοὶ τοὺς ἀγαπῶντας αὐτοὺς ἀγαπῶσιν	μισθός ἔχω τελώνης αὐτός ποιέω	ἀγαπάω ἀγαπάω χάρις εἰμί ἁμαρτωλός	καί ἀγαπάω
primary_chain	12	Matt 7:1	Luke 6:37	0.562774	1.000000	moderate_parallel;luke_expands_or_matt_abbreviates;content_order_preserved	Μὴ κρίνετε, ἵνα μὴ κριθῆτε·	Καὶ μὴ κρίνετε, καὶ οὐ μὴ κριθῆτε· ⸀καὶ μὴ καταδικάζετε, καὶ οὐ μὴ καταδικασθῆτε. ἀπολύετε, καὶ ἀπολυθήσεσθε·	+L[καί]; ἵνα → καί οὐ; +L[καί μή καταδικάζω καί οὐ μή καταδικάζω ἀπολύω καί ἀπολύω]	Μὴ → Καὶ μὴ; ἵνα → καὶ οὐ; +L[καὶ μὴ καταδικάζετε καὶ οὐ μὴ καταδικασθῆτε ἀπολύετε καὶ ἀπολυθήσεσθε]		μή μή οὐ οὐ καταδικάζω καταδικάζω ἀπολύω ἀπολύω	κρίνω μή
primary_chain	13	Matt 7:3	Luke 6:41	0.698098	0.777778	strong_parallel;content_order_preserved;multi_lemma_overlap	τί δὲ βλέπεις τὸ κάρφος τὸ ἐν τῷ ὀφθαλμῷ τοῦ ἀδελφοῦ σου, τὴν δὲ ἐν τῷ σῷ ὀφθαλμῷ δοκὸν οὐ κατανοεῖς;	τί δὲ βλέπεις τὸ κάρφος τὸ ἐν τῷ ὀφθαλμῷ τοῦ ἀδελφοῦ σου, τὴν δὲ δοκὸν τὴν ἐν τῷ ἰδίῳ ὀφθαλμῷ οὐ κατανοεῖς;	+L[δοκός ὁ]; σός → ἴδιος; −M[δοκός]	+L[δοκὸν τὴν]; σῷ → ἰδίῳ; −M[δοκὸν]	σός	ἴδιος	βλέπω δοκός κάρφος κατανοέω οὐ ἀδελφός ὀφθαλμός
primary_chain	14	Matt 7:4	Luke 6:42	0.690829	1.000000	strong_parallel;luke_expands_or_matt_abbreviates;content_order_preserved;multi_lemma_overlap	ἢ πῶς ἐρεῖς τῷ ἀδελφῷ σου· Ἄφες ἐκβάλω τὸ κάρφος ⸀ἐκ τοῦ ὀφθαλμοῦ σου, καὶ ἰδοὺ ἡ δοκὸς ἐν τῷ ὀφθαλμῷ σοῦ;	⸀πῶς δύνασαι λέγειν τῷ ἀδελφῷ σου· Ἀδελφέ, ἄφες ἐκβάλω τὸ κάρφος τὸ ἐν τῷ ὀφθαλμῷ σου, αὐτὸς τὴν ἐν τῷ ὀφθαλμῷ σοῦ δοκὸν οὐ βλέπων; ὑποκριτά, ἔκβαλε πρῶτον τὴν δοκὸν ἐκ τοῦ ὀφθαλμοῦ σοῦ, καὶ τότε διαβλέψεις ⸂τὸ κάρφος τὸ ἐν τῷ ὀφθαλμῷ τοῦ ἀδελφοῦ σου ἐκβαλεῖν⸃.	−M[ἤ]; +L[δύναμαι]; +L[ἀδελφός]; +L[ὁ ἐν ὁ ὀφθαλμός σύ αὐτός ὁ ἐν ὁ ὀφθαλμός σύ δοκός οὐ βλέπω ὑποκριτής ἐκβάλλω πρῶτος ὁ δοκός]; ἰδού → τότε διαβλέπω; δοκός → κάρφος ὁ; +L[ὁ ἀδελφός]; +L[ἐκβάλλω]	−M[ἢ]; ἐρεῖς → δύνασαι λέγειν; Ἄφες → Ἀδελφέ ἄφες; ἐκ τοῦ ὀφθαλμοῦ → τὸ ἐν τῷ ὀφθαλμῷ; καὶ ἰδοὺ ἡ δοκὸς → αὐτὸς τὴν; +L[δοκὸν οὐ βλέπων ὑποκριτά ἔκβαλε πρῶτον τὴν δοκὸν ἐκ τοῦ ὀφθαλμοῦ σοῦ καὶ τότε διαβλέψεις τὸ κάρφος τὸ ἐν τῷ ὀφθαλμῷ τοῦ ἀδελφοῦ σου ἐκβαλεῖν]		δύναμαι ἀδελφός ἀδελφός ἐκβάλλω ἐκβάλλω κάρφος ὀφθαλμός ὀφθαλμός δοκός οὐ βλέπω ὑποκριτής πρῶτος τότε διαβλέπω	δοκός κάρφος λέγω πῶς ἀδελφός ἀφίημι ἐκβάλλω ὀφθαλμός
primary_chain	15	Matt 7:18	Luke 6:43	0.509298	0.583333	moderate_parallel;multi_lemma_overlap	οὐ δύναται δένδρον ἀγαθὸν καρποὺς πονηροὺς ⸀ποιεῖν, οὐδὲ δένδρον σαπρὸν καρποὺς καλοὺς ποιεῖν.	Οὐ γάρ ἐστιν δένδρον καλὸν ποιοῦν καρπὸν σαπρόν, οὐδὲ ⸀πάλιν δένδρον σαπρὸν ποιοῦν καρπὸν καλόν.	δύναμαι → γάρ εἰμί; ἀγαθός → καλός ποιέω; πονηρός ποιέω → σαπρός; +L[πάλιν]; +L[ποιέω]; −M[ποιέω]	οὐ δύναται → Οὐ γάρ ἐστιν; ἀγαθὸν καρποὺς πονηροὺς ποιεῖν → καλὸν ποιοῦν καρπὸν σαπρόν; +L[πάλιν]; καρποὺς καλοὺς ποιεῖν → ποιοῦν καρπὸν καλόν	δύναμαι ἀγαθός πονηρός	εἰμί καλός σαπρός πάλιν	δένδρον καλός καρπός οὐ ποιέω σαπρός
primary_chain	16	Matt 8:9	Luke 7:8	0.919195	1.000000	close_match;content_order_preserved;multi_lemma_overlap	καὶ γὰρ ἐγὼ ἄνθρωπός εἰμι ὑπὸ ⸀ἐξουσίαν, ἔχων ὑπ’ ἐμαυτὸν στρατιώτας, καὶ λέγω τούτῳ· Πορεύθητι, καὶ πορεύεται, καὶ ἄλλῳ· Ἔρχου, καὶ ἔρχεται, καὶ τῷ δούλῳ μου· Ποίησον τοῦτο, καὶ ποιεῖ.	καὶ γὰρ ἐγὼ ἄνθρωπός εἰμι ὑπὸ ἐξουσίαν τασσόμενος, ἔχων ὑπ’ ἐμαυτὸν στρατιώτας, καὶ λέγω τούτῳ· Πορεύθητι, καὶ πορεύεται, καὶ ἄλλῳ· Ἔρχου, καὶ ἔρχεται, καὶ τῷ δούλῳ μου· Ποίησον τοῦτο, καὶ ποιεῖ.	+L[τάσσω]	+L[τασσόμενος]		τάσσω	δοῦλος εἰμί καί λέγω ποιέω πορεύομαι στρατιώτης ἄλλος ἄνθρωπος ἐξουσία ἔρχομαι ἔχω
primary_chain	17	Matt 8:10	Luke 7:9	0.397739	0.700000	weak_parallel;content_order_preserved;multi_lemma_overlap	ἀκούσας δὲ ὁ Ἰησοῦς ἐθαύμασεν καὶ εἶπεν τοῖς ἀκολουθοῦσιν· Ἀμὴν λέγω ὑμῖν, ⸂παρ’ οὐδενὶ τοσαύτην πίστιν ἐν τῷ Ἰσραὴλ⸃ εὗρον.	ἀκούσας δὲ ταῦτα ὁ Ἰησοῦς ἐθαύμασεν αὐτόν, καὶ στραφεὶς τῷ ἀκολουθοῦντι αὐτῷ ὄχλῳ εἶπεν· Λέγω ὑμῖν, ⸀οὐδὲ ἐν τῷ Ἰσραὴλ τοσαύτην πίστιν εὗρον.	+L[οὗτος]; +L[αὐτός]; λέγω → στρέφω; ἀμήν → αὐτός ὄχλος λέγω; παρά οὐδείς τοσοῦτος πίστις → οὐδέ; +L[τοσοῦτος πίστις]	+L[ταῦτα]; +L[αὐτόν]; +L[στραφεὶς τῷ ἀκολουθοῦντι αὐτῷ ὄχλῳ]; τοῖς ἀκολουθοῦσιν Ἀμὴν λέγω → Λέγω; παρ’ οὐδενὶ τοσαύτην πίστιν → οὐδὲ; +L[τοσαύτην πίστιν]	οὐδείς	στρέφω ὄχλος οὐδέ	εὑρίσκω θαυμάζω λέγω πίστις ἀκολουθέω ἀκούω Ἰησοῦς Ἰσραήλ
primary_chain	18	Matt 11:3	Luke 7:19	0.404583	0.800000	moderate_parallel;luke_expands_or_matt_abbreviates;content_order_preserved	εἶπεν αὐτῷ· Σὺ εἶ ὁ ἐρχόμενος ἢ ἕτερον προσδοκῶμεν;	ἔπεμψεν πρὸς τὸν ⸀κύριον λέγων· Σὺ εἶ ὁ ἐρχόμενος ἢ ⸀ἄλλον προσδοκῶμεν;	+L[πέμπω πρός ὁ κύριος]; −M[αὐτός]; ἕτερος → ἄλλος	εἶπεν αὐτῷ → ἔπεμψεν πρὸς τὸν κύριον λέγων; ἕτερον → ἄλλον	ἕτερος	πέμπω κύριος ἄλλος	εἰμί λέγω προσδοκάω ἔρχομαι
primary_chain	19	Matt 11:5	Luke 7:22	0.757422	1.000000	strong_parallel;luke_expands_or_matt_abbreviates;content_order_preserved;multi_lemma_overlap	τυφλοὶ ἀναβλέπουσιν καὶ χωλοὶ περιπατοῦσιν, λεπροὶ καθαρίζονται καὶ κωφοὶ ἀκούουσιν, ⸀καὶ νεκροὶ ἐγείρονται καὶ πτωχοὶ εὐαγγελίζονται·	καὶ ⸀ἀποκριθεὶς εἶπεν αὐτοῖς· Πορευθέντες ἀπαγγείλατε Ἰωάννῃ ἃ εἴδετε καὶ ἠκούσατε· ⸀τυφλοὶ ἀναβλέπουσιν, χωλοὶ περιπατοῦσιν, λεπροὶ καθαρίζονται, ⸀κωφοὶ ἀκούουσιν, νεκροὶ ἐγείρονται, πτωχοὶ εὐαγγελίζονται·	+L[καί ἀποκρίνομαι λέγω αὐτός πορεύομαι ἀπαγγέλλω Ἰωάννης ὅς ὁράω καί ἀκούω]; −M[καί]; −M[καί]; −M[καί]; −M[καί]	+L[καὶ ἀποκριθεὶς εἶπεν αὐτοῖς Πορευθέντες ἀπαγγείλατε Ἰωάννῃ ἃ εἴδετε καὶ ἠκούσατε]; −M[καὶ]; −M[καὶ]; −M[καὶ]; −M[καὶ]		ἀποκρίνομαι λέγω πορεύομαι ἀπαγγέλλω Ἰωάννης ὁράω ἀκούω	εὐαγγελίζω καθαρίζω κωφός λεπρός νεκρός περιπατέω πτωχός τυφλός χωλός ἀκούω ἀναβλέπω ἐγείρω
primary_chain	20	Matt 11:6	Luke 7:23	1.000000	1.000000	close_match;content_order_preserved	καὶ μακάριός ἐστιν ὃς ⸀ἐὰν μὴ σκανδαλισθῇ ἐν ἐμοί.	καὶ μακάριός ἐστιν ὃς ἐὰν μὴ σκανδαλισθῇ ἐν ἐμοί.					εἰμί μή μακάριος σκανδαλίζω
primary_chain	21	Matt 11:7	Luke 7:24	0.758118	0.833333	strong_parallel;content_order_preserved;multi_lemma_overlap	Τούτων δὲ πορευομένων ἤρξατο ὁ Ἰησοῦς λέγειν τοῖς ὄχλοις περὶ Ἰωάννου· Τί ἐξήλθατε εἰς τὴν ἔρημον θεάσασθαι; κάλαμον ὑπὸ ἀνέμου σαλευόμενον;	Ἀπελθόντων δὲ τῶν ἀγγέλων Ἰωάννου ἤρξατο λέγειν ⸂πρὸς τοὺς ὄχλους⸃ περὶ Ἰωάννου· Τί ⸀ἐξήλθατε εἰς τὴν ἔρημον θεάσασθαι; κάλαμον ὑπὸ ἀνέμου σαλευόμενον;	οὗτος → ἀπέρχομαι; πορεύομαι → ὁ ἄγγελος Ἰωάννης; −M[ὁ Ἰησοῦς]; +L[πρός]	Τούτων → Ἀπελθόντων; πορευομένων → τῶν ἀγγέλων Ἰωάννου; −M[ὁ Ἰησοῦς]; τοῖς ὄχλοις → πρὸς τοὺς ὄχλους	πορεύομαι Ἰησοῦς	ἀπέρχομαι ἄγγελος Ἰωάννης	θεάομαι κάλαμος λέγω σαλεύω ἄνεμος ἄρχω ἐξέρχομαι ἔρημος Ἰωάννης ὄχλος
primary_chain	22	Matt 11:8	Luke 7:25	0.411005	0.600000	moderate_parallel;multi_lemma_overlap	ἀλλὰ τί ἐξήλθατε ἰδεῖν; ἄνθρωπον ἐν ⸀μαλακοῖς ἠμφιεσμένον; ἰδοὺ οἱ τὰ μαλακὰ φοροῦντες ἐν τοῖς οἴκοις τῶν ⸀βασιλέων ⸀εἰσίν.	ἀλλὰ τί ⸀ἐξήλθατε ἰδεῖν; ἄνθρωπον ἐν μαλακοῖς ἱματίοις ἠμφιεσμένον; ἰδοὺ οἱ ἐν ἱματισμῷ ἐνδόξῳ καὶ τρυφῇ ὑπάρχοντες ἐν τοῖς βασιλείοις εἰσίν.	+L[ἱμάτιον]; ὁ μαλακός φορέω → ἐν ἱματισμός ἔνδοξος καί τρυφή ὑπάρχω; οἶκος ὁ βασιλεύς → βασίλειον	+L[ἱματίοις]; τὰ μαλακὰ φοροῦντες → ἐν ἱματισμῷ ἐνδόξῳ καὶ τρυφῇ ὑπάρχοντες; οἴκοις τῶν βασιλέων → βασιλείοις	μαλακός φορέω οἶκος βασιλεύς	ἱμάτιον ἱματισμός ἔνδοξος τρυφή ὑπάρχω βασίλειον	εἰμί μαλακός ἀμφιέννυμι ἄνθρωπος ἐξέρχομαι ὁράω
primary_chain	23	Matt 11:9	Luke 7:26	0.572767	0.833333	moderate_parallel;content_order_preserved;multi_lemma_overlap	ἀλλὰ τί ἐξήλθατε⸂; προφήτην ἰδεῖν⸃; ναί, λέγω ὑμῖν, καὶ περισσότερον προφήτου.	ἀλλὰ τί ⸀ἐξήλθατε ἰδεῖν; προφήτην; ναί, λέγω ὑμῖν, καὶ περισσότερον προφήτου.	+L[ὁράω]; −M[ὁράω]	+L[ἰδεῖν]; −M[ἰδεῖν]			λέγω περισσότερος προφήτης ἐξέρχομαι ὁράω
primary_chain	24	Matt 11:11	Luke 7:28	0.475585	0.666667	moderate_parallel;content_order_preserved;multi_lemma_overlap	ἀμὴν λέγω ὑμῖν, οὐκ ἐγήγερται ἐν γεννητοῖς γυναικῶν μείζων Ἰωάννου τοῦ βαπτιστοῦ· ὁ δὲ μικρότερος ἐν τῇ βασιλείᾳ τῶν οὐρανῶν μείζων αὐτοῦ ἐστιν.	⸀λέγω ὑμῖν, μείζων ἐν γεννητοῖς γυναικῶν ⸀Ἰωάννου οὐδείς ἐστιν· ὁ δὲ μικρότερος ἐν τῇ βασιλείᾳ τοῦ θεοῦ μείζων αὐτοῦ ἐστιν.	−M[ἀμήν]; οὐ ἐγείρω → μέγας; −M[μέγας]; ὁ βαπτιστής → οὐδείς εἰμί; οὐρανός → θεός	−M[ἀμὴν]; οὐκ ἐγήγερται → μείζων; −M[μείζων]; τοῦ βαπτιστοῦ → οὐδείς ἐστιν; τῶν οὐρανῶν → τοῦ θεοῦ	οὐ ἐγείρω βαπτιστής οὐρανός	οὐδείς εἰμί θεός	βασιλεία γεννητός γυνή εἰμί λέγω μέγας μικρός Ἰωάννης
primary_chain	25	Matt 11:17	Luke 7:32	0.592822	0.857143	moderate_parallel;luke_expands_or_matt_abbreviates;content_order_preserved;multi_lemma_overlap	⸀λέγουσιν· Ηὐλήσαμεν ὑμῖν καὶ οὐκ ὠρχήσασθε· ⸀ἐθρηνήσαμεν καὶ οὐκ ἐκόψασθε·	ὅμοιοί εἰσιν παιδίοις τοῖς ἐν ἀγορᾷ καθημένοις καὶ προσφωνοῦσιν ἀλλήλοις, ⸂ἃ λέγει⸃· Ηὐλήσαμεν ὑμῖν καὶ οὐκ ὠρχήσασθε· ⸀ἐθρηνήσαμεν καὶ οὐκ ἐκλαύσατε·	+L[ὅμοιος εἰμί παιδίον ὁ ἐν ἀγορά κάθημαι καί προσφωνέω ἀλλήλων ὅς]; κόπτω → κλαίω	λέγουσιν → ὅμοιοί εἰσιν παιδίοις τοῖς ἐν ἀγορᾷ καθημένοις καὶ προσφωνοῦσιν ἀλλήλοις ἃ λέγει; ἐκόψασθε → ἐκλαύσατε	κόπτω	ὅμοιος εἰμί παιδίον ἀγορά κάθημαι προσφωνέω κλαίω	αὐλέω θρηνέω λέγω οὐ ὀρχέομαι
