layer,source_ref,target_ref,edge_basis,score,max_exact_run_len,max_exact_run,negative_space_flags,provisional_reading,formula_risk
epistles_to_gospels,Rom 1:9,Matt 22:30-32,automatic_greek_window,0.1225,3.0,εστιν ο θεοσ,low_score_semantic_only_or_noise,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 1:9,Mark 1:15,automatic_greek_window,0.1221,3.0,εν τω ευαγγελιω,low_score_semantic_only_or_noise|thin_lexical_basis,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 1:9,Matt 22:30-33,automatic_greek_window,0.1193,3.0,εστιν ο θεοσ,low_score_semantic_only_or_noise,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 1:13,John 15:4,automatic_greek_window,0.106,3.0,εν υμιν καθωσ,low_score_semantic_only_or_noise|thin_lexical_basis,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 1:13,John 15:3-4,automatic_greek_window,0.1015,3.0,εν υμιν καθωσ,low_score_semantic_only_or_noise|thin_lexical_basis,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 1:13,Mark 5:4-5,automatic_greek_window,0.0986,3.0,και εν τοισ,low_score_semantic_only_or_noise|thin_lexical_basis,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 1:16,Mark 13:10,automatic_greek_window,0.184,2.0,το ευαγγελιον,low_score_semantic_only_or_noise,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 1:18,Luke 17:29-30,automatic_greek_window,0.1735,2.0,απ ουρανου,low_score_semantic_only_or_noise,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 1:23,John 12:43,automatic_greek_window,0.1335,3.0,την δοξαν του,low_score_semantic_only_or_noise|thin_lexical_basis,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 1:23,John 11:40,automatic_greek_window,0.1123,3.0,την δοξαν του,low_score_semantic_only_or_noise|thin_lexical_basis,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 1:23,John 12:43-44,automatic_greek_window,0.0986,3.0,την δοξαν του,low_score_semantic_only_or_noise|thin_lexical_basis,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 1:25,Luke 1:33,automatic_greek_window,0.1606,3.0,εισ τουσ αιωνασ,low_score_semantic_only_or_noise,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 1:25,Luke 1:33-36,automatic_greek_window,0.1316,3.0,εισ τουσ αιωνασ,low_score_semantic_only_or_noise,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 1:25,Luke 1:33-34,automatic_greek_window,0.1304,3.0,εισ τουσ αιωνασ,low_score_semantic_only_or_noise,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 2:6,Matt 16:27,automatic_greek_window,0.3054,3.0,αποδωσει εκαστω κατα,thin_lexical_basis,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 2:6,Matt 16:25-27,automatic_greek_window,0.2715,3.0,αποδωσει εκαστω κατα,,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 2:6,Matt 16:24-27,automatic_greek_window,0.2585,3.0,αποδωσει εκαστω κατα,,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 2:7,Matt 19:16-17,automatic_greek_window,0.1791,2.0,ζωην αιωνιον,low_score_semantic_only_or_noise,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 2:7,Matt 19:15-17,automatic_greek_window,0.1704,2.0,ζωην αιωνιον,low_score_semantic_only_or_noise,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 2:11,Luke 18:27,automatic_greek_window,0.2754,3.0,παρα τω θεω,thin_lexical_basis,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 2:11,Luke 18:26-27,automatic_greek_window,0.2339,3.0,παρα τω θεω,thin_lexical_basis,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 2:11,Luke 18:27-28,automatic_greek_window,0.2261,3.0,παρα τω θεω,thin_lexical_basis,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 2:13,Mark 10:27,automatic_greek_window,0.1646,3.0,παρα τω θεω,low_score_semantic_only_or_noise|thin_lexical_basis,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 2:13,Mark 10:26-27,automatic_greek_window,0.1454,3.0,παρα τω θεω,low_score_semantic_only_or_noise|thin_lexical_basis,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 2:13,Mark 10:27-28,automatic_greek_window,0.1453,3.0,παρα τω θεω,low_score_semantic_only_or_noise|thin_lexical_basis,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 2:15,Mark 2:6,automatic_greek_window,0.2093,4.0,εν ταισ καρδιαισ αυτων,nonfungible_phrase_candidate|thin_lexical_basis,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 2:15,Luke 21:14,automatic_greek_window,0.1939,3.0,εν ταισ καρδιαισ,low_score_semantic_only_or_noise|thin_lexical_basis,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 2:15,Luke 3:15,automatic_greek_window,0.1672,4.0,εν ταισ καρδιαισ αυτων,nonfungible_phrase_candidate|thin_lexical_basis,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 2:16,John 3:34,automatic_greek_window,0.1005,3.0,ο θεοσ τα,low_score_semantic_only_or_noise|thin_lexical_basis,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 2:16,John 3:34-35,automatic_greek_window,0.0938,3.0,ο θεοσ τα,low_score_semantic_only_or_noise|thin_lexical_basis,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 2:16,John 3:33-34,automatic_greek_window,0.093,3.0,ο θεοσ τα,low_score_semantic_only_or_noise|thin_lexical_basis,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 2:18,John 12:34,automatic_greek_window,0.1273,3.0,εκ του νομου,low_score_semantic_only_or_noise|thin_lexical_basis,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 2:18,John 12:33-34,automatic_greek_window,0.1222,3.0,εκ του νομου,low_score_semantic_only_or_noise|thin_lexical_basis,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 2:18,John 12:32-34,automatic_greek_window,0.1185,3.0,εκ του νομου,low_score_semantic_only_or_noise|thin_lexical_basis,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 2:20,Matt 22:36,automatic_greek_window,0.194,3.0,εν τω νομω,low_score_semantic_only_or_noise|thin_lexical_basis,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 2:20,John 15:25-26,automatic_greek_window,0.1813,3.0,εν τω νομω,low_score_semantic_only_or_noise,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 2:20,John 15:25-27,automatic_greek_window,0.1744,3.0,εν τω νομω,low_score_semantic_only_or_noise,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 2:24,Mark 11:17,automatic_greek_window,0.1817,2.0,τοισ εθνεσιν,low_score_semantic_only_or_noise,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 2:24,Mark 14:21,automatic_greek_window,0.1801,2.0,καθωσ γεγραπται,low_score_semantic_only_or_noise,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 2:24,Matt 26:24,automatic_greek_window,0.1801,2.0,καθωσ γεγραπται,low_score_semantic_only_or_noise,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 2:29,Matt 6:2-4,automatic_greek_window,0.1221,3.0,εν τω κρυπτω,low_score_semantic_only_or_noise|thin_lexical_basis,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 2:29,Matt 6:4,automatic_greek_window,0.1216,3.0,εν τω κρυπτω,low_score_semantic_only_or_noise|thin_lexical_basis,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 2:29,Matt 6:1-4,automatic_greek_window,0.1171,3.0,εν τω κρυπτω,low_score_semantic_only_or_noise|thin_lexical_basis,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 3:4,John 3:33,automatic_greek_window,0.1794,3.0,ο θεοσ αληθησ,low_score_semantic_only_or_noise|thin_lexical_basis,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 3:4,John 3:32-33,automatic_greek_window,0.1265,3.0,ο θεοσ αληθησ,low_score_semantic_only_or_noise|thin_lexical_basis,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 3:4,John 3:33-34,automatic_greek_window,0.1214,3.0,ο θεοσ αληθησ,low_score_semantic_only_or_noise|thin_lexical_basis,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 3:6,John 3:16,automatic_greek_window,0.2706,4.0,ο θεοσ τον κοσμον,nonfungible_phrase_candidate|thin_lexical_basis,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 3:6,John 3:15-16,automatic_greek_window,0.2696,4.0,ο θεοσ τον κοσμον,nonfungible_phrase_candidate|thin_lexical_basis,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 3:6,John 3:16-17,automatic_greek_window,0.2593,4.0,ο θεοσ τον κοσμον,nonfungible_phrase_candidate|thin_lexical_basis,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 3:7,Luke 24:26,automatic_greek_window,0.2035,4.0,εισ την δοξαν αυτου,nonfungible_phrase_candidate|thin_lexical_basis,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 3:7,John 1:14-17,automatic_greek_window,0.1508,3.0,την δοξαν αυτου,low_score_semantic_only_or_noise,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 3:7,Luke 24:26-27,automatic_greek_window,0.1331,4.0,εισ την δοξαν αυτου,nonfungible_phrase_candidate|thin_lexical_basis,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 3:10,Luke 2:22-25,automatic_greek_window,0.1879,2.0,καθωσ γεγραπται,low_score_semantic_only_or_noise,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 3:10,Luke 2:23-25,automatic_greek_window,0.1828,2.0,καθωσ γεγραπται,low_score_semantic_only_or_noise,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 3:10,Luke 4:4,automatic_greek_window,0.1795,3.0,γεγραπται οτι ουκ,low_score_semantic_only_or_noise|thin_lexical_basis,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 3:17,John 8:27,automatic_greek_window,0.2474,2.0,ουκ εγνωσαν,thin_lexical_basis,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 3:17,Luke 1:79,automatic_greek_window,0.2402,2.0,οδον ειρηνησ,thin_lexical_basis,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 3:17,Luke 1:78-79,automatic_greek_window,0.2075,2.0,οδον ειρηνησ,thin_lexical_basis,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 3:18,Matt 9:29,automatic_greek_window,0.2321,3.0,των οφθαλμων αυτων,thin_lexical_basis,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 3:18,Matt 9:29-30,automatic_greek_window,0.189,3.0,των οφθαλμων αυτων,low_score_semantic_only_or_noise|thin_lexical_basis,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 3:18,Matt 9:28-29,automatic_greek_window,0.1807,3.0,των οφθαλμων αυτων,low_score_semantic_only_or_noise|thin_lexical_basis,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 3:19,Luke 10:26,automatic_greek_window,0.1337,3.0,εν τω νομω,low_score_semantic_only_or_noise|thin_lexical_basis,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 3:19,Matt 12:5,automatic_greek_window,0.1246,3.0,εν τω νομω,low_score_semantic_only_or_noise|thin_lexical_basis,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 3:19,Matt 12:5-6,automatic_greek_window,0.1117,3.0,εν τω νομω,low_score_semantic_only_or_noise|thin_lexical_basis,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 3:20,Luke 3:6,automatic_greek_window,0.193,2.0,πασα σαρξ,low_score_semantic_only_or_noise|thin_lexical_basis,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 3:21,Luke 16:31,automatic_greek_window,0.1193,3.0,και των προφητων,low_score_semantic_only_or_noise|thin_lexical_basis,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 3:21,Luke 16:30-31,automatic_greek_window,0.1107,3.0,και των προφητων,low_score_semantic_only_or_noise|thin_lexical_basis,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 3:21,Luke 16:31-17:1,automatic_greek_window,0.1091,3.0,και των προφητων,low_score_semantic_only_or_noise|thin_lexical_basis,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 3:23,John 11:4,automatic_greek_window,0.2772,4.0,τησ δοξησ του θεου,nonfungible_phrase_candidate|thin_lexical_basis,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 3:23,John 11:4-5,automatic_greek_window,0.2628,4.0,τησ δοξησ του θεου,nonfungible_phrase_candidate|thin_lexical_basis,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 3:23,John 11:3-4,automatic_greek_window,0.2573,4.0,τησ δοξησ του θεου,nonfungible_phrase_candidate|thin_lexical_basis,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 3:26,John 13:23,automatic_greek_window,0.1142,3.0,αυτου εν τω,low_score_semantic_only_or_noise|thin_lexical_basis,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 3:26,Luke 2:4,automatic_greek_window,0.1117,3.0,το ειναι αυτον,low_score_semantic_only_or_noise,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 3:26,Luke 2:3-4,automatic_greek_window,0.1066,3.0,το ειναι αυτον,low_score_semantic_only_or_noise,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 3:30,Luke 18:17-19,automatic_greek_window,0.1457,3.0,εισ ο θεοσ,low_score_semantic_only_or_noise,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 3:30,Luke 18:16-19,automatic_greek_window,0.138,3.0,εισ ο θεοσ,low_score_semantic_only_or_noise,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 3:30,Mark 10:15-18,automatic_greek_window,0.1375,3.0,εισ ο θεοσ,low_score_semantic_only_or_noise,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 4:2,Matt 11:18-19,automatic_greek_window,0.1815,1.0,γαρ,low_score_semantic_only_or_noise,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 4:3,Mark 12:17,automatic_greek_window,0.1435,3.0,τω θεω και,low_score_semantic_only_or_noise|thin_lexical_basis,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 4:3,Matt 22:21-22,automatic_greek_window,0.1359,3.0,τω θεω και,low_score_semantic_only_or_noise|thin_lexical_basis,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 4:3,Mark 12:16-17,automatic_greek_window,0.1298,3.0,τω θεω και,low_score_semantic_only_or_noise|thin_lexical_basis,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 4:11,Luke 2:4-7,automatic_greek_window,0.1098,3.0,το ειναι αυτον,low_score_semantic_only_or_noise,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 4:11,Luke 2:4,automatic_greek_window,0.1046,3.0,το ειναι αυτον,low_score_semantic_only_or_noise,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 4:11,Luke 2:3-4,automatic_greek_window,0.0999,3.0,το ειναι αυτον,low_score_semantic_only_or_noise,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 4:12,John 8:53,automatic_greek_window,0.1814,4.0,του πατροσ ημων αβρααμ,nonfungible_phrase_candidate|thin_lexical_basis,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 4:12,John 8:53-55,automatic_greek_window,0.1638,4.0,του πατροσ ημων αβρααμ,nonfungible_phrase_candidate,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 4:12,John 8:53-56,automatic_greek_window,0.1593,4.0,του πατροσ ημων αβρααμ,nonfungible_phrase_candidate,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 4:13,Luke 1:55,automatic_greek_window,0.202,3.0,τω σπερματι αυτου,thin_lexical_basis,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 4:13,Luke 1:54-55,automatic_greek_window,0.1636,3.0,τω σπερματι αυτου,low_score_semantic_only_or_noise|thin_lexical_basis,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 4:13,Luke 1:55-56,automatic_greek_window,0.1605,3.0,τω σπερματι αυτου,low_score_semantic_only_or_noise|thin_lexical_basis,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 4:15,Luke 20:36-38,automatic_greek_window,0.1262,3.0,δε ουκ εστιν,low_score_semantic_only_or_noise|thin_lexical_basis,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 4:15,Luke 20:36-39,automatic_greek_window,0.1229,3.0,δε ουκ εστιν,low_score_semantic_only_or_noise|thin_lexical_basis,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 4:15,Luke 20:35-38,automatic_greek_window,0.1224,3.0,δε ουκ εστιν,low_score_semantic_only_or_noise|thin_lexical_basis,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 4:16,Luke 1:55,automatic_greek_window,0.1847,2.0,τω σπερματι,low_score_semantic_only_or_noise,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 4:16,John 17:20,automatic_greek_window,0.1568,3.0,μονον αλλα και,low_score_semantic_only_or_noise,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 4:16,John 13:8-11,automatic_greek_window,0.1497,3.0,μονον αλλα και,low_score_semantic_only_or_noise,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 4:17,John 5:21-23,automatic_greek_window,0.1763,3.0,τουσ νεκρουσ και,low_score_semantic_only_or_noise,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 4:17,John 5:20-23,automatic_greek_window,0.166,3.0,τουσ νεκρουσ και,low_score_semantic_only_or_noise,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 4:17,John 5:21-24,automatic_greek_window,0.1655,3.0,τουσ νεκρουσ και,low_score_semantic_only_or_noise,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 4:18,Matt 20:26,automatic_greek_window,0.2078,2.0,ουτωσ εσται,,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 4:18,Matt 20:25-26,automatic_greek_window,0.2032,2.0,ουτωσ εσται,,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 4:18,Matt 20:25-27,automatic_greek_window,0.1952,2.0,ουτωσ εσται,low_score_semantic_only_or_noise,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 4:20,Luke 17:18,automatic_greek_window,0.1813,3.0,δοξαν τω θεω,low_score_semantic_only_or_noise|thin_lexical_basis,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 4:20,Luke 17:15-18,automatic_greek_window,0.1452,3.0,δοξαν τω θεω,low_score_semantic_only_or_noise,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 4:20,Luke 17:18-19,automatic_greek_window,0.1447,3.0,δοξαν τω θεω,low_score_semantic_only_or_noise|thin_lexical_basis,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 5:1,John 1:2,automatic_greek_window,0.2451,3.0,προσ τον θεον,thin_lexical_basis,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 5:1,John 1:1,automatic_greek_window,0.163,3.0,προσ τον θεον,low_score_semantic_only_or_noise|thin_lexical_basis,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 5:1,John 1:1-2,automatic_greek_window,0.1587,3.0,προσ τον θεον,low_score_semantic_only_or_noise|thin_lexical_basis,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 5:2,John 11:4,automatic_greek_window,0.1879,4.0,τησ δοξησ του θεου,nonfungible_phrase_candidate,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 5:2,John 11:4-7,automatic_greek_window,0.1862,4.0,τησ δοξησ του θεου,nonfungible_phrase_candidate,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 5:2,John 11:4-5,automatic_greek_window,0.1816,4.0,τησ δοξησ του θεου,nonfungible_phrase_candidate,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 5:5,Luke 21:14,automatic_greek_window,0.2144,3.0,εν ταισ καρδιαισ,thin_lexical_basis,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 5:5,Mark 2:6,automatic_greek_window,0.1766,3.0,εν ταισ καρδιαισ,low_score_semantic_only_or_noise|thin_lexical_basis,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 5:5,Luke 21:13-14,automatic_greek_window,0.1727,3.0,εν ταισ καρδιαισ,low_score_semantic_only_or_noise|thin_lexical_basis,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 5:9,Luke 22:20-22,automatic_greek_window,0.1726,3.0,εν τω αιματι,low_score_semantic_only_or_noise,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 5:9,Luke 22:18-20,automatic_greek_window,0.1654,3.0,εν τω αιματι,low_score_semantic_only_or_noise,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 5:9,Luke 22:20-23,automatic_greek_window,0.1639,3.0,εν τω αιματι,low_score_semantic_only_or_noise,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 5:10,Luke 16:25,automatic_greek_window,0.092,3.0,εν τη ζωη,low_score_semantic_only_or_noise|thin_lexical_basis,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 5:10,Luke 16:24-25,automatic_greek_window,0.0838,3.0,εν τη ζωη,low_score_semantic_only_or_noise|thin_lexical_basis,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 5:10,Luke 16:25-26,automatic_greek_window,0.0835,3.0,εν τη ζωη,low_score_semantic_only_or_noise|thin_lexical_basis,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 5:12,John 3:14-17,automatic_greek_window,0.1692,3.0,εισ τον κοσμον,low_score_semantic_only_or_noise,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 5:12,John 1:7-9,automatic_greek_window,0.1643,3.0,εισ τον κοσμον,low_score_semantic_only_or_noise,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 5:12,John 1:7-10,automatic_greek_window,0.1586,3.0,εισ τον κοσμον,low_score_semantic_only_or_noise,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 5:21,Matt 25:46,automatic_greek_window,0.2006,3.0,εισ ζωην αιωνιον,,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 5:21,John 5:26,automatic_greek_window,0.1812,2.0,ουτωσ και,low_score_semantic_only_or_noise,inspect; exact/scripture/formula flags may explain similarity,low
