layer,source_ref,target_ref,score,max_exact_run_len,max_exact_run,negative_space_flags,interpretation_rule
epistle_to_gospel,1Cor 11:24,Matt 15:35-36,0.2018,4,και ευχαριστησασ εκλασεν και,nonfungible_phrase_candidate|thin_lexical_basis,"OT/scriptural formulas, liturgical formulas, and common legal/paraenetic formulas should not be counted as direct Gospel dependence without additional contextual evidence."
epistle_to_gospel,1Cor 11:24,Matt 15:35-37,0.1852,4,και ευχαριστησασ εκλασεν και,nonfungible_phrase_candidate|thin_lexical_basis,"OT/scriptural formulas, liturgical formulas, and common legal/paraenetic formulas should not be counted as direct Gospel dependence without additional contextual evidence."
epistle_to_gospel,1Cor 11:24,Matt 15:35-38,0.1773,4,και ευχαριστησασ εκλασεν και,nonfungible_phrase_candidate|thin_lexical_basis,"OT/scriptural formulas, liturgical formulas, and common legal/paraenetic formulas should not be counted as direct Gospel dependence without additional contextual evidence."
epistle_to_gospel,1Cor 11:24,Matt 15:36,0.2167,4,και ευχαριστησασ εκλασεν και,nonfungible_phrase_candidate|thin_lexical_basis,"OT/scriptural formulas, liturgical formulas, and common legal/paraenetic formulas should not be counted as direct Gospel dependence without additional contextual evidence."
epistle_to_gospel,1Cor 11:24,Matt 15:36-37,0.1921,4,και ευχαριστησασ εκλασεν και,nonfungible_phrase_candidate|thin_lexical_basis,"OT/scriptural formulas, liturgical formulas, and common legal/paraenetic formulas should not be counted as direct Gospel dependence without additional contextual evidence."
epistle_to_gospel,1Cor 11:24,Matt 15:36-38,0.1815,4,και ευχαριστησασ εκλασεν και,nonfungible_phrase_candidate|thin_lexical_basis,"OT/scriptural formulas, liturgical formulas, and common legal/paraenetic formulas should not be counted as direct Gospel dependence without additional contextual evidence."
epistle_to_gospel,1Cor 11:24,Matt 15:36-39,0.1895,4,και ευχαριστησασ εκλασεν και,nonfungible_phrase_candidate,"OT/scriptural formulas, liturgical formulas, and common legal/paraenetic formulas should not be counted as direct Gospel dependence without additional contextual evidence."
epistle_to_gospel,1Cor 11:25,Luke 22:17-20,0.4871,10,μετα το δειπνησαι λεγων τουτο το ποτηριον η καινη διαθηκη,cup_new_covenant,"OT/scriptural formulas, liturgical formulas, and common legal/paraenetic formulas should not be counted as direct Gospel dependence without additional contextual evidence."
epistle_to_gospel,1Cor 11:25,Luke 22:18-20,0.5113,10,μετα το δειπνησαι λεγων τουτο το ποτηριον η καινη διαθηκη,cup_new_covenant,"OT/scriptural formulas, liturgical formulas, and common legal/paraenetic formulas should not be counted as direct Gospel dependence without additional contextual evidence."
epistle_to_gospel,1Cor 11:25,Luke 22:18-21,0.48,10,μετα το δειπνησαι λεγων τουτο το ποτηριον η καινη διαθηκη,cup_new_covenant,"OT/scriptural formulas, liturgical formulas, and common legal/paraenetic formulas should not be counted as direct Gospel dependence without additional contextual evidence."
epistle_to_gospel,1Cor 11:25,Luke 22:19-20,0.5695,10,μετα το δειπνησαι λεγων τουτο το ποτηριον η καινη διαθηκη,cup_new_covenant,"OT/scriptural formulas, liturgical formulas, and common legal/paraenetic formulas should not be counted as direct Gospel dependence without additional contextual evidence."
epistle_to_gospel,1Cor 11:25,Luke 22:19-21,0.5158,10,μετα το δειπνησαι λεγων τουτο το ποτηριον η καινη διαθηκη,cup_new_covenant,"OT/scriptural formulas, liturgical formulas, and common legal/paraenetic formulas should not be counted as direct Gospel dependence without additional contextual evidence."
epistle_to_gospel,1Cor 11:25,Luke 22:19-22,0.4748,10,μετα το δειπνησαι λεγων τουτο το ποτηριον η καινη διαθηκη,cup_new_covenant,"OT/scriptural formulas, liturgical formulas, and common legal/paraenetic formulas should not be counted as direct Gospel dependence without additional contextual evidence."
epistle_to_gospel,1Cor 11:25,Luke 22:20,0.5805,10,μετα το δειπνησαι λεγων τουτο το ποτηριον η καινη διαθηκη,cup_new_covenant,"OT/scriptural formulas, liturgical formulas, and common legal/paraenetic formulas should not be counted as direct Gospel dependence without additional contextual evidence."
epistle_to_gospel,1Cor 11:25,Luke 22:20-21,0.4579,10,μετα το δειπνησαι λεγων τουτο το ποτηριον η καινη διαθηκη,cup_new_covenant,"OT/scriptural formulas, liturgical formulas, and common legal/paraenetic formulas should not be counted as direct Gospel dependence without additional contextual evidence."
epistle_to_gospel,1Cor 11:25,Luke 22:20-22,0.4151,10,μετα το δειπνησαι λεγων τουτο το ποτηριον η καινη διαθηκη,cup_new_covenant,"OT/scriptural formulas, liturgical formulas, and common legal/paraenetic formulas should not be counted as direct Gospel dependence without additional contextual evidence."
epistle_to_gospel,1Cor 11:25,Luke 22:20-23,0.3902,10,μετα το δειπνησαι λεγων τουτο το ποτηριον η καινη διαθηκη,cup_new_covenant,"OT/scriptural formulas, liturgical formulas, and common legal/paraenetic formulas should not be counted as direct Gospel dependence without additional contextual evidence."
epistle_to_gospel,1Cor 11:25,Luke 22:16-19,0.2328,4,εισ την εμην αναμνησιν,nonfungible_phrase_candidate,"OT/scriptural formulas, liturgical formulas, and common legal/paraenetic formulas should not be counted as direct Gospel dependence without additional contextual evidence."
epistle_to_gospel,1Cor 11:25,Luke 22:17-19,0.2395,4,εισ την εμην αναμνησιν,nonfungible_phrase_candidate,"OT/scriptural formulas, liturgical formulas, and common legal/paraenetic formulas should not be counted as direct Gospel dependence without additional contextual evidence."
epistle_to_gospel,1Cor 11:25,Luke 22:18-19,0.2361,4,εισ την εμην αναμνησιν,nonfungible_phrase_candidate,"OT/scriptural formulas, liturgical formulas, and common legal/paraenetic formulas should not be counted as direct Gospel dependence without additional contextual evidence."
epistle_to_gospel,1Cor 11:25,Luke 22:19,0.2712,4,εισ την εμην αναμνησιν,nonfungible_phrase_candidate,"OT/scriptural formulas, liturgical formulas, and common legal/paraenetic formulas should not be counted as direct Gospel dependence without additional contextual evidence."
epistle_to_gospel,1Cor 14:21,Luke 21:21-24,0.1406,4,τω λαω τουτω και,nonfungible_phrase_candidate|thin_lexical_basis,"OT/scriptural formulas, liturgical formulas, and common legal/paraenetic formulas should not be counted as direct Gospel dependence without additional contextual evidence."
epistle_to_gospel,1Cor 14:21,Luke 21:22-24,0.1444,4,τω λαω τουτω και,nonfungible_phrase_candidate|thin_lexical_basis,"OT/scriptural formulas, liturgical formulas, and common legal/paraenetic formulas should not be counted as direct Gospel dependence without additional contextual evidence."
epistle_to_gospel,1Cor 14:21,Luke 21:22-25,0.1399,4,τω λαω τουτω και,nonfungible_phrase_candidate|thin_lexical_basis,"OT/scriptural formulas, liturgical formulas, and common legal/paraenetic formulas should not be counted as direct Gospel dependence without additional contextual evidence."
epistle_to_gospel,1Cor 14:21,Luke 21:23-24,0.1482,4,τω λαω τουτω και,nonfungible_phrase_candidate|thin_lexical_basis,"OT/scriptural formulas, liturgical formulas, and common legal/paraenetic formulas should not be counted as direct Gospel dependence without additional contextual evidence."
epistle_to_gospel,1Cor 14:21,Luke 21:23-25,0.1422,4,τω λαω τουτω και,nonfungible_phrase_candidate|thin_lexical_basis,"OT/scriptural formulas, liturgical formulas, and common legal/paraenetic formulas should not be counted as direct Gospel dependence without additional contextual evidence."
epistle_to_gospel,1Cor 14:21,Luke 21:23-26,0.1391,4,τω λαω τουτω και,nonfungible_phrase_candidate|thin_lexical_basis,"OT/scriptural formulas, liturgical formulas, and common legal/paraenetic formulas should not be counted as direct Gospel dependence without additional contextual evidence."
epistle_to_gospel,1Cor 14:23,Matt 22:34-37,0.1126,4,επι το αυτο και,nonfungible_phrase_candidate|thin_lexical_basis,"OT/scriptural formulas, liturgical formulas, and common legal/paraenetic formulas should not be counted as direct Gospel dependence without additional contextual evidence."
epistle_to_gospel,1Cor 14:36,John 10:32-35,0.1536,4,ο λογοσ του θεου,nonfungible_phrase_candidate|thin_lexical_basis,"OT/scriptural formulas, liturgical formulas, and common legal/paraenetic formulas should not be counted as direct Gospel dependence without additional contextual evidence."
epistle_to_gospel,1Cor 14:36,John 10:33-35,0.1567,4,ο λογοσ του θεου,nonfungible_phrase_candidate|thin_lexical_basis,"OT/scriptural formulas, liturgical formulas, and common legal/paraenetic formulas should not be counted as direct Gospel dependence without additional contextual evidence."
epistle_to_gospel,1Cor 14:36,John 10:33-36,0.1692,4,ο λογοσ του θεου,nonfungible_phrase_candidate|thin_lexical_basis,"OT/scriptural formulas, liturgical formulas, and common legal/paraenetic formulas should not be counted as direct Gospel dependence without additional contextual evidence."
epistle_to_gospel,1Cor 14:36,John 10:34-35,0.164,4,ο λογοσ του θεου,nonfungible_phrase_candidate|thin_lexical_basis,"OT/scriptural formulas, liturgical formulas, and common legal/paraenetic formulas should not be counted as direct Gospel dependence without additional contextual evidence."
epistle_to_gospel,1Cor 14:36,John 10:34-36,0.1753,4,ο λογοσ του θεου,nonfungible_phrase_candidate|thin_lexical_basis,"OT/scriptural formulas, liturgical formulas, and common legal/paraenetic formulas should not be counted as direct Gospel dependence without additional contextual evidence."
epistle_to_gospel,1Cor 14:36,John 10:34-37,0.1729,4,ο λογοσ του θεου,nonfungible_phrase_candidate|thin_lexical_basis,"OT/scriptural formulas, liturgical formulas, and common legal/paraenetic formulas should not be counted as direct Gospel dependence without additional contextual evidence."
epistle_to_gospel,1Cor 14:36,John 10:35,0.1752,4,ο λογοσ του θεου,nonfungible_phrase_candidate|thin_lexical_basis,"OT/scriptural formulas, liturgical formulas, and common legal/paraenetic formulas should not be counted as direct Gospel dependence without additional contextual evidence."
epistle_to_gospel,1Cor 14:36,John 10:35-36,0.183,4,ο λογοσ του θεου,nonfungible_phrase_candidate|thin_lexical_basis,"OT/scriptural formulas, liturgical formulas, and common legal/paraenetic formulas should not be counted as direct Gospel dependence without additional contextual evidence."
epistle_to_gospel,1Cor 14:36,John 10:35-37,0.1788,4,ο λογοσ του θεου,nonfungible_phrase_candidate|thin_lexical_basis,"OT/scriptural formulas, liturgical formulas, and common legal/paraenetic formulas should not be counted as direct Gospel dependence without additional contextual evidence."
epistle_to_gospel,1Cor 14:36,John 10:35-38,0.172,4,ο λογοσ του θεου,nonfungible_phrase_candidate|thin_lexical_basis,"OT/scriptural formulas, liturgical formulas, and common legal/paraenetic formulas should not be counted as direct Gospel dependence without additional contextual evidence."
epistle_to_gospel,1Cor 14:36,Luke 8:10-11,0.164,4,ο λογοσ του θεου,nonfungible_phrase_candidate|thin_lexical_basis,"OT/scriptural formulas, liturgical formulas, and common legal/paraenetic formulas should not be counted as direct Gospel dependence without additional contextual evidence."
epistle_to_gospel,1Cor 14:36,Luke 8:10-12,0.1571,4,ο λογοσ του θεου,nonfungible_phrase_candidate|thin_lexical_basis,"OT/scriptural formulas, liturgical formulas, and common legal/paraenetic formulas should not be counted as direct Gospel dependence without additional contextual evidence."
epistle_to_gospel,1Cor 14:36,Luke 8:10-13,0.1526,4,ο λογοσ του θεου,nonfungible_phrase_candidate|thin_lexical_basis,"OT/scriptural formulas, liturgical formulas, and common legal/paraenetic formulas should not be counted as direct Gospel dependence without additional contextual evidence."
epistle_to_gospel,1Cor 14:36,Luke 8:11,0.2029,4,ο λογοσ του θεου,nonfungible_phrase_candidate|thin_lexical_basis,"OT/scriptural formulas, liturgical formulas, and common legal/paraenetic formulas should not be counted as direct Gospel dependence without additional contextual evidence."
epistle_to_gospel,1Cor 14:36,Luke 8:11-12,0.1654,4,ο λογοσ του θεου,nonfungible_phrase_candidate|thin_lexical_basis,"OT/scriptural formulas, liturgical formulas, and common legal/paraenetic formulas should not be counted as direct Gospel dependence without additional contextual evidence."
epistle_to_gospel,1Cor 14:36,Luke 8:11-13,0.1559,4,ο λογοσ του θεου,nonfungible_phrase_candidate|thin_lexical_basis,"OT/scriptural formulas, liturgical formulas, and common legal/paraenetic formulas should not be counted as direct Gospel dependence without additional contextual evidence."
epistle_to_gospel,1Cor 14:36,Luke 8:11-14,0.1668,4,ο λογοσ του θεου,nonfungible_phrase_candidate|thin_lexical_basis,"OT/scriptural formulas, liturgical formulas, and common legal/paraenetic formulas should not be counted as direct Gospel dependence without additional contextual evidence."
epistle_to_gospel,1Cor 14:36,Luke 8:8-11,0.1697,4,ο λογοσ του θεου,nonfungible_phrase_candidate|thin_lexical_basis,"OT/scriptural formulas, liturgical formulas, and common legal/paraenetic formulas should not be counted as direct Gospel dependence without additional contextual evidence."
epistle_to_gospel,1Cor 14:36,Luke 8:9-11,0.1612,4,ο λογοσ του θεου,nonfungible_phrase_candidate|thin_lexical_basis,"OT/scriptural formulas, liturgical formulas, and common legal/paraenetic formulas should not be counted as direct Gospel dependence without additional contextual evidence."
epistle_to_gospel,1Cor 14:36,Luke 8:9-12,0.1557,4,ο λογοσ του θεου,nonfungible_phrase_candidate|thin_lexical_basis,"OT/scriptural formulas, liturgical formulas, and common legal/paraenetic formulas should not be counted as direct Gospel dependence without additional contextual evidence."
epistle_to_gospel,1Cor 15:17,John 8:21-24,0.2374,4,εν ταισ αμαρτιαισ υμων,nonfungible_phrase_candidate,"OT/scriptural formulas, liturgical formulas, and common legal/paraenetic formulas should not be counted as direct Gospel dependence without additional contextual evidence."
epistle_to_gospel,1Cor 15:17,John 8:22-24,0.2424,4,εν ταισ αμαρτιαισ υμων,nonfungible_phrase_candidate,"OT/scriptural formulas, liturgical formulas, and common legal/paraenetic formulas should not be counted as direct Gospel dependence without additional contextual evidence."
epistle_to_gospel,1Cor 15:17,John 8:22-25,0.2347,4,εν ταισ αμαρτιαισ υμων,nonfungible_phrase_candidate,"OT/scriptural formulas, liturgical formulas, and common legal/paraenetic formulas should not be counted as direct Gospel dependence without additional contextual evidence."
epistle_to_gospel,1Cor 15:17,John 8:23-24,0.2722,4,εν ταισ αμαρτιαισ υμων,nonfungible_phrase_candidate,"OT/scriptural formulas, liturgical formulas, and common legal/paraenetic formulas should not be counted as direct Gospel dependence without additional contextual evidence."
epistle_to_gospel,1Cor 15:17,John 8:23-25,0.2532,4,εν ταισ αμαρτιαισ υμων,nonfungible_phrase_candidate,"OT/scriptural formulas, liturgical formulas, and common legal/paraenetic formulas should not be counted as direct Gospel dependence without additional contextual evidence."
epistle_to_gospel,1Cor 15:17,John 8:23-26,0.2287,4,εν ταισ αμαρτιαισ υμων,nonfungible_phrase_candidate,"OT/scriptural formulas, liturgical formulas, and common legal/paraenetic formulas should not be counted as direct Gospel dependence without additional contextual evidence."
epistle_to_gospel,1Cor 15:17,John 8:24,0.249,4,εν ταισ αμαρτιαισ υμων,nonfungible_phrase_candidate|thin_lexical_basis,"OT/scriptural formulas, liturgical formulas, and common legal/paraenetic formulas should not be counted as direct Gospel dependence without additional contextual evidence."
epistle_to_gospel,1Cor 15:17,John 8:24-25,0.2219,4,εν ταισ αμαρτιαισ υμων,nonfungible_phrase_candidate|thin_lexical_basis,"OT/scriptural formulas, liturgical formulas, and common legal/paraenetic formulas should not be counted as direct Gospel dependence without additional contextual evidence."
epistle_to_gospel,1Cor 15:17,John 8:24-26,0.1957,4,εν ταισ αμαρτιαισ υμων,nonfungible_phrase_candidate|thin_lexical_basis,"OT/scriptural formulas, liturgical formulas, and common legal/paraenetic formulas should not be counted as direct Gospel dependence without additional contextual evidence."
epistle_to_gospel,1Cor 15:17,John 8:24-27,0.1936,4,εν ταισ αμαρτιαισ υμων,nonfungible_phrase_candidate|thin_lexical_basis,"OT/scriptural formulas, liturgical formulas, and common legal/paraenetic formulas should not be counted as direct Gospel dependence without additional contextual evidence."
epistle_to_gospel,1Cor 15:4,John 1:49-2:1,0.1963,4,τη ημερα τη τριτη,nonfungible_phrase_candidate|thin_lexical_basis,"OT/scriptural formulas, liturgical formulas, and common legal/paraenetic formulas should not be counted as direct Gospel dependence without additional contextual evidence."
epistle_to_gospel,1Cor 15:4,John 1:50-2:1,0.1997,4,τη ημερα τη τριτη,nonfungible_phrase_candidate|thin_lexical_basis,"OT/scriptural formulas, liturgical formulas, and common legal/paraenetic formulas should not be counted as direct Gospel dependence without additional contextual evidence."
epistle_to_gospel,1Cor 15:4,John 1:50-2:2,0.1969,4,τη ημερα τη τριτη,nonfungible_phrase_candidate|thin_lexical_basis,"OT/scriptural formulas, liturgical formulas, and common legal/paraenetic formulas should not be counted as direct Gospel dependence without additional contextual evidence."
epistle_to_gospel,1Cor 15:4,John 1:51-2:1,0.2103,4,τη ημερα τη τριτη,nonfungible_phrase_candidate|thin_lexical_basis,"OT/scriptural formulas, liturgical formulas, and common legal/paraenetic formulas should not be counted as direct Gospel dependence without additional contextual evidence."
epistle_to_gospel,1Cor 15:4,John 1:51-2:2,0.2046,4,τη ημερα τη τριτη,nonfungible_phrase_candidate|thin_lexical_basis,"OT/scriptural formulas, liturgical formulas, and common legal/paraenetic formulas should not be counted as direct Gospel dependence without additional contextual evidence."
epistle_to_gospel,1Cor 15:4,John 1:51-2:3,0.1994,4,τη ημερα τη τριτη,nonfungible_phrase_candidate|thin_lexical_basis,"OT/scriptural formulas, liturgical formulas, and common legal/paraenetic formulas should not be counted as direct Gospel dependence without additional contextual evidence."
epistle_to_gospel,1Cor 15:4,John 2:1,0.243,4,τη ημερα τη τριτη,nonfungible_phrase_candidate|thin_lexical_basis,"OT/scriptural formulas, liturgical formulas, and common legal/paraenetic formulas should not be counted as direct Gospel dependence without additional contextual evidence."
epistle_to_gospel,1Cor 15:4,John 2:1-2,0.2258,4,τη ημερα τη τριτη,nonfungible_phrase_candidate|thin_lexical_basis,"OT/scriptural formulas, liturgical formulas, and common legal/paraenetic formulas should not be counted as direct Gospel dependence without additional contextual evidence."
epistle_to_gospel,1Cor 15:4,John 2:1-3,0.213,4,τη ημερα τη τριτη,nonfungible_phrase_candidate|thin_lexical_basis,"OT/scriptural formulas, liturgical formulas, and common legal/paraenetic formulas should not be counted as direct Gospel dependence without additional contextual evidence."
epistle_to_gospel,1Cor 15:4,John 2:1-4,0.2056,4,τη ημερα τη τριτη,nonfungible_phrase_candidate|thin_lexical_basis,"OT/scriptural formulas, liturgical formulas, and common legal/paraenetic formulas should not be counted as direct Gospel dependence without additional contextual evidence."
epistle_to_gospel,1Cor 15:4,Luke 18:30-33,0.1954,4,τη ημερα τη τριτη,nonfungible_phrase_candidate|thin_lexical_basis,"OT/scriptural formulas, liturgical formulas, and common legal/paraenetic formulas should not be counted as direct Gospel dependence without additional contextual evidence."
epistle_to_gospel,1Cor 15:4,Luke 18:31-33,0.2037,4,τη ημερα τη τριτη,nonfungible_phrase_candidate|thin_lexical_basis,"OT/scriptural formulas, liturgical formulas, and common legal/paraenetic formulas should not be counted as direct Gospel dependence without additional contextual evidence."
epistle_to_gospel,1Cor 15:4,Luke 18:31-34,0.1958,4,τη ημερα τη τριτη,nonfungible_phrase_candidate|thin_lexical_basis,"OT/scriptural formulas, liturgical formulas, and common legal/paraenetic formulas should not be counted as direct Gospel dependence without additional contextual evidence."
epistle_to_gospel,1Cor 15:4,Luke 18:32-33,0.226,4,τη ημερα τη τριτη,nonfungible_phrase_candidate|thin_lexical_basis,"OT/scriptural formulas, liturgical formulas, and common legal/paraenetic formulas should not be counted as direct Gospel dependence without additional contextual evidence."
epistle_to_gospel,1Cor 15:4,Luke 18:32-34,0.2067,4,τη ημερα τη τριτη,nonfungible_phrase_candidate|thin_lexical_basis,"OT/scriptural formulas, liturgical formulas, and common legal/paraenetic formulas should not be counted as direct Gospel dependence without additional contextual evidence."
epistle_to_gospel,1Cor 15:4,Luke 18:32-35,0.1981,4,τη ημερα τη τριτη,nonfungible_phrase_candidate|thin_lexical_basis,"OT/scriptural formulas, liturgical formulas, and common legal/paraenetic formulas should not be counted as direct Gospel dependence without additional contextual evidence."
epistle_to_gospel,1Cor 15:4,Luke 18:33,0.3019,4,τη ημερα τη τριτη,nonfungible_phrase_candidate|thin_lexical_basis,"OT/scriptural formulas, liturgical formulas, and common legal/paraenetic formulas should not be counted as direct Gospel dependence without additional contextual evidence."
epistle_to_gospel,1Cor 15:4,Luke 18:33-34,0.2195,4,τη ημερα τη τριτη,nonfungible_phrase_candidate|thin_lexical_basis,"OT/scriptural formulas, liturgical formulas, and common legal/paraenetic formulas should not be counted as direct Gospel dependence without additional contextual evidence."
epistle_to_gospel,1Cor 15:4,Luke 18:33-35,0.2049,4,τη ημερα τη τριτη,nonfungible_phrase_candidate|thin_lexical_basis,"OT/scriptural formulas, liturgical formulas, and common legal/paraenetic formulas should not be counted as direct Gospel dependence without additional contextual evidence."
epistle_to_gospel,1Cor 15:4,Luke 18:33-36,0.1993,4,τη ημερα τη τριτη,nonfungible_phrase_candidate|thin_lexical_basis,"OT/scriptural formulas, liturgical formulas, and common legal/paraenetic formulas should not be counted as direct Gospel dependence without additional contextual evidence."
epistle_to_gospel,1Cor 15:50,Matt 16:14-17,0.1647,4,οτι σαρξ και αιμα,nonfungible_phrase_candidate|thin_lexical_basis,"OT/scriptural formulas, liturgical formulas, and common legal/paraenetic formulas should not be counted as direct Gospel dependence without additional contextual evidence."
epistle_to_gospel,1Cor 15:50,Matt 16:15-17,0.1735,4,οτι σαρξ και αιμα,nonfungible_phrase_candidate|thin_lexical_basis,"OT/scriptural formulas, liturgical formulas, and common legal/paraenetic formulas should not be counted as direct Gospel dependence without additional contextual evidence."
epistle_to_gospel,1Cor 15:50,Matt 16:15-18,0.1634,4,οτι σαρξ και αιμα,nonfungible_phrase_candidate|thin_lexical_basis,"OT/scriptural formulas, liturgical formulas, and common legal/paraenetic formulas should not be counted as direct Gospel dependence without additional contextual evidence."
epistle_to_gospel,1Cor 15:50,Matt 16:16-17,0.1775,4,οτι σαρξ και αιμα,nonfungible_phrase_candidate|thin_lexical_basis,"OT/scriptural formulas, liturgical formulas, and common legal/paraenetic formulas should not be counted as direct Gospel dependence without additional contextual evidence."
epistle_to_gospel,1Cor 15:50,Matt 16:16-18,0.1654,4,οτι σαρξ και αιμα,nonfungible_phrase_candidate|thin_lexical_basis,"OT/scriptural formulas, liturgical formulas, and common legal/paraenetic formulas should not be counted as direct Gospel dependence without additional contextual evidence."
epistle_to_gospel,1Cor 15:50,Matt 16:16-19,0.1583,4,οτι σαρξ και αιμα,nonfungible_phrase_candidate|thin_lexical_basis,"OT/scriptural formulas, liturgical formulas, and common legal/paraenetic formulas should not be counted as direct Gospel dependence without additional contextual evidence."
epistle_to_gospel,1Cor 15:50,Matt 16:17,0.1837,4,οτι σαρξ και αιμα,nonfungible_phrase_candidate|thin_lexical_basis,"OT/scriptural formulas, liturgical formulas, and common legal/paraenetic formulas should not be counted as direct Gospel dependence without additional contextual evidence."
epistle_to_gospel,1Cor 15:50,Matt 16:17-18,0.1676,4,οτι σαρξ και αιμα,nonfungible_phrase_candidate|thin_lexical_basis,"OT/scriptural formulas, liturgical formulas, and common legal/paraenetic formulas should not be counted as direct Gospel dependence without additional contextual evidence."
epistle_to_gospel,1Cor 15:50,Matt 16:17-19,0.1596,4,οτι σαρξ και αιμα,nonfungible_phrase_candidate|thin_lexical_basis,"OT/scriptural formulas, liturgical formulas, and common legal/paraenetic formulas should not be counted as direct Gospel dependence without additional contextual evidence."
epistle_to_gospel,1Cor 15:50,Matt 16:17-20,0.1569,4,οτι σαρξ και αιμα,nonfungible_phrase_candidate|thin_lexical_basis,"OT/scriptural formulas, liturgical formulas, and common legal/paraenetic formulas should not be counted as direct Gospel dependence without additional contextual evidence."
epistle_to_gospel,1Cor 1:15,Matt 18:17-20,0.2515,4,εισ το εμον ονομα,nonfungible_phrase_candidate,"OT/scriptural formulas, liturgical formulas, and common legal/paraenetic formulas should not be counted as direct Gospel dependence without additional contextual evidence."
epistle_to_gospel,1Cor 1:15,Matt 18:18-20,0.2597,4,εισ το εμον ονομα,nonfungible_phrase_candidate,"OT/scriptural formulas, liturgical formulas, and common legal/paraenetic formulas should not be counted as direct Gospel dependence without additional contextual evidence."
epistle_to_gospel,1Cor 1:15,Matt 18:18-21,0.2502,4,εισ το εμον ονομα,nonfungible_phrase_candidate,"OT/scriptural formulas, liturgical formulas, and common legal/paraenetic formulas should not be counted as direct Gospel dependence without additional contextual evidence."
epistle_to_gospel,1Cor 1:15,Matt 18:19-20,0.2734,4,εισ το εμον ονομα,nonfungible_phrase_candidate,"OT/scriptural formulas, liturgical formulas, and common legal/paraenetic formulas should not be counted as direct Gospel dependence without additional contextual evidence."
