variant_case_id,layer,pair_or_context,ref,related_ref,variant_marker_count,variant_note_count,status,potential_effect,conclusion_stability,variant_notes
verse_variant_Matt_3_4,verse_inventory,all_gospels,Matt 3:4,,2.0,,variant_marker_present_in_SBLGNT_text,may affect lexical similarity or exact-run scoring if inside a compared phrase,not_assessed_case_by_case,
verse_variant_Matt_3_6,verse_inventory,all_gospels,Matt 3:6,,1.0,,variant_marker_present_in_SBLGNT_text,may affect lexical similarity or exact-run scoring if inside a compared phrase,not_assessed_case_by_case,
verse_variant_Matt_3_7,verse_inventory,all_gospels,Matt 3:7,,1.0,,variant_marker_present_in_SBLGNT_text,may affect lexical similarity or exact-run scoring if inside a compared phrase,not_assessed_case_by_case,
verse_variant_Matt_3_10,verse_inventory,all_gospels,Matt 3:10,,1.0,,variant_marker_present_in_SBLGNT_text,may affect lexical similarity or exact-run scoring if inside a compared phrase,not_assessed_case_by_case,
verse_variant_Matt_3_11,verse_inventory,all_gospels,Matt 3:11,,4.0,,variant_marker_present_in_SBLGNT_text,may affect lexical similarity or exact-run scoring if inside a compared phrase,not_assessed_case_by_case,
verse_variant_Matt_3_12,verse_inventory,all_gospels,Matt 3:12,,1.0,,variant_marker_present_in_SBLGNT_text,may affect lexical similarity or exact-run scoring if inside a compared phrase,not_assessed_case_by_case,
verse_variant_Matt_3_14,verse_inventory,all_gospels,Matt 3:14,,1.0,,variant_marker_present_in_SBLGNT_text,may affect lexical similarity or exact-run scoring if inside a compared phrase,not_assessed_case_by_case,
verse_variant_Matt_3_15,verse_inventory,all_gospels,Matt 3:15,,2.0,,variant_marker_present_in_SBLGNT_text,may affect lexical similarity or exact-run scoring if inside a compared phrase,not_assessed_case_by_case,
verse_variant_Matt_3_16,verse_inventory,all_gospels,Matt 3:16,,7.0,,variant_marker_present_in_SBLGNT_text,may affect lexical similarity or exact-run scoring if inside a compared phrase,not_assessed_case_by_case,
verse_variant_Matt_4_3,verse_inventory,all_gospels,Matt 4:3,,2.0,,variant_marker_present_in_SBLGNT_text,may affect lexical similarity or exact-run scoring if inside a compared phrase,not_assessed_case_by_case,
verse_variant_Matt_4_4,verse_inventory,all_gospels,Matt 4:4,,2.0,,variant_marker_present_in_SBLGNT_text,may affect lexical similarity or exact-run scoring if inside a compared phrase,not_assessed_case_by_case,
verse_variant_Matt_4_5,verse_inventory,all_gospels,Matt 4:5,,1.0,,variant_marker_present_in_SBLGNT_text,may affect lexical similarity or exact-run scoring if inside a compared phrase,not_assessed_case_by_case,
verse_variant_Matt_4_9,verse_inventory,all_gospels,Matt 4:9,,3.0,,variant_marker_present_in_SBLGNT_text,may affect lexical similarity or exact-run scoring if inside a compared phrase,not_assessed_case_by_case,
verse_variant_Matt_4_10,verse_inventory,all_gospels,Matt 4:10,,1.0,,variant_marker_present_in_SBLGNT_text,may affect lexical similarity or exact-run scoring if inside a compared phrase,not_assessed_case_by_case,
verse_variant_Matt_4_12,verse_inventory,all_gospels,Matt 4:12,,1.0,,variant_marker_present_in_SBLGNT_text,may affect lexical similarity or exact-run scoring if inside a compared phrase,not_assessed_case_by_case,
verse_variant_Matt_4_16,verse_inventory,all_gospels,Matt 4:16,,3.0,,variant_marker_present_in_SBLGNT_text,may affect lexical similarity or exact-run scoring if inside a compared phrase,not_assessed_case_by_case,
verse_variant_Matt_4_23,verse_inventory,all_gospels,Matt 4:23,,2.0,,variant_marker_present_in_SBLGNT_text,may affect lexical similarity or exact-run scoring if inside a compared phrase,not_assessed_case_by_case,
verse_variant_Matt_4_24,verse_inventory,all_gospels,Matt 4:24,,1.0,,variant_marker_present_in_SBLGNT_text,may affect lexical similarity or exact-run scoring if inside a compared phrase,not_assessed_case_by_case,
verse_variant_Matt_5_11,verse_inventory,all_gospels,Matt 5:11,,1.0,,variant_marker_present_in_SBLGNT_text,may affect lexical similarity or exact-run scoring if inside a compared phrase,not_assessed_case_by_case,
verse_variant_Matt_5_13,verse_inventory,all_gospels,Matt 5:13,,2.0,,variant_marker_present_in_SBLGNT_text,may affect lexical similarity or exact-run scoring if inside a compared phrase,not_assessed_case_by_case,
verse_variant_Matt_5_20,verse_inventory,all_gospels,Matt 5:20,,2.0,,variant_marker_present_in_SBLGNT_text,may affect lexical similarity or exact-run scoring if inside a compared phrase,not_assessed_case_by_case,
verse_variant_Matt_5_22,verse_inventory,all_gospels,Matt 5:22,,1.0,,variant_marker_present_in_SBLGNT_text,may affect lexical similarity or exact-run scoring if inside a compared phrase,not_assessed_case_by_case,
verse_variant_Matt_5_25,verse_inventory,all_gospels,Matt 5:25,,3.0,,variant_marker_present_in_SBLGNT_text,may affect lexical similarity or exact-run scoring if inside a compared phrase,not_assessed_case_by_case,
verse_variant_Matt_5_30,verse_inventory,all_gospels,Matt 5:30,,2.0,,variant_marker_present_in_SBLGNT_text,may affect lexical similarity or exact-run scoring if inside a compared phrase,not_assessed_case_by_case,
verse_variant_Matt_5_31,verse_inventory,all_gospels,Matt 5:31,,1.0,,variant_marker_present_in_SBLGNT_text,may affect lexical similarity or exact-run scoring if inside a compared phrase,not_assessed_case_by_case,
verse_variant_Matt_5_32,verse_inventory,all_gospels,Matt 5:32,,3.0,,variant_marker_present_in_SBLGNT_text,may affect lexical similarity or exact-run scoring if inside a compared phrase,not_assessed_case_by_case,
verse_variant_Matt_5_36,verse_inventory,all_gospels,Matt 5:36,,2.0,,variant_marker_present_in_SBLGNT_text,may affect lexical similarity or exact-run scoring if inside a compared phrase,not_assessed_case_by_case,
verse_variant_Matt_5_39,verse_inventory,all_gospels,Matt 5:39,,3.0,,variant_marker_present_in_SBLGNT_text,may affect lexical similarity or exact-run scoring if inside a compared phrase,not_assessed_case_by_case,
verse_variant_Matt_5_42,verse_inventory,all_gospels,Matt 5:42,,1.0,,variant_marker_present_in_SBLGNT_text,may affect lexical similarity or exact-run scoring if inside a compared phrase,not_assessed_case_by_case,
verse_variant_Matt_5_44,verse_inventory,all_gospels,Matt 5:44,,2.0,,variant_marker_present_in_SBLGNT_text,may affect lexical similarity or exact-run scoring if inside a compared phrase,not_assessed_case_by_case,
verse_variant_Matt_5_45,verse_inventory,all_gospels,Matt 5:45,,1.0,,variant_marker_present_in_SBLGNT_text,may affect lexical similarity or exact-run scoring if inside a compared phrase,not_assessed_case_by_case,
verse_variant_Matt_5_46,verse_inventory,all_gospels,Matt 5:46,,2.0,,variant_marker_present_in_SBLGNT_text,may affect lexical similarity or exact-run scoring if inside a compared phrase,not_assessed_case_by_case,
verse_variant_Matt_5_47,verse_inventory,all_gospels,Matt 5:47,,4.0,,variant_marker_present_in_SBLGNT_text,may affect lexical similarity or exact-run scoring if inside a compared phrase,not_assessed_case_by_case,
verse_variant_Matt_5_48,verse_inventory,all_gospels,Matt 5:48,,2.0,,variant_marker_present_in_SBLGNT_text,may affect lexical similarity or exact-run scoring if inside a compared phrase,not_assessed_case_by_case,
verse_variant_Matt_6_1,verse_inventory,all_gospels,Matt 6:1,,2.0,,variant_marker_present_in_SBLGNT_text,may affect lexical similarity or exact-run scoring if inside a compared phrase,not_assessed_case_by_case,
verse_variant_Matt_6_4,verse_inventory,all_gospels,Matt 6:4,,2.0,,variant_marker_present_in_SBLGNT_text,may affect lexical similarity or exact-run scoring if inside a compared phrase,not_assessed_case_by_case,
verse_variant_Matt_6_5,verse_inventory,all_gospels,Matt 6:5,,4.0,,variant_marker_present_in_SBLGNT_text,may affect lexical similarity or exact-run scoring if inside a compared phrase,not_assessed_case_by_case,
verse_variant_Matt_6_6,verse_inventory,all_gospels,Matt 6:6,,1.0,,variant_marker_present_in_SBLGNT_text,may affect lexical similarity or exact-run scoring if inside a compared phrase,not_assessed_case_by_case,
verse_variant_Matt_6_8,verse_inventory,all_gospels,Matt 6:8,,1.0,,variant_marker_present_in_SBLGNT_text,may affect lexical similarity or exact-run scoring if inside a compared phrase,not_assessed_case_by_case,
verse_variant_Matt_6_10,verse_inventory,all_gospels,Matt 6:10,,1.0,,variant_marker_present_in_SBLGNT_text,may affect lexical similarity or exact-run scoring if inside a compared phrase,not_assessed_case_by_case,
verse_variant_Matt_6_12,verse_inventory,all_gospels,Matt 6:12,,1.0,,variant_marker_present_in_SBLGNT_text,may affect lexical similarity or exact-run scoring if inside a compared phrase,not_assessed_case_by_case,
verse_variant_Matt_6_13,verse_inventory,all_gospels,Matt 6:13,,1.0,,variant_marker_present_in_SBLGNT_text,may affect lexical similarity or exact-run scoring if inside a compared phrase,not_assessed_case_by_case,
verse_variant_Matt_6_15,verse_inventory,all_gospels,Matt 6:15,,1.0,,variant_marker_present_in_SBLGNT_text,may affect lexical similarity or exact-run scoring if inside a compared phrase,not_assessed_case_by_case,
verse_variant_Matt_6_16,verse_inventory,all_gospels,Matt 6:16,,2.0,,variant_marker_present_in_SBLGNT_text,may affect lexical similarity or exact-run scoring if inside a compared phrase,not_assessed_case_by_case,
verse_variant_Matt_6_18,verse_inventory,all_gospels,Matt 6:18,,2.0,,variant_marker_present_in_SBLGNT_text,may affect lexical similarity or exact-run scoring if inside a compared phrase,not_assessed_case_by_case,
verse_variant_Matt_6_21,verse_inventory,all_gospels,Matt 6:21,,2.0,,variant_marker_present_in_SBLGNT_text,may affect lexical similarity or exact-run scoring if inside a compared phrase,not_assessed_case_by_case,
verse_variant_Matt_6_22,verse_inventory,all_gospels,Matt 6:22,,2.0,,variant_marker_present_in_SBLGNT_text,may affect lexical similarity or exact-run scoring if inside a compared phrase,not_assessed_case_by_case,
verse_variant_Matt_6_25,verse_inventory,all_gospels,Matt 6:25,,1.0,,variant_marker_present_in_SBLGNT_text,may affect lexical similarity or exact-run scoring if inside a compared phrase,not_assessed_case_by_case,
verse_variant_Matt_6_28,verse_inventory,all_gospels,Matt 6:28,,2.0,,variant_marker_present_in_SBLGNT_text,may affect lexical similarity or exact-run scoring if inside a compared phrase,not_assessed_case_by_case,
verse_variant_Matt_6_32,verse_inventory,all_gospels,Matt 6:32,,1.0,,variant_marker_present_in_SBLGNT_text,may affect lexical similarity or exact-run scoring if inside a compared phrase,not_assessed_case_by_case,
verse_variant_Matt_6_33,verse_inventory,all_gospels,Matt 6:33,,1.0,,variant_marker_present_in_SBLGNT_text,may affect lexical similarity or exact-run scoring if inside a compared phrase,not_assessed_case_by_case,
verse_variant_Matt_6_34,verse_inventory,all_gospels,Matt 6:34,,1.0,,variant_marker_present_in_SBLGNT_text,may affect lexical similarity or exact-run scoring if inside a compared phrase,not_assessed_case_by_case,
verse_variant_Matt_7_4,verse_inventory,all_gospels,Matt 7:4,,1.0,,variant_marker_present_in_SBLGNT_text,may affect lexical similarity or exact-run scoring if inside a compared phrase,not_assessed_case_by_case,
verse_variant_Matt_7_5,verse_inventory,all_gospels,Matt 7:5,,2.0,,variant_marker_present_in_SBLGNT_text,may affect lexical similarity or exact-run scoring if inside a compared phrase,not_assessed_case_by_case,
verse_variant_Matt_7_6,verse_inventory,all_gospels,Matt 7:6,,1.0,,variant_marker_present_in_SBLGNT_text,may affect lexical similarity or exact-run scoring if inside a compared phrase,not_assessed_case_by_case,
verse_variant_Matt_7_8,verse_inventory,all_gospels,Matt 7:8,,1.0,,variant_marker_present_in_SBLGNT_text,may affect lexical similarity or exact-run scoring if inside a compared phrase,not_assessed_case_by_case,
verse_variant_Matt_7_9,verse_inventory,all_gospels,Matt 7:9,,2.0,,variant_marker_present_in_SBLGNT_text,may affect lexical similarity or exact-run scoring if inside a compared phrase,not_assessed_case_by_case,
verse_variant_Matt_7_10,verse_inventory,all_gospels,Matt 7:10,,3.0,,variant_marker_present_in_SBLGNT_text,may affect lexical similarity or exact-run scoring if inside a compared phrase,not_assessed_case_by_case,
verse_variant_Matt_7_12,verse_inventory,all_gospels,Matt 7:12,,1.0,,variant_marker_present_in_SBLGNT_text,may affect lexical similarity or exact-run scoring if inside a compared phrase,not_assessed_case_by_case,
verse_variant_Matt_7_13,verse_inventory,all_gospels,Matt 7:13,,2.0,,variant_marker_present_in_SBLGNT_text,may affect lexical similarity or exact-run scoring if inside a compared phrase,not_assessed_case_by_case,
verse_variant_Matt_7_14,verse_inventory,all_gospels,Matt 7:14,,1.0,,variant_marker_present_in_SBLGNT_text,may affect lexical similarity or exact-run scoring if inside a compared phrase,not_assessed_case_by_case,
verse_variant_Matt_7_15,verse_inventory,all_gospels,Matt 7:15,,1.0,,variant_marker_present_in_SBLGNT_text,may affect lexical similarity or exact-run scoring if inside a compared phrase,not_assessed_case_by_case,
verse_variant_Matt_7_16,verse_inventory,all_gospels,Matt 7:16,,1.0,,variant_marker_present_in_SBLGNT_text,may affect lexical similarity or exact-run scoring if inside a compared phrase,not_assessed_case_by_case,
verse_variant_Matt_7_18,verse_inventory,all_gospels,Matt 7:18,,1.0,,variant_marker_present_in_SBLGNT_text,may affect lexical similarity or exact-run scoring if inside a compared phrase,not_assessed_case_by_case,
verse_variant_Matt_7_21,verse_inventory,all_gospels,Matt 7:21,,1.0,,variant_marker_present_in_SBLGNT_text,may affect lexical similarity or exact-run scoring if inside a compared phrase,not_assessed_case_by_case,
verse_variant_Matt_7_24,verse_inventory,all_gospels,Matt 7:24,,3.0,,variant_marker_present_in_SBLGNT_text,may affect lexical similarity or exact-run scoring if inside a compared phrase,not_assessed_case_by_case,
verse_variant_Matt_7_26,verse_inventory,all_gospels,Matt 7:26,,2.0,,variant_marker_present_in_SBLGNT_text,may affect lexical similarity or exact-run scoring if inside a compared phrase,not_assessed_case_by_case,
verse_variant_Matt_7_28,verse_inventory,all_gospels,Matt 7:28,,1.0,,variant_marker_present_in_SBLGNT_text,may affect lexical similarity or exact-run scoring if inside a compared phrase,not_assessed_case_by_case,
verse_variant_Matt_7_29,verse_inventory,all_gospels,Matt 7:29,,1.0,,variant_marker_present_in_SBLGNT_text,may affect lexical similarity or exact-run scoring if inside a compared phrase,not_assessed_case_by_case,
verse_variant_Matt_8_1,verse_inventory,all_gospels,Matt 8:1,,2.0,,variant_marker_present_in_SBLGNT_text,may affect lexical similarity or exact-run scoring if inside a compared phrase,not_assessed_case_by_case,
verse_variant_Matt_8_2,verse_inventory,all_gospels,Matt 8:2,,1.0,,variant_marker_present_in_SBLGNT_text,may affect lexical similarity or exact-run scoring if inside a compared phrase,not_assessed_case_by_case,
verse_variant_Matt_8_3,verse_inventory,all_gospels,Matt 8:3,,1.0,,variant_marker_present_in_SBLGNT_text,may affect lexical similarity or exact-run scoring if inside a compared phrase,not_assessed_case_by_case,
verse_variant_Matt_8_5,verse_inventory,all_gospels,Matt 8:5,,2.0,,variant_marker_present_in_SBLGNT_text,may affect lexical similarity or exact-run scoring if inside a compared phrase,not_assessed_case_by_case,
verse_variant_Matt_8_7,verse_inventory,all_gospels,Matt 8:7,,2.0,,variant_marker_present_in_SBLGNT_text,may affect lexical similarity or exact-run scoring if inside a compared phrase,not_assessed_case_by_case,
verse_variant_Matt_8_8,verse_inventory,all_gospels,Matt 8:8,,2.0,,variant_marker_present_in_SBLGNT_text,may affect lexical similarity or exact-run scoring if inside a compared phrase,not_assessed_case_by_case,
verse_variant_Matt_8_9,verse_inventory,all_gospels,Matt 8:9,,1.0,,variant_marker_present_in_SBLGNT_text,may affect lexical similarity or exact-run scoring if inside a compared phrase,not_assessed_case_by_case,
verse_variant_Matt_8_10,verse_inventory,all_gospels,Matt 8:10,,2.0,,variant_marker_present_in_SBLGNT_text,may affect lexical similarity or exact-run scoring if inside a compared phrase,not_assessed_case_by_case,
verse_variant_Matt_8_13,verse_inventory,all_gospels,Matt 8:13,,2.0,,variant_marker_present_in_SBLGNT_text,may affect lexical similarity or exact-run scoring if inside a compared phrase,not_assessed_case_by_case,
verse_variant_Matt_8_18,verse_inventory,all_gospels,Matt 8:18,,2.0,,variant_marker_present_in_SBLGNT_text,may affect lexical similarity or exact-run scoring if inside a compared phrase,not_assessed_case_by_case,
verse_variant_Matt_8_21,verse_inventory,all_gospels,Matt 8:21,,1.0,,variant_marker_present_in_SBLGNT_text,may affect lexical similarity or exact-run scoring if inside a compared phrase,not_assessed_case_by_case,
verse_variant_Matt_8_22,verse_inventory,all_gospels,Matt 8:22,,1.0,,variant_marker_present_in_SBLGNT_text,may affect lexical similarity or exact-run scoring if inside a compared phrase,not_assessed_case_by_case,
verse_variant_Matt_8_23,verse_inventory,all_gospels,Matt 8:23,,1.0,,variant_marker_present_in_SBLGNT_text,may affect lexical similarity or exact-run scoring if inside a compared phrase,not_assessed_case_by_case,
verse_variant_Matt_8_25,verse_inventory,all_gospels,Matt 8:25,,2.0,,variant_marker_present_in_SBLGNT_text,may affect lexical similarity or exact-run scoring if inside a compared phrase,not_assessed_case_by_case,
verse_variant_Matt_8_27,verse_inventory,all_gospels,Matt 8:27,,2.0,,variant_marker_present_in_SBLGNT_text,may affect lexical similarity or exact-run scoring if inside a compared phrase,not_assessed_case_by_case,
verse_variant_Matt_8_28,verse_inventory,all_gospels,Matt 8:28,,3.0,,variant_marker_present_in_SBLGNT_text,may affect lexical similarity or exact-run scoring if inside a compared phrase,not_assessed_case_by_case,
verse_variant_Matt_8_29,verse_inventory,all_gospels,Matt 8:29,,1.0,,variant_marker_present_in_SBLGNT_text,may affect lexical similarity or exact-run scoring if inside a compared phrase,not_assessed_case_by_case,
verse_variant_Matt_8_31,verse_inventory,all_gospels,Matt 8:31,,2.0,,variant_marker_present_in_SBLGNT_text,may affect lexical similarity or exact-run scoring if inside a compared phrase,not_assessed_case_by_case,
verse_variant_Matt_8_32,verse_inventory,all_gospels,Matt 8:32,,3.0,,variant_marker_present_in_SBLGNT_text,may affect lexical similarity or exact-run scoring if inside a compared phrase,not_assessed_case_by_case,
verse_variant_Matt_8_34,verse_inventory,all_gospels,Matt 8:34,,1.0,,variant_marker_present_in_SBLGNT_text,may affect lexical similarity or exact-run scoring if inside a compared phrase,not_assessed_case_by_case,
verse_variant_Matt_9_1,verse_inventory,all_gospels,Matt 9:1,,2.0,,variant_marker_present_in_SBLGNT_text,may affect lexical similarity or exact-run scoring if inside a compared phrase,not_assessed_case_by_case,
verse_variant_Matt_9_2,verse_inventory,all_gospels,Matt 9:2,,3.0,,variant_marker_present_in_SBLGNT_text,may affect lexical similarity or exact-run scoring if inside a compared phrase,not_assessed_case_by_case,
verse_variant_Matt_9_4,verse_inventory,all_gospels,Matt 9:4,,2.0,,variant_marker_present_in_SBLGNT_text,may affect lexical similarity or exact-run scoring if inside a compared phrase,not_assessed_case_by_case,
verse_variant_Matt_9_5,verse_inventory,all_gospels,Matt 9:5,,2.0,,variant_marker_present_in_SBLGNT_text,may affect lexical similarity or exact-run scoring if inside a compared phrase,not_assessed_case_by_case,
verse_variant_Matt_9_6,verse_inventory,all_gospels,Matt 9:6,,1.0,,variant_marker_present_in_SBLGNT_text,may affect lexical similarity or exact-run scoring if inside a compared phrase,not_assessed_case_by_case,
verse_variant_Matt_9_8,verse_inventory,all_gospels,Matt 9:8,,1.0,,variant_marker_present_in_SBLGNT_text,may affect lexical similarity or exact-run scoring if inside a compared phrase,not_assessed_case_by_case,
verse_variant_Matt_9_10,verse_inventory,all_gospels,Matt 9:10,,1.0,,variant_marker_present_in_SBLGNT_text,may affect lexical similarity or exact-run scoring if inside a compared phrase,not_assessed_case_by_case,
verse_variant_Matt_9_11,verse_inventory,all_gospels,Matt 9:11,,1.0,,variant_marker_present_in_SBLGNT_text,may affect lexical similarity or exact-run scoring if inside a compared phrase,not_assessed_case_by_case,
verse_variant_Matt_9_12,verse_inventory,all_gospels,Matt 9:12,,2.0,,variant_marker_present_in_SBLGNT_text,may affect lexical similarity or exact-run scoring if inside a compared phrase,not_assessed_case_by_case,
verse_variant_Matt_9_13,verse_inventory,all_gospels,Matt 9:13,,1.0,,variant_marker_present_in_SBLGNT_text,may affect lexical similarity or exact-run scoring if inside a compared phrase,not_assessed_case_by_case,
verse_variant_Matt_9_14,verse_inventory,all_gospels,Matt 9:14,,1.0,,variant_marker_present_in_SBLGNT_text,may affect lexical similarity or exact-run scoring if inside a compared phrase,not_assessed_case_by_case,
verse_variant_Matt_9_17,verse_inventory,all_gospels,Matt 9:17,,1.0,,variant_marker_present_in_SBLGNT_text,may affect lexical similarity or exact-run scoring if inside a compared phrase,not_assessed_case_by_case,
verse_variant_Matt_9_18,verse_inventory,all_gospels,Matt 9:18,,1.0,,variant_marker_present_in_SBLGNT_text,may affect lexical similarity or exact-run scoring if inside a compared phrase,not_assessed_case_by_case,
verse_variant_Matt_9_19,verse_inventory,all_gospels,Matt 9:19,,1.0,,variant_marker_present_in_SBLGNT_text,may affect lexical similarity or exact-run scoring if inside a compared phrase,not_assessed_case_by_case,
verse_variant_Matt_9_22,verse_inventory,all_gospels,Matt 9:22,,1.0,,variant_marker_present_in_SBLGNT_text,may affect lexical similarity or exact-run scoring if inside a compared phrase,not_assessed_case_by_case,
verse_variant_Matt_9_24,verse_inventory,all_gospels,Matt 9:24,,1.0,,variant_marker_present_in_SBLGNT_text,may affect lexical similarity or exact-run scoring if inside a compared phrase,not_assessed_case_by_case,
verse_variant_Matt_9_27,verse_inventory,all_gospels,Matt 9:27,,2.0,,variant_marker_present_in_SBLGNT_text,may affect lexical similarity or exact-run scoring if inside a compared phrase,not_assessed_case_by_case,
verse_variant_Matt_9_30,verse_inventory,all_gospels,Matt 9:30,,1.0,,variant_marker_present_in_SBLGNT_text,may affect lexical similarity or exact-run scoring if inside a compared phrase,not_assessed_case_by_case,
verse_variant_Matt_9_32,verse_inventory,all_gospels,Matt 9:32,,1.0,,variant_marker_present_in_SBLGNT_text,may affect lexical similarity or exact-run scoring if inside a compared phrase,not_assessed_case_by_case,
verse_variant_Matt_9_35,verse_inventory,all_gospels,Matt 9:35,,1.0,,variant_marker_present_in_SBLGNT_text,may affect lexical similarity or exact-run scoring if inside a compared phrase,not_assessed_case_by_case,
verse_variant_Matt_9_36,verse_inventory,all_gospels,Matt 9:36,,1.0,,variant_marker_present_in_SBLGNT_text,may affect lexical similarity or exact-run scoring if inside a compared phrase,not_assessed_case_by_case,
verse_variant_Matt_10_2,verse_inventory,all_gospels,Matt 10:2,,1.0,,variant_marker_present_in_SBLGNT_text,may affect lexical similarity or exact-run scoring if inside a compared phrase,not_assessed_case_by_case,
verse_variant_Matt_10_3,verse_inventory,all_gospels,Matt 10:3,,1.0,,variant_marker_present_in_SBLGNT_text,may affect lexical similarity or exact-run scoring if inside a compared phrase,not_assessed_case_by_case,
verse_variant_Matt_10_4,verse_inventory,all_gospels,Matt 10:4,,2.0,,variant_marker_present_in_SBLGNT_text,may affect lexical similarity or exact-run scoring if inside a compared phrase,not_assessed_case_by_case,
verse_variant_Matt_10_8,verse_inventory,all_gospels,Matt 10:8,,2.0,,variant_marker_present_in_SBLGNT_text,may affect lexical similarity or exact-run scoring if inside a compared phrase,not_assessed_case_by_case,
verse_variant_Matt_10_10,verse_inventory,all_gospels,Matt 10:10,,2.0,,variant_marker_present_in_SBLGNT_text,may affect lexical similarity or exact-run scoring if inside a compared phrase,not_assessed_case_by_case,
