double_tradition_id,alignment_layer,matt_ref,luke_ref,matt_index,luke_index,score,lcs,tags,order_signal,matt_text,luke_text,shared_lemma_count,model_implication,main_counter_to_direct_use,matt_rank,luke_rank_by_matt_order,rank_distance_abs,nonlocal_flag
dt_primary_008,primary_monotonic_after_markan_mask,Matt 4:6,Luke 4:11,71,181,0.601248,1.0,strong_parallel;matt_expands_or_luke_abbreviates;content_order_preserved;multi_lemma_overlap,order_preserved_in_primary_chain,"καὶ λέγει αὐτῷ· Εἰ υἱὸς εἶ τοῦ θεοῦ, βάλε σεαυτὸν κάτω· γέγραπται γὰρ ὅτι Τοῖς ἀγγέλοις αὐτοῦ ἐντελεῖται περὶ σοῦ καὶ ἐπὶ χειρῶν ἀροῦσίν σε, μήποτε προσκόψῃς πρὸς λίθον τὸν πόδα σου.",καὶ ⸀ὅτι Ἐπὶ χειρῶν ἀροῦσίν σε μήποτε προσκόψῃς πρὸς λίθον τὸν πόδα σου.,12,Part of monotonic masked chain; not by itself directional.,Direct-use models must explain displaced/secondary double-tradition material.,11,13,2,False
dt_primary_009,primary_monotonic_after_markan_mask,Matt 4:7,Luke 4:12,72,182,0.547393,0.625,moderate_parallel;multi_lemma_overlap,order_preserved_in_primary_chain,ἔφη αὐτῷ ὁ Ἰησοῦς· Πάλιν γέγραπται· Οὐκ ἐκπειράσεις κύριον τὸν θεόν σου.,καὶ ἀποκριθεὶς εἶπεν αὐτῷ ὁ Ἰησοῦς ὅτι Εἴρηται· Οὐκ ἐκπειράσεις κύριον τὸν θεόν σου.,8,Part of monotonic masked chain; not by itself directional.,Direct-use models must explain displaced/secondary double-tradition material.,12,14,2,False
dt_secondary_036,secondary_echo_after_markan_mask,Matt 4:10,Luke 4:8,75,178,0.54386,0.777778,weaker_candidate,secondary_echo,"τότε λέγει αὐτῷ ὁ Ἰησοῦς· ⸀Ὕπαγε, Σατανᾶ· γέγραπται γάρ· Κύριον τὸν θεόν σου προσκυνήσεις καὶ αὐτῷ μόνῳ λατρεύσεις.",καὶ ἀποκριθεὶς ⸂ὁ Ἰησοῦς εἶπεν αὐτῷ⸃· Γέγραπται· ⸂Κύριον τὸν θεόν σου προσκυνήσεις⸃ καὶ αὐτῷ μόνῳ λατρεύσεις.,8,Strong displaced sayings echo; supports real shared tradition but weakens simple linear copying unless redistribution theory is supplied.,Direct-use models need plausible relocation/clustering/redistribution explanation.,13,12,1,True
dt_primary_010,primary_monotonic_after_markan_mask,Matt 5:3,Luke 6:20,93,273,0.356689,0.666667,weak_parallel;luke_expands_or_matt_abbreviates;content_order_preserved,order_preserved_in_primary_chain,"Μακάριοι οἱ πτωχοὶ τῷ πνεύματι, ὅτι αὐτῶν ἐστιν ἡ βασιλεία τῶν οὐρανῶν.","Καὶ αὐτὸς ἐπάρας τοὺς ὀφθαλμοὺς αὐτοῦ εἰς τοὺς μαθητὰς αὐτοῦ ἔλεγεν· Μακάριοι οἱ πτωχοί, ὅτι ὑμετέρα ἐστὶν ἡ βασιλεία τοῦ θεοῦ.",7,Part of monotonic masked chain; not by itself directional.,Direct-use models must explain displaced/secondary double-tradition material.,14,15,1,False
dt_secondary_038,secondary_echo_after_markan_mask,Matt 5:26,Luke 12:59,116,625,0.533294,0.75,weaker_candidate;nonlocal_reorder,nonlocal_or_displaced_echo,"ἀμὴν λέγω σοι, οὐ μὴ ἐξέλθῃς ἐκεῖθεν ἕως ἂν ἀποδῷς τὸν ἔσχατον κοδράντην.","λέγω σοι, οὐ μὴ ἐξέλθῃς ἐκεῖθεν ἕως ⸂καὶ τὸ⸃ ἔσχατον λεπτὸν ἀποδῷς.",7,Strong displaced sayings echo; supports real shared tradition but weakens simple linear copying unless redistribution theory is supplied.,Direct-use models need plausible relocation/clustering/redistribution explanation.,15,94,79,True
dt_primary_011,primary_monotonic_after_markan_mask,Matt 5:46,Luke 6:32,136,285,0.408055,0.375,moderate_parallel,order_preserved_in_primary_chain,"ἐὰν γὰρ ἀγαπήσητε τοὺς ἀγαπῶντας ὑμᾶς, τίνα μισθὸν ἔχετε; οὐχὶ καὶ οἱ τελῶναι ⸂τὸ αὐτὸ⸃ ποιοῦσιν;","Καὶ εἰ ἀγαπᾶτε τοὺς ἀγαπῶντας ὑμᾶς, ποία ὑμῖν χάρις ἐστίν; καὶ γὰρ οἱ ἁμαρτωλοὶ τοὺς ἀγαπῶντας αὐτοὺς ἀγαπῶσιν.",6,Part of monotonic masked chain; not by itself directional.,Direct-use models must explain displaced/secondary double-tradition material.,16,16,0,False
dt_secondary_010,secondary_echo_after_markan_mask,Matt 6:11,Luke 11:3,149,515,0.730754,0.75,moderate_verbal_echo;nonlocal_reorder,nonlocal_or_displaced_echo,τὸν ἄρτον ἡμῶν τὸν ἐπιούσιον δὸς ἡμῖν σήμερον·,τὸν ἄρτον ἡμῶν τὸν ἐπιούσιον δίδου ἡμῖν τὸ καθ’ ἡμέραν·,3,Strong displaced sayings echo; supports real shared tradition but weakens simple linear copying unless redistribution theory is supplied.,Direct-use models need plausible relocation/clustering/redistribution explanation.,17,54,37,True
dt_secondary_008,secondary_echo_after_markan_mask,Matt 6:21,Luke 12:34,159,600,0.789321,0.833333,strong_verbal_echo;nonlocal_reorder,nonlocal_or_displaced_echo,"ὅπου γάρ ἐστιν ὁ θησαυρός ⸀σου, ἐκεῖ ἔσται καὶ ἡ καρδία ⸁σου.","ὅπου γάρ ἐστιν ὁ θησαυρὸς ὑμῶν, ἐκεῖ καὶ ἡ καρδία ὑμῶν ἔσται.",5,Strong displaced sayings echo; supports real shared tradition but weakens simple linear copying unless redistribution theory is supplied.,Direct-use models need plausible relocation/clustering/redistribution explanation.,18,84,66,True
dt_secondary_012,secondary_echo_after_markan_mask,Matt 6:22,Luke 11:34,160,546,0.710444,0.909091,moderate_verbal_echo;nonlocal_reorder,nonlocal_or_displaced_echo,"Ὁ λύχνος τοῦ σώματός ἐστιν ὁ ὀφθαλμός. ἐὰν οὖν ⸂ᾖ ὁ ὀφθαλμός σου ἁπλοῦς⸃, ὅλον τὸ σῶμά σου φωτεινὸν ἔσται·","ὁ λύχνος τοῦ σώματός ἐστιν ὁ ὀφθαλμός ⸀σου. ⸀ὅταν ὁ ὀφθαλμός σου ἁπλοῦς ᾖ, καὶ ὅλον τὸ σῶμά σου φωτεινόν ἐστιν· ἐπὰν δὲ πονηρὸς ᾖ, καὶ τὸ σῶμά σου σκοτεινόν.",7,Strong displaced sayings echo; supports real shared tradition but weakens simple linear copying unless redistribution theory is supplied.,Direct-use models need plausible relocation/clustering/redistribution explanation.,19,68,49,True
dt_secondary_053,secondary_echo_after_markan_mask,Matt 6:23,Luke 11:35,161,547,0.431274,0.75,weaker_candidate;nonlocal_reorder,nonlocal_or_displaced_echo,"ἐὰν δὲ ὁ ὀφθαλμός σου πονηρὸς ᾖ, ὅλον τὸ σῶμά σου σκοτεινὸν ἔσται. εἰ οὖν τὸ φῶς τὸ ἐν σοὶ σκότος ἐστίν, τὸ σκότος πόσον.",σκόπει οὖν μὴ τὸ φῶς τὸ ἐν σοὶ σκότος ἐστίν.,3,Strong displaced sayings echo; supports real shared tradition but weakens simple linear copying unless redistribution theory is supplied.,Direct-use models need plausible relocation/clustering/redistribution explanation.,20,69,49,True
dt_secondary_005,secondary_echo_after_markan_mask,Matt 6:24,Luke 16:13,162,740,0.935631,1.0,strong_verbal_echo;nonlocal_reorder,nonlocal_or_displaced_echo,"Οὐδεὶς δύναται δυσὶ κυρίοις δουλεύειν· ἢ γὰρ τὸν ἕνα μισήσει καὶ τὸν ἕτερον ἀγαπήσει, ἢ ἑνὸς ἀνθέξεται καὶ τοῦ ἑτέρου καταφρονήσει. οὐ δύνασθε θεῷ δουλεύειν καὶ μαμωνᾷ.","οὐδεὶς οἰκέτης δύναται δυσὶ κυρίοις δουλεύειν· ἢ γὰρ τὸν ἕνα μισήσει καὶ τὸν ἕτερον ἀγαπήσει, ἢ ἑνὸς ἀνθέξεται καὶ τοῦ ἑτέρου καταφρονήσει. οὐ δύνασθε θεῷ δουλεύειν καὶ μαμωνᾷ.",14,Strong displaced sayings echo; supports real shared tradition but weakens simple linear copying unless redistribution theory is supplied.,Direct-use models need plausible relocation/clustering/redistribution explanation.,21,101,80,True
dt_secondary_032,secondary_echo_after_markan_mask,Matt 6:25,Luke 12:22,163,588,0.57167,0.777778,moderate_verbal_echo;nonlocal_reorder,nonlocal_or_displaced_echo,"Διὰ τοῦτο λέγω ὑμῖν· μὴ μεριμνᾶτε τῇ ψυχῇ ὑμῶν τί ⸀φάγητε, μηδὲ τῷ σώματι ὑμῶν τί ἐνδύσησθε· οὐχὶ ἡ ψυχὴ πλεῖόν ἐστι τῆς τροφῆς καὶ τὸ σῶμα τοῦ ἐνδύματος;","Εἶπεν δὲ πρὸς τοὺς μαθητὰς αὐτοῦ· Διὰ τοῦτο ⸂λέγω ὑμῖν⸃, μὴ μεριμνᾶτε τῇ ⸀ψυχῇ τί φάγητε, μηδὲ τῷ ⸀σώματι τί ἐνδύσησθε.",7,Strong displaced sayings echo; supports real shared tradition but weakens simple linear copying unless redistribution theory is supplied.,Direct-use models need plausible relocation/clustering/redistribution explanation.,22,78,56,True
dt_secondary_021,secondary_echo_after_markan_mask,Matt 6:25,Luke 12:23,163,589,0.632518,1.0,moderate_verbal_echo;nonlocal_reorder,nonlocal_or_displaced_echo,"Διὰ τοῦτο λέγω ὑμῖν· μὴ μεριμνᾶτε τῇ ψυχῇ ὑμῶν τί ⸀φάγητε, μηδὲ τῷ σώματι ὑμῶν τί ἐνδύσησθε· οὐχὶ ἡ ψυχὴ πλεῖόν ἐστι τῆς τροφῆς καὶ τὸ σῶμα τοῦ ἐνδύματος;",ἡ ⸀γὰρ ψυχὴ πλεῖόν ἐστιν τῆς τροφῆς καὶ τὸ σῶμα τοῦ ἐνδύματος.,6,Strong displaced sayings echo; supports real shared tradition but weakens simple linear copying unless redistribution theory is supplied.,Direct-use models need plausible relocation/clustering/redistribution explanation.,22,79,57,True
dt_secondary_023,secondary_echo_after_markan_mask,Matt 6:27,Luke 12:25,165,591,0.62854,0.8,moderate_verbal_echo;nonlocal_reorder,nonlocal_or_displaced_echo,τίς δὲ ἐξ ὑμῶν μεριμνῶν δύναται προσθεῖναι ἐπὶ τὴν ἡλικίαν αὐτοῦ πῆχυν ἕνα;,τίς δὲ ἐξ ὑμῶν μεριμνῶν δύναται ⸂ἐπὶ τὴν ἡλικίαν αὐτοῦ προσθεῖναι⸃ ⸀πῆχυν;,5,Strong displaced sayings echo; supports real shared tradition but weakens simple linear copying unless redistribution theory is supplied.,Direct-use models need plausible relocation/clustering/redistribution explanation.,23,80,57,True
dt_secondary_057,secondary_echo_after_markan_mask,Matt 6:28,Luke 12:27,166,593,0.415049,0.6,weaker_candidate;nonlocal_reorder,nonlocal_or_displaced_echo,καὶ περὶ ἐνδύματος τί μεριμνᾶτε; καταμάθετε τὰ κρίνα τοῦ ἀγροῦ πῶς ⸂αὐξάνουσιν· οὐ κοπιῶσιν οὐδὲ νήθουσιν⸃·,"κατανοήσατε τὰ κρίνα πῶς αὐξάνει· οὐ κοπιᾷ οὐδὲ νήθει· λέγω δὲ ὑμῖν, οὐδὲ Σολομὼν ἐν πάσῃ τῇ δόξῃ αὐτοῦ περιεβάλετο ὡς ἓν τούτων.",6,Strong displaced sayings echo; supports real shared tradition but weakens simple linear copying unless redistribution theory is supplied.,Direct-use models need plausible relocation/clustering/redistribution explanation.,24,81,57,True
dt_secondary_017,secondary_echo_after_markan_mask,Matt 6:29,Luke 12:27,167,593,0.661733,1.0,moderate_verbal_echo;nonlocal_reorder,nonlocal_or_displaced_echo,λέγω δὲ ὑμῖν ὅτι οὐδὲ Σολομὼν ἐν πάσῃ τῇ δόξῃ αὐτοῦ περιεβάλετο ὡς ἓν τούτων.,"κατανοήσατε τὰ κρίνα πῶς αὐξάνει· οὐ κοπιᾷ οὐδὲ νήθει· λέγω δὲ ὑμῖν, οὐδὲ Σολομὼν ἐν πάσῃ τῇ δόξῃ αὐτοῦ περιεβάλετο ὡς ἓν τούτων.",7,Strong displaced sayings echo; supports real shared tradition but weakens simple linear copying unless redistribution theory is supplied.,Direct-use models need plausible relocation/clustering/redistribution explanation.,25,82,57,True
dt_secondary_030,secondary_echo_after_markan_mask,Matt 6:30,Luke 12:28,168,594,0.574883,0.75,moderate_verbal_echo;nonlocal_reorder,nonlocal_or_displaced_echo,"εἰ δὲ τὸν χόρτον τοῦ ἀγροῦ σήμερον ὄντα καὶ αὔριον εἰς κλίβανον βαλλόμενον ὁ θεὸς οὕτως ἀμφιέννυσιν, οὐ πολλῷ μᾶλλον ὑμᾶς, ὀλιγόπιστοι;","εἰ δὲ ⸂ἐν ἀγρῷ τὸν χόρτον ὄντα σήμερον⸃ καὶ αὔριον εἰς κλίβανον βαλλόμενον ὁ θεὸς οὕτως ⸀ἀμφιέζει, πόσῳ μᾶλλον ὑμᾶς, ὀλιγόπιστοι.",11,Strong displaced sayings echo; supports real shared tradition but weakens simple linear copying unless redistribution theory is supplied.,Direct-use models need plausible relocation/clustering/redistribution explanation.,26,83,57,True
dt_primary_012,primary_monotonic_after_markan_mask,Matt 7:1,Luke 6:37,173,290,0.562774,1.0,moderate_parallel;luke_expands_or_matt_abbreviates;content_order_preserved,order_preserved_in_primary_chain,"Μὴ κρίνετε, ἵνα μὴ κριθῆτε·","Καὶ μὴ κρίνετε, καὶ οὐ μὴ κριθῆτε· ⸀καὶ μὴ καταδικάζετε, καὶ οὐ μὴ καταδικασθῆτε. ἀπολύετε, καὶ ἀπολυθήσεσθε·",2,Part of monotonic masked chain; not by itself directional.,Direct-use models must explain displaced/secondary double-tradition material.,27,17,10,False
dt_primary_013,primary_monotonic_after_markan_mask,Matt 7:3,Luke 6:41,175,294,0.698098,0.777778,strong_parallel;content_order_preserved;multi_lemma_overlap,order_preserved_in_primary_chain,"τί δὲ βλέπεις τὸ κάρφος τὸ ἐν τῷ ὀφθαλμῷ τοῦ ἀδελφοῦ σου, τὴν δὲ ἐν τῷ σῷ ὀφθαλμῷ δοκὸν οὐ κατανοεῖς;","τί δὲ βλέπεις τὸ κάρφος τὸ ἐν τῷ ὀφθαλμῷ τοῦ ἀδελφοῦ σου, τὴν δὲ δοκὸν τὴν ἐν τῷ ἰδίῳ ὀφθαλμῷ οὐ κατανοεῖς;",12,Part of monotonic masked chain; not by itself directional.,Direct-use models must explain displaced/secondary double-tradition material.,28,20,8,False
dt_secondary_041,secondary_echo_after_markan_mask,Matt 7:3,Luke 6:42,175,295,0.502761,0.555556,weaker_candidate,secondary_echo,"τί δὲ βλέπεις τὸ κάρφος τὸ ἐν τῷ ὀφθαλμῷ τοῦ ἀδελφοῦ σου, τὴν δὲ ἐν τῷ σῷ ὀφθαλμῷ δοκὸν οὐ κατανοεῖς;","⸀πῶς δύνασαι λέγειν τῷ ἀδελφῷ σου· Ἀδελφέ, ἄφες ἐκβάλω τὸ κάρφος τὸ ἐν τῷ ὀφθαλμῷ σου, αὐτὸς τὴν ἐν τῷ ὀφθαλμῷ σοῦ δοκὸν οὐ βλέπων; ὑποκριτά, ἔκβαλε πρῶτον τὴν δοκὸν ἐκ τοῦ ὀφθαλμοῦ σοῦ, καὶ τότε διαβλέψεις ⸂τὸ κάρφος τὸ ἐν τῷ ὀφθαλμῷ τοῦ ἀδελφοῦ σου ἐκβαλεῖν⸃.",6,Strong displaced sayings echo; supports real shared tradition but weakens simple linear copying unless redistribution theory is supplied.,Direct-use models need plausible relocation/clustering/redistribution explanation.,28,21,7,True
dt_primary_014,primary_monotonic_after_markan_mask,Matt 7:4,Luke 6:42,176,295,0.690829,1.0,strong_parallel;luke_expands_or_matt_abbreviates;content_order_preserved;multi_lemma_overlap,order_preserved_in_primary_chain,"ἢ πῶς ἐρεῖς τῷ ἀδελφῷ σου· Ἄφες ἐκβάλω τὸ κάρφος ⸀ἐκ τοῦ ὀφθαλμοῦ σου, καὶ ἰδοὺ ἡ δοκὸς ἐν τῷ ὀφθαλμῷ σοῦ;","⸀πῶς δύνασαι λέγειν τῷ ἀδελφῷ σου· Ἀδελφέ, ἄφες ἐκβάλω τὸ κάρφος τὸ ἐν τῷ ὀφθαλμῷ σου, αὐτὸς τὴν ἐν τῷ ὀφθαλμῷ σοῦ δοκὸν οὐ βλέπων; ὑποκριτά, ἔκβαλε πρῶτον τὴν δοκὸν ἐκ τοῦ ὀφθαλμοῦ σοῦ, καὶ τότε διαβλέψεις ⸂τὸ κάρφος τὸ ἐν τῷ ὀφθαλμῷ τοῦ ἀδελφοῦ σου ἐκβαλεῖν⸃.",13,Part of monotonic masked chain; not by itself directional.,Direct-use models must explain displaced/secondary double-tradition material.,29,22,7,False
dt_secondary_014,secondary_echo_after_markan_mask,Matt 7:5,Luke 6:42,177,295,0.685983,0.818182,moderate_verbal_echo,secondary_echo,"ὑποκριτά, ἔκβαλε πρῶτον ⸂ἐκ τοῦ ὀφθαλμοῦ σοῦ τὴν δοκόν⸃, καὶ τότε διαβλέψεις ἐκβαλεῖν τὸ κάρφος ἐκ τοῦ ὀφθαλμοῦ τοῦ ἀδελφοῦ σου.","⸀πῶς δύνασαι λέγειν τῷ ἀδελφῷ σου· Ἀδελφέ, ἄφες ἐκβάλω τὸ κάρφος τὸ ἐν τῷ ὀφθαλμῷ σου, αὐτὸς τὴν ἐν τῷ ὀφθαλμῷ σοῦ δοκὸν οὐ βλέπων; ὑποκριτά, ἔκβαλε πρῶτον τὴν δοκὸν ἐκ τοῦ ὀφθαλμοῦ σοῦ, καὶ τότε διαβλέψεις ⸂τὸ κάρφος τὸ ἐν τῷ ὀφθαλμῷ τοῦ ἀδελφοῦ σου ἐκβαλεῖν⸃.",9,Strong displaced sayings echo; supports real shared tradition but weakens simple linear copying unless redistribution theory is supplied.,Direct-use models need plausible relocation/clustering/redistribution explanation.,30,23,7,True
dt_secondary_006,secondary_echo_after_markan_mask,Matt 7:7,Luke 11:9,179,521,0.917754,1.0,strong_verbal_echo;nonlocal_reorder,nonlocal_or_displaced_echo,"Αἰτεῖτε, καὶ δοθήσεται ὑμῖν· ζητεῖτε, καὶ εὑρήσετε· κρούετε, καὶ ἀνοιγήσεται ὑμῖν.","Κἀγὼ ὑμῖν λέγω, αἰτεῖτε, καὶ δοθήσεται ὑμῖν· ζητεῖτε, καὶ εὑρήσετε· κρούετε, καὶ ἀνοιγήσεται ὑμῖν·",6,Strong displaced sayings echo; supports real shared tradition but weakens simple linear copying unless redistribution theory is supplied.,Direct-use models need plausible relocation/clustering/redistribution explanation.,31,55,24,True
dt_secondary_037,secondary_echo_after_markan_mask,Matt 7:7,Luke 11:10,179,522,0.538197,0.833333,weaker_candidate;nonlocal_reorder,nonlocal_or_displaced_echo,"Αἰτεῖτε, καὶ δοθήσεται ὑμῖν· ζητεῖτε, καὶ εὑρήσετε· κρούετε, καὶ ἀνοιγήσεται ὑμῖν.","πᾶς γὰρ ὁ αἰτῶν λαμβάνει, καὶ ὁ ζητῶν εὑρίσκει, καὶ τῷ κρούοντι ἀνοιγήσεται.",5,Strong displaced sayings echo; supports real shared tradition but weakens simple linear copying unless redistribution theory is supplied.,Direct-use models need plausible relocation/clustering/redistribution explanation.,31,57,26,True
