book,idx,ref,short_verse,citation_formula,bracketed_text,text_critical_empty_after_default,cheap_shared,variant_note_count,token_count_default,token_count_full,text_norm_default
Mark,14,Mark 1:15,False,False,False,False,False,0,18,18,και λεγων οτι πεπληρωται ο καιροσ και ηγγικεν η βασιλεια του θεου μετανοειτε και πιστευετε εν τω ευαγγελιω
Mark,15,Mark 1:16,False,False,False,False,False,3,21,21,και παραγων παρα την θαλασσαν τησ γαλιλαιασ ειδεν σιμωνα και ανδρεαν τον αδελφον σιμωνοσ αμφιβαλλοντασ εν τη θαλασση ησαν γαρ αλιεισ
Mark,16,Mark 1:17,False,False,False,False,False,0,14,14,και ειπεν αυτοισ ο ιησουσ δευτε οπισω μου και ποιησω υμασ γενεσθαι αλιεισ ανθρωπων
Mark,17,Mark 1:18,False,False,False,False,False,2,7,7,και ευθυσ αφεντεσ τα δικτυα ηκολουθησαν αυτω
Mark,18,Mark 1:19,False,False,False,False,False,1,21,21,και προβασ ολιγον ειδεν ιακωβον τον του ζεβεδαιου και ιωαννην τον αδελφον αυτου και αυτουσ εν τω πλοιω καταρτιζοντασ τα δικτυα
Mark,19,Mark 1:20,False,False,False,False,False,1,19,19,και ευθυσ εκαλεσεν αυτουσ και αφεντεσ τον πατερα αυτων ζεβεδαιον εν τω πλοιω μετα των μισθωτων απηλθον οπισω αυτου
Mark,20,Mark 1:21,False,False,False,False,False,2,12,12,και εισπορευονται εισ καφαρναουμ και ευθυσ τοισ σαββασιν εδιδασκεν εισ την συναγωγην
Mark,21,Mark 1:22,False,False,False,False,False,0,18,18,και εξεπλησσοντο επι τη διδαχη αυτου ην γαρ διδασκων αυτουσ ωσ εξουσιαν εχων και ουχ ωσ οι γραμματεισ
Mark,22,Mark 1:23,False,False,False,False,False,1,13,13,και ευθυσ ην εν τη συναγωγη αυτων ανθρωποσ εν πνευματι ακαθαρτω και ανεκραξεν
Mark,23,Mark 1:24,False,False,False,False,False,1,18,18,λεγων τι ημιν και σοι ιησου ναζαρηνε ηλθεσ απολεσαι ημασ οιδα σε τισ ει ο αγιοσ του θεου
Mark,24,Mark 1:25,False,False,False,False,False,0,11,11,και επετιμησεν αυτω ο ιησουσ λεγων φιμωθητι και εξελθε εξ αυτου
Mark,25,Mark 1:26,False,False,False,False,False,1,14,14,και σπαραξαν αυτον το πνευμα το ακαθαρτον και φωνησαν φωνη μεγαλη εξηλθεν εξ αυτου
Mark,26,Mark 1:27,False,False,False,False,False,3,24,24,και εθαμβηθησαν απαντεσ ωστε συζητειν προσ εαυτουσ λεγοντασ τι εστιν τουτο διδαχη καινη κατ εξουσιαν και τοισ πνευμασι τοισ ακαθαρτοισ επιτασσει και υπακουουσιν αυτω
Mark,27,Mark 1:28,False,False,False,False,False,2,13,13,και εξηλθεν η ακοη αυτου ευθυσ πανταχου εισ ολην την περιχωρον τησ γαλιλαιασ
Mark,28,Mark 1:29,False,False,False,False,False,2,17,17,και ευθυσ εκ τησ συναγωγησ εξελθοντεσ ηλθον εισ την οικιαν σιμωνοσ και ανδρεου μετα ιακωβου και ιωαννου
Mark,29,Mark 1:30,False,False,False,False,False,1,12,12,η δε πενθερα σιμωνοσ κατεκειτο πυρεσσουσα και ευθυσ λεγουσιν αυτω περι αυτησ
Mark,30,Mark 1:31,False,False,False,False,False,2,15,15,και προσελθων ηγειρεν αυτην κρατησασ τησ χειροσ και αφηκεν αυτην ο πυρετοσ και διηκονει αυτοισ
Mark,31,Mark 1:32,False,False,False,False,False,1,17,17,οψιασ δε γενομενησ οτε εδυ ο ηλιοσ εφερον προσ αυτον παντασ τουσ κακωσ εχοντασ και τουσ δαιμονιζομενουσ
Mark,32,Mark 1:33,False,False,False,False,False,1,9,9,και ην ολη η πολισ επισυνηγμενη προσ την θυραν
Mark,33,Mark 1:34,False,False,False,False,False,1,20,20,και εθεραπευσεν πολλουσ κακωσ εχοντασ ποικιλαισ νοσοισ και δαιμονια πολλα εξεβαλεν και ουκ ηφιεν λαλειν τα δαιμονια οτι ηδεισαν αυτον
Mark,34,Mark 1:35,False,False,False,False,False,0,13,13,και πρωι εννυχα λιαν αναστασ εξηλθεν και απηλθεν εισ ερημον τοπον κακει προσηυχετο
Mark,35,Mark 1:36,False,False,False,False,False,2,8,8,και κατεδιωξεν αυτον σιμων και οι μετ αυτου
Mark,36,Mark 1:37,False,False,False,False,False,2,10,10,και ευρον αυτον και λεγουσιν αυτω οτι παντεσ ζητουσιν σε
Mark,37,Mark 1:38,False,False,False,False,False,2,17,17,και λεγει αυτοισ αγωμεν αλλαχου εισ τασ εχομενασ κωμοπολεισ ινα και εκει κηρυξω εισ τουτο γαρ εξηλθον
Mark,38,Mark 1:39,False,False,False,False,False,2,15,15,και ηλθεν κηρυσσων εισ τασ συναγωγασ αυτων εισ ολην την γαλιλαιαν και τα δαιμονια εκβαλλων
Mark,39,Mark 1:40,False,False,False,False,False,1,17,17,και ερχεται προσ αυτον λεπροσ παρακαλων αυτον και γονυπετων λεγων αυτω οτι εαν θελησ δυνασαι με καθαρισαι
Mark,40,Mark 1:41,False,False,False,False,False,3,12,12,και οργισθεισ εκτεινασ την χειρα αυτου ηψατο και λεγει αυτω θελω καθαρισθητι
Mark,41,Mark 1:42,False,False,False,False,False,1,9,9,και ευθυσ απηλθεν απ αυτου η λεπρα και εκαθαρισθη
Mark,42,Mark 1:43,False,False,False,False,False,1,6,6,και εμβριμησαμενοσ αυτω ευθυσ εξεβαλεν αυτον
Mark,43,Mark 1:44,False,False,False,False,False,0,25,25,και λεγει αυτω ορα μηδενι μηδεν ειπησ αλλα υπαγε σεαυτον δειξον τω ιερει και προσενεγκε περι του καθαρισμου σου α προσεταξεν μωυσησ εισ μαρτυριον αυτοισ
Mark,44,Mark 1:45,False,False,False,False,False,2,29,29,ο δε εξελθων ηρξατο κηρυσσειν πολλα και διαφημιζειν τον λογον ωστε μηκετι αυτον δυνασθαι φανερωσ εισ πολιν εισελθειν αλλα εξω επ ερημοισ τοποισ ην και ηρχοντο προσ αυτον παντοθεν
Mark,45,Mark 2:1,False,False,False,False,False,3,12,12,και εισελθων παλιν εισ καφαρναουμ δι ημερων ηκουσθη οτι εν οικω εστιν
Mark,46,Mark 2:2,False,False,False,False,False,1,16,16,και συνηχθησαν πολλοι ωστε μηκετι χωρειν μηδε τα προσ την θυραν και ελαλει αυτοισ τον λογον
Mark,47,Mark 2:3,False,False,False,False,False,1,9,9,και ερχονται φεροντεσ προσ αυτον παραλυτικον αιρομενον υπο τεσσαρων
Mark,48,Mark 2:4,False,False,False,False,False,2,22,22,και μη δυναμενοι προσενεγκαι αυτω δια τον οχλον απεστεγασαν την στεγην οπου ην και εξορυξαντεσ χαλωσι τον κραβαττον οπου ο παραλυτικοσ κατεκειτο
Mark,49,Mark 2:5,False,False,False,False,False,3,15,15,και ιδων ο ιησουσ την πιστιν αυτων λεγει τω παραλυτικω τεκνον αφιενται σου αι αμαρτιαι
Mark,50,Mark 2:6,False,False,False,False,False,0,13,13,ησαν δε τινεσ των γραμματεων εκει καθημενοι και διαλογιζομενοι εν ταισ καρδιαισ αυτων
Mark,51,Mark 2:7,False,False,False,False,False,1,14,14,τι ουτοσ ουτωσ λαλει βλασφημει τισ δυναται αφιεναι αμαρτιασ ει μη εισ ο θεοσ
Mark,52,Mark 2:8,False,False,False,False,False,3,22,22,και ευθυσ επιγνουσ ο ιησουσ τω πνευματι αυτου οτι ουτωσ διαλογιζονται εν εαυτοισ λεγει αυτοισ τι ταυτα διαλογιζεσθε εν ταισ καρδιαισ υμων
Mark,53,Mark 2:9,False,False,False,False,False,3,20,20,τι εστιν ευκοπωτερον ειπειν τω παραλυτικω αφιενται σου αι αμαρτιαι η ειπειν εγειρε και αρον τον κραβαττον σου και περιπατει
Mark,54,Mark 2:10,False,False,False,False,False,1,18,18,ινα δε ειδητε οτι εξουσιαν εχει ο υιοσ του ανθρωπου επι τησ γησ αφιεναι αμαρτιασ λεγει τω παραλυτικω
Mark,55,Mark 2:11,False,False,False,False,False,1,13,13,σοι λεγω εγειρε αρον τον κραβαττον σου και υπαγε εισ τον οικον σου
Mark,56,Mark 2:12,False,False,False,False,False,3,22,22,και ηγερθη και ευθυσ αρασ τον κραβαττον εξηλθεν εμπροσθεν παντων ωστε εξιστασθαι παντασ και δοξαζειν τον θεον λεγοντασ οτι ουτωσ ουδεποτε ειδομεν
Mark,57,Mark 2:13,False,False,False,False,False,0,16,16,και εξηλθεν παλιν παρα την θαλασσαν και πασ ο οχλοσ ηρχετο προσ αυτον και εδιδασκεν αυτουσ
Mark,58,Mark 2:14,False,False,False,False,False,0,20,20,και παραγων ειδεν λευιν τον του αλφαιου καθημενον επι το τελωνιον και λεγει αυτω ακολουθει μοι και αναστασ ηκολουθησεν αυτω
Mark,59,Mark 2:15,False,False,False,False,False,2,26,26,και γινεται κατακεισθαι αυτον εν τη οικια αυτου και πολλοι τελωναι και αμαρτωλοι συνανεκειντο τω ιησου και τοισ μαθηταισ αυτου ησαν γαρ πολλοι και ηκολουθουν αυτω
Mark,60,Mark 2:16,False,False,False,False,False,7,24,24,και οι γραμματεισ των φαρισαιων ιδοντεσ οτι εσθιει μετα των αμαρτωλων και τελωνων ελεγον τοισ μαθηταισ αυτου οτι μετα των τελωνων και αμαρτωλων εσθιει
Mark,61,Mark 2:17,False,False,False,False,False,2,23,23,και ακουσασ ο ιησουσ λεγει αυτοισ οτι ου χρειαν εχουσιν οι ισχυοντεσ ιατρου αλλ οι κακωσ εχοντεσ ουκ ηλθον καλεσαι δικαιουσ αλλα αμαρτωλουσ
Mark,62,Mark 2:18,False,False,False,False,False,2,31,31,και ησαν οι μαθηται ιωαννου και οι φαρισαιοι νηστευοντεσ και ερχονται και λεγουσιν αυτω δια τι οι μαθηται ιωαννου και οι μαθηται των φαρισαιων νηστευουσιν οι δε σοι μαθηται ου νηστευουσιν
Mark,63,Mark 2:19,False,False,False,False,False,1,29,29,και ειπεν αυτοισ ο ιησουσ μη δυνανται οι υιοι του νυμφωνοσ εν ω ο νυμφιοσ μετ αυτων εστιν νηστευειν οσον χρονον εχουσιν τον νυμφιον μετ αυτων ου δυνανται νηστευειν
Mark,64,Mark 2:20,False,False,False,False,False,1,16,16,ελευσονται δε ημεραι οταν απαρθη απ αυτων ο νυμφιοσ και τοτε νηστευσουσιν εν εκεινη τη ημερα
Mark,65,Mark 2:21,False,False,False,False,False,3,24,24,ουδεισ επιβλημα ρακουσ αγναφου επιραπτει επι ιματιον παλαιον ει δε μη αιρει το πληρωμα απ αυτου το καινον του παλαιου και χειρον σχισμα γινεται
Mark,66,Mark 2:22,False,False,False,False,False,3,29,29,και ουδεισ βαλλει οινον νεον εισ ασκουσ παλαιουσ ει δε μη ρηξει ο οινοσ τουσ ασκουσ και ο οινοσ απολλυται και οι ασκοι αλλα οινον νεον εισ ασκουσ καινουσ
Mark,67,Mark 2:23,False,False,False,False,False,2,20,20,και εγενετο αυτον εν τοισ σαββασιν παραπορευεσθαι δια των σποριμων και οι μαθηται αυτου ηρξαντο οδον ποιειν τιλλοντεσ τουσ σταχυασ
Mark,68,Mark 2:24,False,False,False,False,False,1,13,13,και οι φαρισαιοι ελεγον αυτω ιδε τι ποιουσιν τοισ σαββασιν ο ουκ εξεστιν
Mark,69,Mark 2:25,False,False,False,False,False,1,18,18,και λεγει αυτοισ ουδεποτε ανεγνωτε τι εποιησεν δαυιδ οτε χρειαν εσχεν και επεινασεν αυτοσ και οι μετ αυτου
Mark,70,Mark 2:26,False,False,False,False,False,2,31,31,πωσ εισηλθεν εισ τον οικον του θεου επι αβιαθαρ αρχιερεωσ και τουσ αρτουσ τησ προθεσεωσ εφαγεν ουσ ουκ εξεστιν φαγειν ει μη τουσ ιερεισ και εδωκεν και τοισ συν αυτω ουσιν
Mark,71,Mark 2:27,False,False,False,False,False,1,16,16,και ελεγεν αυτοισ το σαββατον δια τον ανθρωπον εγενετο και ουχ ο ανθρωποσ δια το σαββατον
Mark,72,Mark 2:28,False,False,False,False,False,0,10,10,ωστε κυριοσ εστιν ο υιοσ του ανθρωπου και του σαββατου
Mark,73,Mark 3:1,False,False,False,False,False,1,13,13,και εισηλθεν παλιν εισ συναγωγην και ην εκει ανθρωποσ εξηραμμενην εχων την χειρα
Mark,74,Mark 3:2,False,False,False,False,False,1,11,11,και παρετηρουν αυτον ει τοισ σαββασιν θεραπευσει αυτον ινα κατηγορησωσιν αυτου
Mark,75,Mark 3:3,False,False,False,False,False,2,13,13,και λεγει τω ανθρωπω τω την χειρα εχοντι ξηραν εγειρε εισ το μεσον
Mark,76,Mark 3:4,False,False,False,False,False,1,16,16,και λεγει αυτοισ εξεστιν τοισ σαββασιν αγαθοποιησαι η κακοποιησαι ψυχην σωσαι η αποκτειναι οι δε εσιωπων
Mark,77,Mark 3:5,False,False,False,False,False,2,25,25,και περιβλεψαμενοσ αυτουσ μετ οργησ συλλυπουμενοσ επι τη πωρωσει τησ καρδιασ αυτων λεγει τω ανθρωπω εκτεινον την χειρα και εξετεινεν και απεκατεσταθη η χειρ αυτου
Mark,78,Mark 3:6,False,False,False,False,False,2,15,15,και εξελθοντεσ οι φαρισαιοι ευθυσ μετα των ηρωδιανων συμβουλιον εδιδουν κατ αυτου οπωσ αυτον απολεσωσιν
Mark,79,Mark 3:7,False,False,False,False,False,2,22,22,και ο ιησουσ μετα των μαθητων αυτου ανεχωρησεν προσ την θαλασσαν και πολυ πληθοσ απο τησ γαλιλαιασ ηκολουθησεν και απο τησ ιουδαιασ
Mark,80,Mark 3:8,False,False,False,False,False,4,24,24,και απο ιεροσολυμων και απο τησ ιδουμαιασ και περαν του ιορδανου και περι τυρον και σιδωνα πληθοσ πολυ ακουοντεσ οσα εποιει ηλθον προσ αυτον
Mark,81,Mark 3:9,False,False,False,False,False,0,16,16,και ειπεν τοισ μαθηταισ αυτου ινα πλοιαριον προσκαρτερη αυτω δια τον οχλον ινα μη θλιβωσιν αυτον
Mark,82,Mark 3:10,False,False,False,False,False,0,12,12,πολλουσ γαρ εθεραπευσεν ωστε επιπιπτειν αυτω ινα αυτου αψωνται οσοι ειχον μαστιγασ
Mark,83,Mark 3:11,False,False,False,False,False,3,20,20,και τα πνευματα τα ακαθαρτα οταν αυτον εθεωρουν προσεπιπτον αυτω και εκραζον λεγοντα οτι συ ει ο υιοσ του θεου
Mark,84,Mark 3:12,False,False,False,False,False,2,9,9,και πολλα επετιμα αυτοισ ινα μη αυτον φανερον ποιησωσιν
Mark,85,Mark 3:13,False,False,False,False,False,0,14,14,και αναβαινει εισ το οροσ και προσκαλειται ουσ ηθελεν αυτοσ και απηλθον προσ αυτον
Mark,86,Mark 3:14,False,False,False,False,False,1,12,12,και εποιησεν δωδεκα ινα ωσιν μετ αυτου και ινα αποστελλη αυτουσ κηρυσσειν
Mark,87,Mark 3:15,False,False,False,False,False,1,6,6,και εχειν εξουσιαν εκβαλλειν τα δαιμονια
Mark,88,Mark 3:16,False,False,False,False,False,2,10,10,και εποιησεν τουσ δωδεκα και επεθηκεν ονομα τω σιμωνι πετρον
Mark,89,Mark 3:17,False,False,False,False,False,1,20,20,και ιακωβον τον του ζεβεδαιου και ιωαννην τον αδελφον του ιακωβου και επεθηκεν αυτοισ ονοματα βοανηργεσ ο εστιν υιοι βροντησ
Mark,90,Mark 3:18,False,False,False,False,False,1,21,21,και ανδρεαν και φιλιππον και βαρθολομαιον και μαθθαιον και θωμαν και ιακωβον τον του αλφαιου και θαδδαιον και σιμωνα τον καναναιον
Mark,91,Mark 3:19,False,False,False,False,False,1,7,7,και ιουδαν ισκαριωθ οσ και παρεδωκεν αυτον
Mark,92,Mark 3:20,False,False,False,False,False,3,16,16,και ερχεται εισ οικον και συνερχεται παλιν ο οχλοσ ωστε μη δυνασθαι αυτουσ μηδε αρτον φαγειν
Mark,93,Mark 3:21,False,False,False,False,False,0,12,12,και ακουσαντεσ οι παρ αυτου εξηλθον κρατησαι αυτον ελεγον γαρ οτι εξεστη
Mark,94,Mark 3:22,False,False,False,False,False,0,21,21,και οι γραμματεισ οι απο ιεροσολυμων καταβαντεσ ελεγον οτι βεελζεβουλ εχει και οτι εν τω αρχοντι των δαιμονιων εκβαλλει τα δαιμονια
Mark,95,Mark 3:23,False,False,False,False,False,0,12,12,και προσκαλεσαμενοσ αυτουσ εν παραβολαισ ελεγεν αυτοισ πωσ δυναται σατανασ σαταναν εκβαλλειν
Mark,96,Mark 3:24,False,False,False,False,False,0,12,12,και εαν βασιλεια εφ εαυτην μερισθη ου δυναται σταθηναι η βασιλεια εκεινη
Mark,97,Mark 3:25,False,False,False,False,False,2,12,12,και εαν οικια εφ εαυτην μερισθη ου δυνησεται η οικια εκεινη σταθηναι
Mark,98,Mark 3:26,False,False,False,False,False,2,15,15,και ει ο σατανασ ανεστη εφ εαυτον και εμερισθη ου δυναται στηναι αλλα τελοσ εχει
Mark,99,Mark 3:27,False,False,False,False,False,3,25,25,αλλ ουδεισ δυναται εισ την οικιαν του ισχυρου εισελθων τα σκευη αυτου διαρπασαι εαν μη πρωτον τον ισχυρον δηση και τοτε την οικιαν αυτου διαρπασει
Mark,100,Mark 3:28,False,False,False,False,False,2,18,18,αμην λεγω υμιν οτι παντα αφεθησεται τοισ υιοισ των ανθρωπων τα αμαρτηματα και αι βλασφημιαι οσα εαν βλασφημησωσιν
Mark,101,Mark 3:29,False,False,False,False,False,1,20,20,οσ δ αν βλασφημηση εισ το πνευμα το αγιον ουκ εχει αφεσιν εισ τον αιωνα αλλα ενοχοσ εστιν αιωνιου αμαρτηματοσ
Mark,102,Mark 3:30,False,False,False,False,False,0,5,5,οτι ελεγον πνευμα ακαθαρτον εχει
Mark,103,Mark 3:31,False,False,False,False,False,4,17,17,και ερχονται η μητηρ αυτου και οι αδελφοι αυτου και εξω στηκοντεσ απεστειλαν προσ αυτον καλουντεσ αυτον
Mark,104,Mark 3:32,False,False,False,False,False,3,19,19,και εκαθητο περι αυτον οχλοσ και λεγουσιν αυτω ιδου η μητηρ σου και οι αδελφοι σου εξω ζητουσιν σε
Mark,105,Mark 3:33,False,False,False,False,False,3,13,13,και αποκριθεισ αυτοισ λεγει τισ εστιν η μητηρ μου η οι αδελφοι μου
Mark,106,Mark 3:34,False,False,False,False,False,1,16,16,και περιβλεψαμενοσ τουσ περι αυτον κυκλω καθημενουσ λεγει ιδε η μητηρ μου και οι αδελφοι μου
Mark,107,Mark 3:35,False,False,False,False,False,2,16,16,οσ γαρ αν ποιηση το θελημα του θεου ουτοσ αδελφοσ μου και αδελφη και μητηρ εστιν
Mark,108,Mark 4:1,False,False,False,False,False,4,33,33,και παλιν ηρξατο διδασκειν παρα την θαλασσαν και συναγεται προσ αυτον οχλοσ πλειστοσ ωστε αυτον εισ πλοιον εμβαντα καθησθαι εν τη θαλασση και πασ ο οχλοσ προσ την θαλασσαν επι τησ γησ ησαν
Mark,109,Mark 4:2,False,False,False,False,False,0,13,13,και εδιδασκεν αυτουσ εν παραβολαισ πολλα και ελεγεν αυτοισ εν τη διδαχη αυτου
Mark,110,Mark 4:3,False,False,False,False,False,1,6,6,ακουετε ιδου εξηλθεν ο σπειρων σπειραι
Mark,111,Mark 4:4,False,False,False,False,False,0,18,18,και εγενετο εν τω σπειρειν ο μεν επεσεν παρα την οδον και ηλθεν τα πετεινα και κατεφαγεν αυτο
Mark,112,Mark 4:5,False,False,False,False,False,3,20,20,και αλλο επεσεν επι το πετρωδεσ οπου ουκ ειχεν γην πολλην και ευθυσ εξανετειλεν δια το μη εχειν βαθοσ γησ
Mark,113,Mark 4:6,False,False,False,False,False,2,13,13,και οτε ανετειλεν ο ηλιοσ εκαυματισθη και δια το μη εχειν ριζαν εξηρανθη
Mark,114,Mark 4:7,False,False,False,False,False,0,17,17,και αλλο επεσεν εισ τασ ακανθασ και ανεβησαν αι ακανθαι και συνεπνιξαν αυτο και καρπον ουκ εδωκεν
Mark,115,Mark 4:8,False,False,False,False,False,3,24,24,και αλλα επεσεν εισ την γην την καλην και εδιδου καρπον αναβαινοντα και αυξανομενα και εφερεν εν τριακοντα και εν εξηκοντα και εν εκατον
Mark,116,Mark 4:9,False,False,False,False,False,1,7,7,και ελεγεν οσ εχει ωτα ακουειν ακουετω
Mark,117,Mark 4:10,False,False,False,False,False,3,15,15,και οτε εγενετο κατα μονασ ηρωτων αυτον οι περι αυτον συν τοισ δωδεκα τασ παραβολασ
Mark,118,Mark 4:11,False,False,False,False,False,1,20,20,και ελεγεν αυτοισ υμιν το μυστηριον δεδοται τησ βασιλειασ του θεου εκεινοισ δε τοισ εξω εν παραβολαισ τα παντα γινεται
Mark,119,Mark 4:12,False,False,False,False,False,1,17,17,ινα βλεποντεσ βλεπωσι και μη ιδωσιν και ακουοντεσ ακουωσι και μη συνιωσιν μηποτε επιστρεψωσιν και αφεθη αυτοισ
Mark,120,Mark 4:13,False,False,False,False,False,0,14,14,και λεγει αυτοισ ουκ οιδατε την παραβολην ταυτην και πωσ πασασ τασ παραβολασ γνωσεσθε
Mark,121,Mark 4:14,False,False,False,False,False,0,5,5,ο σπειρων τον λογον σπειρει
Mark,122,Mark 4:15,False,False,False,False,False,2,26,26,ουτοι δε εισιν οι παρα την οδον οπου σπειρεται ο λογοσ και οταν ακουσωσιν ευθυσ ερχεται ο σατανασ και αιρει τον λογον τον εσπαρμενον εισ αυτουσ
Mark,123,Mark 4:16,False,False,False,False,False,2,19,19,και ουτοι εισιν ομοιωσ οι επι τα πετρωδη σπειρομενοι οι οταν ακουσωσιν τον λογον ευθυσ μετα χαρασ λαμβανουσιν αυτον
Mark,124,Mark 4:17,False,False,False,False,False,1,19,19,και ουκ εχουσιν ριζαν εν εαυτοισ αλλα προσκαιροι εισιν ειτα γενομενησ θλιψεωσ η διωγμου δια τον λογον ευθυσ σκανδαλιζονται
Mark,125,Mark 4:18,False,False,False,False,False,3,14,14,και αλλοι εισιν οι εισ τασ ακανθασ σπειρομενοι ουτοι εισιν οι τον λογον ακουσαντεσ
Mark,126,Mark 4:19,False,False,False,False,False,1,23,23,και αι μεριμναι του αιωνοσ και η απατη του πλουτου και αι περι τα λοιπα επιθυμιαι εισπορευομεναι συμπνιγουσιν τον λογον και ακαρποσ γινεται
Mark,127,Mark 4:20,False,False,False,False,False,2,26,26,και εκεινοι εισιν οι επι την γην την καλην σπαρεντεσ οιτινεσ ακουουσιν τον λογον και παραδεχονται και καρποφορουσιν εν τριακοντα και εν εξηκοντα και εν εκατον
Mark,128,Mark 4:21,False,False,False,False,False,3,22,22,και ελεγεν αυτοισ μητι ερχεται ο λυχνοσ ινα υπο τον μοδιον τεθη η υπο την κλινην ουχ ινα επι την λυχνιαν τεθη
Mark,129,Mark 4:22,False,False,False,False,False,3,16,16,ου γαρ εστιν κρυπτον εαν μη ινα φανερωθη ουδε εγενετο αποκρυφον αλλ ινα ελθη εισ φανερον
Mark,130,Mark 4:23,False,False,False,False,False,0,6,6,ει τισ εχει ωτα ακουειν ακουετω
Mark,131,Mark 4:24,False,False,False,False,False,1,15,15,και ελεγεν αυτοισ βλεπετε τι ακουετε εν ω μετρω μετρειτε μετρηθησεται υμιν και προστεθησεται υμιν
Mark,132,Mark 4:25,False,False,False,False,False,2,15,15,οσ γαρ εχει δοθησεται αυτω και οσ ουκ εχει και ο εχει αρθησεται απ αυτου
Mark,133,Mark 4:26,False,False,False,False,False,1,16,16,και ελεγεν ουτωσ εστιν η βασιλεια του θεου ωσ ανθρωποσ βαλη τον σπορον επι τησ γησ
Mark,134,Mark 4:27,False,False,False,False,False,1,17,17,και καθευδη και εγειρηται νυκτα και ημεραν και ο σποροσ βλαστα και μηκυνηται ωσ ουκ οιδεν αυτοσ
Mark,135,Mark 4:28,False,False,False,False,False,3,14,14,αυτοματη η γη καρποφορει πρωτον χορτον ειτα σταχυν ειτα πληρησ σιτον εν τω σταχυι
Mark,136,Mark 4:29,False,False,False,False,False,2,13,13,οταν δε παραδοι ο καρποσ ευθυσ αποστελλει το δρεπανον οτι παρεστηκεν ο θερισμοσ
Mark,137,Mark 4:30,False,False,False,False,False,3,14,14,και ελεγεν πωσ ομοιωσωμεν την βασιλειαν του θεου η εν τινι αυτην παραβολη θωμεν
Mark,138,Mark 4:31,False,False,False,False,False,3,18,18,ωσ κοκκω σιναπεωσ οσ οταν σπαρη επι τησ γησ μικροτερον ον παντων των σπερματων των επι τησ γησ
Mark,139,Mark 4:32,False,False,False,False,False,1,25,25,και οταν σπαρη αναβαινει και γινεται μειζον παντων των λαχανων και ποιει κλαδουσ μεγαλουσ ωστε δυνασθαι υπο την σκιαν αυτου τα πετεινα του ουρανου κατασκηνουν
Mark,140,Mark 4:33,False,False,False,False,False,0,11,11,και τοιαυταισ παραβολαισ πολλαισ ελαλει αυτοισ τον λογον καθωσ ηδυναντο ακουειν
